Program started
Opened HIGHER dims file
PDS(145,72,35,36) SmGrp(145,1): None in Tri: 42050
PDS(154,48,12,16) SmGrp(154,1): None in Tri: 47432
PDS(148,63,22,30) SmGrp(148,1): None in Tri: 43808
PDS(153,56,19,21) SmGrp(153,1): None in Tri: 46818
PDS(148,70,36,30) SmGrp(148,1): None in Tri: 43808
PDS(147,66,25,33) SmGrp(147,1): None in Tri: 43218
PDS(160,54,18,18) SmGrp(160,1): None in Tri: 51200
PDS(147,66,25,33) SmGrp(147,4): 2 3 5 6 7 8 10 14 15 17 19 21 22 24 25 26 31 32 34 40 41 42 44 48 49 50 51 53 55 57 61 62 63 65 71 73 76 79 80 84 85 87 88 89 90 96 97 103 110 111 112 114 115 119 120 121 122 123 124 130 131 132 135 137 140 142 .Tri: 130
PDS(153,76,37,38) SmGrp(153,1): None in Tri: 46818
PDS(154,72,26,40) SmGrp(154,1): None in Tri: 47432
PDS(154,48,12,16) SmGrp(154,3): None in Tri: 47432
PDS(154,48,12,16) SmGrp(154,2): None in Tri: 47432
PDS(154,48,12,16) SmGrp(154,4): None in Tri: 47432
PDS(148,63,22,30) SmGrp(148,4): None in Tri: 43808
PDS(153,56,19,21) SmGrp(153,2): None in Tri: 46818
PDS(148,63,22,30) SmGrp(148,3): None in Tri: 43808
PDS(148,70,36,30) SmGrp(148,4): None in Tri: 43808
PDS(148,63,22,30) SmGrp(148,5): None in Tri: 43808
PDS(148,63,22,30) SmGrp(148,2): None in Tri: 43808
PDS(160,54,18,18) SmGrp(160,124): None in Tri: 51200
PDS(148,70,36,30) SmGrp(148,3): None in Tri: 43808
PDS(160,54,18,18) SmGrp(160,135): None in Tri: 51200
PDS(148,70,36,30) SmGrp(148,2): None in Tri: 43808
PDS(147,66,25,33) SmGrp(147,2): None in Tri: 43218
PDS(148,70,36,30) SmGrp(148,5): None in Tri: 43808
PDS(160,54,18,18) SmGrp(160,148): None in Tri: 51200
PDS(147,66,25,33) SmGrp(147,6): None in Tri: 43218
PDS(160,54,18,18) SmGrp(160,74): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,151): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,168): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,162): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,219): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,147): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,146): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,159): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,208): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,154): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,144): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,141): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,230): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,110): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,149): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,183): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,118): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,194): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,145): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,137): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,189): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,63): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,60): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,50): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,55): None in Tri: 51200
PDS(147,66,25,33) SmGrp(147,5): None in Tri: 43218
PDS(160,54,18,18) SmGrp(160,130): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,138): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,44): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,77): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,2): None in Tri: 51200
PDS(147,66,25,33) SmGrp(147,3): 1 2 3 4 7 9 10 11 13 15 18 19 24 26 27 28 29 30 32 36 37 38 39 40 41 44 45 51 52 54 56 57 63 65 66 69 70 78 81 86 87 88 92 93 102 103 104 106 107 110 111 112 115 116 125 126 127 128 129 130 132 133 134 141 144 146 .Tri: 6262
PDS(160,54,18,18) SmGrp(160,71): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,73): None in Tri: 51200
PDS(153,76,37,38) SmGrp(153,2): None in Tri: 46818
PDS(160,54,18,18) SmGrp(160,165): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,136): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,167): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,26): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,121): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,16): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,143): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,142): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,36): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,125): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,127): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,123): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,152): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,140): None in Tri: 51200
PDS(154,72,26,40) SmGrp(154,2): None in Tri: 47432
PDS(160,54,18,18) SmGrp(160,72): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,58): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,163): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,53): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,75): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,131): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,150): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,119): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,156): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,57): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,190): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,45): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,22): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,19): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,214): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,231): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,160): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,169): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,209): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,155): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,61): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,220): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,24): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,195): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,184): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,202): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,111): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,157): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,139): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,64): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,153): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,78): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,56): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,3): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,51): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,76): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,199): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,158): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,166): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,129): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,27): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,211): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,126): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,37): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,122): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,17): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,128): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,192): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,47): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,217): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,23): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,215): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,115): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,225): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,59): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,191): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,201): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,218): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,46): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,132): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,120): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,20): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,54): None in Tri: 51200
