Program started
Opened all dims file
PDS(5,2,0,1) SmGrp(5,1): 2 3 .Tri: 1
PDS(13,6,2,3) SmGrp(13,1): 1 3 4 9 10 12 .Tri: 3
PDS(21,10,3,6) SmGrp(21,1): 2 4 8 9 10 11 12 15 17 19 .Tri: 12
PDS(17,8,3,4) SmGrp(17,1): 3 5 6 7 10 11 12 14 .Tri: 28
PDS(9,4,1,2) SmGrp(9,1): None in Tri: 405
PDS(9,4,1,2) SmGrp(9,2): 1 2 3 5 .Tri: 1
PDS(10,3,0,1) SmGrp(10,1): None in Tri: 500
PDS(10,3,0,1) SmGrp(10,2): None in Tri: 500
PDS(55,18,9,4) SmGrp(55,1): 1 2 4 10 18 22 23 27 41 44 45 46 47 49 50 51 53 54 .Tri: 18
PDS(16,5,0,2) SmGrp(16,1): None in Tri: 1280
PDS(15,6,1,3) SmGrp(15,1): None in Tri: 1125
PDS(16,5,0,2) SmGrp(16,2): 7 8 10 13 14 .Tri: 2
PDS(16,5,0,2) SmGrp(16,4): 5 9 10 12 14 .Tri: 3
PDS(16,5,0,2) SmGrp(16,8): 2 4 5 8 15 .Tri: 1
PDS(16,5,0,2) SmGrp(16,6): 1 4 12 13 15 .Tri: 4
PDS(16,5,0,2) SmGrp(16,3): 2 3 6 13 14 .Tri: 1
PDS(16,5,0,2) SmGrp(16,14): 3 5 6 7 12 .Tri: 1
PDS(16,5,0,2) SmGrp(16,11): 1 4 6 8 9 .Tri: 6
PDS(16,5,0,2) SmGrp(16,10): 2 5 8 10 12 .Tri: 2
PDS(16,6,2,2) SmGrp(16,1): None in Tri: 1280
PDS(16,6,2,2) SmGrp(16,14): 1 2 4 7 10 14 .Tri: 1
PDS(16,6,2,2) SmGrp(16,4): 2 3 4 8 11 15 .Tri: 2
PDS(16,6,2,2) SmGrp(16,10): 4 5 8 9 10 12 .Tri: 1
PDS(16,6,2,2) SmGrp(16,7): 2 2 5 7 13 15 .Tri: 9
PDS(36,15,6,6) SmGrp(36,1): 2 2 2 6 10 13 16 18 21 24 27 28 30 32 34 .Tri: 80
PDS(16,6,2,2) SmGrp(16,3): 1 7 9 11 12 14 .Tri: 1
PDS(16,6,2,2) SmGrp(16,2): 1 3 4 6 8 14 .Tri: 2
PDS(16,6,2,2) SmGrp(16,11): 2 6 7 8 11 15 .Tri: 4
PDS(16,6,2,2) SmGrp(16,8): 2 5 6 8 13 15 .Tri: 1
PDS(16,6,2,2) SmGrp(16,13): 1 2 6 11 11 14 .Tri: 16
PDS(16,6,2,2) SmGrp(16,6): 1 5 8 11 13 14 .Tri: 1
PDS(57,24,11,9) SmGrp(57,1): 5 10 17 18 21 22 23 24 25 28 30 32 34 38 39 40 43 45 46 48 49 50 54 56 .Tri: 21
PDS(16,5,0,2) SmGrp(16,7): None in Tri: 1280
PDS(16,5,0,2) SmGrp(16,9): None in Tri: 1280
PDS(36,15,6,6) SmGrp(36,6): 1 2 3 6 8 9 10 15 18 19 21 29 31 32 33 .Tri: 17
PDS(16,5,0,2) SmGrp(16,13): None in Tri: 1280
PDS(16,5,0,2) SmGrp(16,5): None in Tri: 1280
PDS(16,6,2,2) SmGrp(16,12): None in Tri: 1280
PDS(36,15,6,6) SmGrp(36,10): 3 4 7 10 11 12 13 16 18 25 26 28 30 31 34 .Tri: 39
PDS(36,15,6,6) SmGrp(36,12): 1 2 3 4 7 10 11 12 14 17 19 24 30 31 34 .Tri: 17
PDS(16,6,2,2) SmGrp(16,5): None in Tri: 1280
PDS(16,5,0,2) SmGrp(16,12): None in Tri: 1280
PDS(36,15,6,6) SmGrp(36,9): 3 9 10 11 14 15 16 17 18 21 22 24 29 30 31 .Tri: 25
PDS(29,14,6,7) SmGrp(29,1): 1 4 5 6 7 9 13 16 20 22 23 24 25 28 .Tri: 292
PDS(16,6,2,2) SmGrp(16,9): None in Tri: 1280
PDS(36,15,6,6) SmGrp(36,14): 1 2 4 5 11 12 14 16 21 22 25 28 29 30 33 .Tri: 127
PDS(36,15,6,6) SmGrp(36,13): 3 4 5 6 6 6 9 15 18 21 27 28 32 33 35 .Tri: 132
PDS(36,15,6,6) SmGrp(36,11): 3 4 7 12 13 15 16 17 18 19 26 27 31 33 35 .Tri: 68
PDS(36,15,6,6) SmGrp(36,3): 3 3 3 6 8 15 16 17 19 25 26 27 32 33 35 .Tri: 88
PDS(36,15,6,6) SmGrp(36,7): 2 2 2 3 8 11 15 19 22 23 26 29 31 33 35 .Tri: 196
PDS(21,10,3,6) SmGrp(21,2): None in Tri: 2205
