Program started
Opened all dims file
PDS(77,16,0,4) SmGrp(77,1): None in Tri: 29645
PDS(81,16,7,2) SmGrp(81,1): None in Tri: 32805
PDS(81,16,7,2) SmGrp(81,15): 1 5 6 25 28 29 30 31 38 41 51 54 60 61 76 77 .Tri: 1
PDS(81,16,7,2) SmGrp(81,3): 1 4 5 8 14 17 23 24 25 26 27 28 29 30 36 75 .Tri: 1
PDS(81,16,7,2) SmGrp(81,2): 1 3 5 7 12 16 18 21 29 30 32 33 34 72 73 78 .Tri: 2
PDS(81,16,7,2) SmGrp(81,13): 2 3 4 9 10 12 14 15 18 24 26 33 38 44 54 59 .Tri: 4
PDS(81,16,7,2) SmGrp(81,12): 1 3 5 7 12 16 18 21 29 30 34 52 53 54 72 73 .Tri: 3
PDS(81,16,7,2) SmGrp(81,11): 4 10 11 14 16 21 29 30 35 42 44 45 46 56 62 65 .Tri: 10
PDS(81,16,7,2) SmGrp(81,4): 1 2 3 4 5 8 9 10 12 14 17 23 24 26 36 44 .Tri: 25
PDS(81,16,7,2) SmGrp(81,7): 2 3 4 9 10 12 14 19 24 26 31 40 44 51 61 68 .Tri: 46
PDS(81,20,1,6) SmGrp(81,1): None in Tri: 32805
PDS(81,20,1,6) SmGrp(81,15): 10 11 16 19 21 25 27 28 33 39 41 44 46 50 51 59 61 66 75 76 .Tri: 1
PDS(81,20,1,6) SmGrp(81,13): 4 5 6 7 14 16 18 19 23 31 33 60 62 66 70 71 73 77 78 79 .Tri: 9
PDS(81,20,1,6) SmGrp(81,8): 4 6 10 11 14 18 25 26 39 40 51 52 54 57 64 66 67 70 73 75 .Tri: 17
PDS(81,20,1,6) SmGrp(81,7): 4 14 20 24 25 26 28 33 40 48 53 58 59 63 67 68 74 78 79 80 .Tri: 75
PDS(78,22,11,4) SmGrp(78,1): None in Tri: 30420
PDS(85,20,3,5) SmGrp(85,1): None in Tri: 36125
PDS(99,14,1,2) SmGrp(99,1): None in Tri: 49005
PDS(81,24,9,6) SmGrp(81,1): None in Tri: 32805
PDS(81,24,9,6) SmGrp(81,15): 2 3 4 6 9 12 14 15 18 19 31 33 38 39 43 50 54 55 59 61 66 69 73 76 .Tri: 1
PDS(81,24,9,6) SmGrp(81,14): 3 7 11 12 13 17 21 23 26 27 29 30 40 41 46 49 56 63 64 67 68 71 74 80 .Tri: 2
PDS(81,24,9,6) SmGrp(81,12): 1 3 4 5 7 10 12 14 16 21 27 29 30 34 39 40 41 44 48 63 66 67 68 75 .Tri: 2
PDS(81,24,9,6) SmGrp(81,13): 1 6 7 10 16 18 27 31 32 33 36 39 44 48 50 52 58 61 62 63 71 72 75 76 .Tri: 2
PDS(81,24,9,6) SmGrp(81,9): 2 8 9 11 21 25 28 32 36 37 38 41 43 46 54 56 61 66 67 68 69 71 74 79 .Tri: 5
PDS(81,24,9,6) SmGrp(81,8): 1 2 5 6 9 11 15 16 22 25 28 31 34 46 59 60 61 62 67 69 70 73 79 80 .Tri: 6
PDS(81,24,9,6) SmGrp(81,10): 5 7 15 16 18 19 20 23 24 26 31 34 37 42 45 47 57 64 65 67 69 70 74 80 .Tri: 6
PDS(81,24,9,6) SmGrp(81,4): 1 2 5 6 8 9 10 15 17 18 23 24 26 36 40 44 50 68 69 70 72 73 74 76 .Tri: 17
