Program started
Opened all dims REMAINING file
PDS(109,54,26,27) SmGrp(109,1): None in Tri: 59405
PDS(130,48,20,16) SmGrp(130,1): None in Tri: 84500
PDS(126,50,13,24) SmGrp(126,1): None in Tri: 79380
PDS(126,60,33,24) SmGrp(126,1): None in Tri: 79380
PDS(135,63,28,32) SmGrp(135,1): None in Tri: 91125
PDS(136,60,24,28) SmGrp(136,1): None in Tri: 92480
PDS(136,63,30,28) SmGrp(136,1): None in Tri: 92480
PDS(130,48,20,16) SmGrp(130,3): None in Tri: 84500
PDS(130,48,20,16) SmGrp(130,2): None in Tri: 84500
PDS(130,48,20,16) SmGrp(130,4): None in Tri: 84500
PDS(126,50,13,24) SmGrp(126,2): None in Tri: 79380
PDS(126,50,13,24) SmGrp(126,5): None in Tri: 79380
PDS(126,50,13,24) SmGrp(126,15): None in Tri: 79380
PDS(126,50,13,24) SmGrp(126,16): None in Tri: 79380
PDS(126,50,13,24) SmGrp(126,6): None in Tri: 79380
PDS(126,50,13,24) SmGrp(126,11): None in Tri: 79380
PDS(126,50,13,24) SmGrp(126,12): None in Tri: 79380
PDS(126,50,13,24) SmGrp(126,14): None in Tri: 79380
PDS(126,50,13,24) SmGrp(126,13): None in Tri: 79380
PDS(126,50,13,24) SmGrp(126,9): None in Tri: 79380
PDS(126,50,13,24) SmGrp(126,3): None in Tri: 79380
PDS(126,50,13,24) SmGrp(126,10): None in Tri: 79380
PDS(126,50,13,24) SmGrp(126,4): None in Tri: 79380
PDS(126,50,13,24) SmGrp(126,8): None in Tri: 79380
PDS(126,60,33,24) SmGrp(126,15): None in Tri: 79380
PDS(126,50,13,24) SmGrp(126,7): None in Tri: 79380
PDS(126,60,33,24) SmGrp(126,5): None in Tri: 79380
PDS(126,60,33,24) SmGrp(126,16): None in Tri: 79380
PDS(126,60,33,24) SmGrp(126,6): None in Tri: 79380
PDS(126,60,33,24) SmGrp(126,11): None in Tri: 79380
PDS(126,60,33,24) SmGrp(126,9): None in Tri: 79380
PDS(126,60,33,24) SmGrp(126,14): None in Tri: 79380
PDS(126,60,33,24) SmGrp(126,13): None in Tri: 79380
PDS(126,60,33,24) SmGrp(126,12): None in Tri: 79380
PDS(126,60,33,24) SmGrp(126,4): None in Tri: 79380
PDS(126,60,33,24) SmGrp(126,3): None in Tri: 79380
PDS(126,60,33,24) SmGrp(126,2): None in Tri: 79380
PDS(126,60,33,24) SmGrp(126,10): None in Tri: 79380
PDS(126,60,33,24) SmGrp(126,7): None in Tri: 79380
PDS(126,60,33,24) SmGrp(126,8): None in Tri: 79380
PDS(136,60,24,28) SmGrp(136,6): None in Tri: 92480
PDS(136,60,24,28) SmGrp(136,14): None in Tri: 92480
PDS(136,60,24,28) SmGrp(136,13): None in Tri: 92480
PDS(136,60,24,28) SmGrp(136,4): None in Tri: 92480
PDS(136,60,24,28) SmGrp(136,7): None in Tri: 92480
PDS(136,60,24,28) SmGrp(136,8): None in Tri: 92480
PDS(136,60,24,28) SmGrp(136,5): None in Tri: 92480
PDS(135,63,28,32) SmGrp(135,2): None in Tri: 91125
PDS(136,60,24,28) SmGrp(136,11): None in Tri: 92480
PDS(136,60,24,28) SmGrp(136,10): None in Tri: 92480
PDS(136,60,24,28) SmGrp(136,15): None in Tri: 92480
PDS(136,60,24,28) SmGrp(136,3): None in Tri: 92480
PDS(136,60,24,28) SmGrp(136,12): None in Tri: 92480
PDS(135,63,28,32) SmGrp(135,5): None in Tri: 91125
PDS(136,60,24,28) SmGrp(136,9): None in Tri: 92480
PDS(135,63,28,32) SmGrp(135,4): None in Tri: 91125
PDS(135,63,28,32) SmGrp(135,3): None in Tri: 91125
PDS(136,60,24,28) SmGrp(136,2): None in Tri: 92480
PDS(136,63,30,28) SmGrp(136,2): None in Tri: 92480
PDS(136,63,30,28) SmGrp(136,10): None in Tri: 92480
PDS(136,63,30,28) SmGrp(136,7): None in Tri: 92480
PDS(136,63,30,28) SmGrp(136,5): None in Tri: 92480
PDS(136,63,30,28) SmGrp(136,9): None in Tri: 92480
PDS(136,63,30,28) SmGrp(136,6): None in Tri: 92480
PDS(136,63,30,28) SmGrp(136,4): None in Tri: 92480
PDS(136,63,30,28) SmGrp(136,14): None in Tri: 92480
PDS(136,63,30,28) SmGrp(136,13): None in Tri: 92480
PDS(136,63,30,28) SmGrp(136,8): None in Tri: 92480
PDS(136,63,30,28) SmGrp(136,15): None in Tri: 92480
PDS(136,63,30,28) SmGrp(136,12): None in Tri: 92480
PDS(136,63,30,28) SmGrp(136,11): None in Tri: 92480
PDS(136,63,30,28) SmGrp(136,3): None in Tri: 92480
