100 7
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 
2 3 6 7 8 1 9 10 14 15 16 17 18 4 5 19 20 21 26 27 28 29 30 31 32 11 12 13 33 34 35 36 42 43 44 45 46 47 48 49 50 22 23 24 25 51 52 53 54 55 60 61 62 63 64 65 66 67 68 37 38 39 40 41 69 70 71 72 76 77 78 79 80 81 82 56 57 58 59 83 84 85 88 89 90 91 92 73 74 75 93 94 96 97 98 86 87 99 100 95 
3 6 1 9 10 2 14 15 4 5 19 20 21 7 8 26 27 28 11 12 13 33 34 35 36 16 17 18 42 43 44 45 22 23 24 25 51 52 53 54 55 29 30 31 32 60 61 62 63 64 37 38 39 40 41 69 70 71 72 46 47 48 49 50 76 77 78 79 56 57 58 59 83 84 85 65 66 67 68 88 89 90 73 74 75 93 94 80 81 82 96 97 86 87 99 91 92 100 95 98 
4 46 9 11 12 60 2 65 19 20 22 23 24 6 76 7 8 80 33 34 35 37 38 39 40 14 15 88 16 17 18 91 51 52 53 54 1 56 57 58 59 26 27 28 96 29 30 31 32 98 3 69 70 71 72 5 73 74 75 42 43 44 45 100 47 48 49 50 10 83 84 85 13 86 87 61 62 63 64 66 67 68 21 93 94 25 95 77 78 79 81 82 36 99 41 89 90 92 55 97 
5 50 10 12 13 64 68 2 20 21 23 24 25 79 6 82 7 8 34 35 36 38 39 40 41 90 14 15 92 16 17 18 52 53 54 55 56 57 58 59 1 97 26 27 28 98 29 30 31 32 69 70 71 72 3 73 74 75 4 100 42 43 44 45 46 47 48 49 83 84 85 9 86 87 11 60 61 62 63 65 66 67 93 94 19 95 22 76 77 78 80 81 99 33 37 88 89 91 51 96 
6 1 2 14 15 3 4 5 7 8 26 27 28 9 10 11 12 13 16 17 18 42 43 44 45 19 20 21 22 23 24 25 29 30 31 32 60 61 62 63 64 33 34 35 36 37 38 39 40 41 46 47 48 49 50 76 77 78 79 51 52 53 54 55 56 57 58 59 65 66 67 68 88 89 90 69 70 71 72 73 74 75 80 81 82 96 97 83 84 85 86 87 91 92 100 93 94 95 98 99 
7 51 14 16 17 37 3 69 26 27 29 30 31 1 56 9 10 83 42 43 44 46 47 48 49 4 5 73 19 20 21 93 60 61 62 63 2 65 66 67 68 11 12 13 86 33 34 35 36 99 6 76 77 78 79 8 80 81 82 22 23 24 25 95 52 53 54 55 15 88 89 90 18 91 92 38 39 40 41 70 71 72 28 96 97 32 98 57 58 59 84 85 45 100 50 74 75 94 64 87 
8 55 15 17 18 41 72 3 27 28 30 31 32 59 1 85 9 10 43 44 45 47 48 49 50 75 4 5 94 19 20 21 61 62 63 64 65 66 67 68 2 87 11 12 13 99 33 34 35 36 76 77 78 79 6 80 81 82 7 95 22 23 24 25 51 52 53 54 88 89 90 14 91 92 16 37 38 39 40 69 70 71 96 97 26 98 29 56 57 58 83 84 100 42 46 73 74 93 60 86 
9 60 4 19 20 46 6 76 11 12 33 34 35 2 65 14 15 88 22 23 24 51 52 53 54 7 8 80 26 27 28 96 37 38 39 40 3 69 70 71 72 16 17 18 91 42 43 44 45 100 1 56 57 58 59 10 83 84 85 29 30 31 32 98 61 62 63 64 5 73 74 75 21 93 94 47 48 49 50 77 78 79 13 86 87 36 99 66 67 68 89 90 25 95 55 81 82 97 41 92 
10 64 5 20 21 50 79 6 12 13 34 35 36 68 2 90 14 15 23 24 25 52 53 54 55 82 7 8 97 26 27 28 38 39 40 41 69 70 71 72 3 92 16 17 18 100 42 43 44 45 56 57 58 59 1 83 84 85 9 98 29 30 31 32 60 61 62 63 73 74 75 4 93 94 19 46 47 48 49 76 77 78 86 87 11 99 33 65 66 67 88 89 95 22 51 80 81 96 37 91 
11 29 19 22 23 42 46 47 33 34 37 38 39 60 61 2 65 66 51 52 53 1 56 57 58 6 76 77 7 8 80 81 3 69 70 71 4 5 73 74 75 14 15 88 89 16 17 18 91 92 9 10 83 84 85 12 13 86 87 26 27 28 96 97 30 31 32 98 20 21 93 94 24 25 95 43 44 45 100 48 49 50 35 36 99 40 41 62 63 64 67 68 54 55 59 78 79 82 72 90 
