102 1
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 
2 1 5 6 3 4 10 11 12 7 8 9 16 17 18 13 14 15 22 23 24 19 20 21 28 29 30 25 26 27 34 35 36 31 32 33 40 41 42 37 38 39 46 47 48 43 44 45 52 53 54 49 50 51 58 59 60 55 56 57 64 65 66 61 62 63 70 71 72 67 68 69 76 77 78 73 74 75 82 83 84 79 80 81 88 89 90 85 86 87 94 95 96 91 92 93 99 100 97 98 102 101 
3 5 7 8 10 11 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 1 97 98 2 99 100 4 101 6 102 9 12 
4 12 8 9 18 2 14 15 1 24 5 6 20 21 3 30 10 11 26 27 7 36 16 17 32 33 13 42 22 23 38 39 19 48 28 29 44 45 25 54 34 35 50 51 31 60 40 41 56 57 37 66 46 47 62 63 43 72 52 53 68 69 49 78 58 59 74 75 55 84 64 65 80 81 61 90 70 71 86 87 67 96 76 77 92 93 73 100 82 83 97 98 79 102 88 89 101 85 94 95 91 99 
5 3 10 11 7 8 16 17 18 13 14 15 22 23 24 19 20 21 28 29 30 25 26 27 34 35 36 31 32 33 40 41 42 37 38 39 46 47 48 43 44 45 52 53 54 49 50 51 58 59 60 55 56 57 64 65 66 61 62 63 70 71 72 67 68 69 76 77 78 73 74 75 82 83 84 79 80 81 88 89 90 85 86 87 94 95 96 91 92 93 2 99 100 1 97 98 6 102 4 101 12 9 
6 9 11 12 15 1 17 18 2 21 3 4 23 24 5 27 7 8 29 30 10 33 13 14 35 36 16 39 19 20 41 42 22 45 25 26 47 48 28 51 31 32 53 54 34 57 37 38 59 60 40 63 43 44 65 66 46 69 49 50 71 72 52 75 55 56 77 78 58 81 61 62 83 84 64 87 67 68 89 90 70 93 73 74 95 96 76 98 79 80 99 100 82 101 85 86 102 88 91 92 94 97 
7 10 13 14 16 17 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 1 97 98 2 99 100 3 4 101 5 6 102 8 9 11 12 15 18 
8 18 14 15 24 5 20 21 3 30 10 11 26 27 7 36 16 17 32 33 13 42 22 23 38 39 19 48 28 29 44 45 25 54 34 35 50 51 31 60 40 41 56 57 37 66 46 47 62 63 43 72 52 53 68 69 49 78 58 59 74 75 55 84 64 65 80 81 61 90 70 71 86 87 67 96 76 77 92 93 73 100 82 83 97 98 79 102 88 89 4 101 85 12 94 95 9 91 2 99 1 6 
9 6 15 1 11 12 21 3 4 17 18 2 27 7 8 23 24 5 33 13 14 29 30 10 39 19 20 35 36 16 45 25 26 41 42 22 51 31 32 47 48 28 57 37 38 53 54 34 63 43 44 59 60 40 69 49 50 65 66 46 75 55 56 71 72 52 81 61 62 77 78 58 87 67 68 83 84 64 93 73 74 89 90 70 98 79 80 95 96 76 101 85 86 99 100 82 91 92 102 88 97 94 
10 7 16 17 13 14 22 23 24 19 20 21 28 29 30 25 26 27 34 35 36 31 32 33 40 41 42 37 38 39 46 47 48 43 44 45 52 53 54 49 50 51 58 59 60 55 56 57 64 65 66 61 62 63 70 71 72 67 68 69 76 77 78 73 74 75 82 83 84 79 80 81 88 89 90 85 86 87 94 95 96 91 92 93 2 99 100 1 97 98 5 6 102 3 4 101 11 12 8 9 18 15 
11 15 17 18 21 3 23 24 5 27 7 8 29 30 10 33 13 14 35 36 16 39 19 20 41 42 22 45 25 26 47 48 28 51 31 32 53 54 34 57 37 38 59 60 40 63 43 44 65 66 46 69 49 50 71 72 52 75 55 56 77 78 58 81 61 62 83 84 64 87 67 68 89 90 70 93 73 74 95 96 76 98 79 80 99 100 82 101 85 86 6 102 88 9 91 92 12 94 1 97 2 4 
12 4 18 2 8 9 24 5 6 14 15 1 30 10 11 20 21 3 36 16 17 26 27 7 42 22 23 32 33 13 48 28 29 38 39 19 54 34 35 44 45 25 60 40 41 50 51 31 66 46 47 56 57 37 72 52 53 62 63 43 78 58 59 68 69 49 84 64 65 74 75 55 90 70 71 80 81 61 96 76 77 86 87 67 100 82 83 92 93 73 102 88 89 97 98 79 94 95 101 85 99 91 
13 16 19 20 22 23 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 1 97 98 2 99 100 3 4 101 5 6 102 7 8 9 10 11 12 14 15 17 18 21 24 
14 24 20 21 30 10 26 27 7 36 16 17 32 33 13 42 22 23 38 39 19 48 28 29 44 45 25 54 34 35 50 51 31 60 40 41 56 57 37 66 46 47 62 63 43 72 52 53 68 69 49 78 58 59 74 75 55 84 64 65 80 81 61 90 70 71 86 87 67 96 76 77 92 93 73 100 82 83 97 98 79 102 88 89 4 101 85 12 94 95 8 9 91 18 2 99 15 1 5 6 3 11 
