104 12
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 
2 4 6 7 8 9 1 11 13 14 15 16 3 17 5 19 21 22 23 24 10 25 12 27 29 30 31 32 18 33 20 35 37 38 39 40 26 41 28 43 45 46 47 48 34 49 36 51 53 54 55 56 42 57 44 59 61 62 63 64 50 65 52 67 69 70 71 72 58 73 60 75 77 78 79 80 66 81 68 83 85 86 87 88 74 89 76 91 93 94 95 96 82 97 84 99 100 101 102 90 103 92 104 98 
3 6 1 9 10 2 13 14 4 5 17 18 7 8 21 22 11 12 25 26 15 16 29 30 19 20 33 34 23 24 37 38 27 28 41 42 31 32 45 46 35 36 49 50 39 40 53 54 43 44 57 58 47 48 61 62 51 52 65 66 55 56 69 70 59 60 73 74 63 64 77 78 67 68 81 82 71 72 85 86 75 76 89 90 79 80 93 94 83 84 97 98 87 88 100 101 91 92 103 95 96 104 99 102 
4 7 9 1 11 13 2 15 3 17 5 19 6 21 8 23 10 25 12 27 14 29 16 31 18 33 20 35 22 37 24 39 26 41 28 43 30 45 32 47 34 49 36 51 38 53 40 55 42 57 44 59 46 61 48 63 50 65 52 67 54 69 56 71 58 73 60 75 62 77 64 79 66 81 68 83 70 85 72 87 74 89 76 91 78 93 80 95 82 97 84 99 86 100 88 102 90 103 92 94 104 96 98 101 
5 64 10 99 12 70 47 72 103 18 4 20 53 78 55 80 9 26 11 28 61 86 63 88 17 34 19 36 69 94 71 96 25 42 27 44 77 101 79 2 33 50 35 52 85 6 87 8 41 58 43 60 93 14 95 16 49 66 51 68 100 22 102 24 57 74 59 76 104 30 7 32 65 82 67 84 13 38 15 40 73 90 75 92 21 46 23 48 81 98 83 1 29 54 31 56 89 3 91 37 62 39 97 45 
6 9 2 13 14 4 3 17 7 8 21 22 1 11 10 25 15 16 29 30 5 19 18 33 23 24 37 38 12 27 26 41 31 32 45 46 20 35 34 49 39 40 53 54 28 43 42 57 47 48 61 62 36 51 50 65 55 56 69 70 44 59 58 73 63 64 77 78 52 67 66 81 71 72 85 86 60 75 74 89 79 80 93 94 68 83 82 97 87 88 100 101 76 91 90 103 95 96 104 84 99 98 102 92 
7 1 13 2 15 3 4 5 6 21 8 23 9 10 11 12 14 29 16 31 17 18 19 20 22 37 24 39 25 26 27 28 30 45 32 47 33 34 35 36 38 53 40 55 41 42 43 44 46 61 48 63 49 50 51 52 54 69 56 71 57 58 59 60 62 77 64 79 65 66 67 68 70 85 72 87 73 74 75 76 78 93 80 95 81 82 83 84 86 100 88 102 89 90 91 92 94 104 96 97 98 99 101 103 
8 67 14 102 16 73 36 75 104 22 7 24 42 81 44 83 13 30 15 32 50 89 52 91 21 38 23 40 58 97 60 99 29 46 31 48 66 103 68 4 37 54 39 56 74 9 76 11 45 62 47 64 82 17 84 19 53 70 55 72 90 25 92 27 61 78 63 80 98 33 1 35 69 86 71 88 3 41 5 43 77 94 79 96 10 49 12 51 85 101 87 2 18 57 20 59 93 6 95 26 65 28 100 34 
9 13 4 3 17 7 6 21 1 11 10 25 2 15 14 29 5 19 18 33 8 23 22 37 12 27 26 41 16 31 30 45 20 35 34 49 24 39 38 53 28 43 42 57 32 47 46 61 36 51 50 65 40 55 54 69 44 59 58 73 48 63 62 77 52 67 66 81 56 71 70 85 60 75 74 89 64 79 78 93 68 83 82 97 72 87 86 100 76 91 90 103 80 95 94 104 84 99 98 88 102 101 92 96 
10 70 5 103 18 64 53 78 99 12 9 26 47 72 61 86 4 20 17 34 55 80 69 94 11 28 25 42 63 88 77 101 19 36 33 50 71 96 85 6 27 44 41 58 79 2 93 14 35 52 49 66 87 8 100 22 43 60 57 74 95 16 104 30 51 68 65 82 102 24 13 38 59 76 73 90 7 32 21 46 67 84 81 98 15 40 29 54 75 92 89 3 23 48 37 62 83 1 97 31 56 45 91 39 
11 71 17 92 19 77 40 79 98 25 1 27 46 85 48 87 3 33 5 35 54 93 56 95 10 41 12 43 62 100 64 102 18 49 20 51 70 104 72 7 26 57 28 59 78 13 80 15 34 65 36 67 86 21 88 23 42 73 44 75 94 29 96 31 50 81 52 83 101 37 2 39 58 89 60 91 6 45 8 47 66 97 68 99 14 53 16 55 74 103 76 4 22 61 24 63 82 9 84 30 69 32 90 38 
12 24 18 91 20 30 87 32 97 26 99 28 93 38 95 40 103 34 4 36 100 46 102 48 9 42 11 44 104 54 7 56 17 50 19 52 13 62 15 64 25 58 27 60 21 70 23 72 33 66 35 68 29 78 31 80 41 74 43 76 37 86 39 88 49 82 51 84 45 94 47 96 57 90 59 92 53 101 55 2 65 98 67 1 61 6 63 8 73 3 75 5 69 14 71 16 81 10 83 77 22 79 89 85 
13 3 7 6 21 1 9 10 2 15 14 29 4 5 17 18 8 23 22 37 11 12 25 26 16 31 30 45 19 20 33 34 24 39 38 53 27 28 41 42 32 47 46 61 35 36 49 50 40 55 54 69 43 44 57 58 48 63 62 77 51 52 65 66 56 71 70 85 59 60 73 74 64 79 78 93 67 68 81 82 72 87 86 100 75 76 89 90 80 95 94 104 83 84 97 98 88 102 101 91 92 103 96 99 
14 73 8 104 22 67 42 81 102 16 13 30 36 75 50 89 7 24 21 38 44 83 58 97 15 32 29 46 52 91 66 103 23 40 37 54 60 99 74 9 31 48 45 62 68 4 82 17 39 56 53 70 76 11 90 25 47 64 61 78 84 19 98 33 55 72 69 86 92 27 3 41 63 80 77 94 1 35 10 49 71 88 85 101 5 43 18 57 79 96 93 6 12 51 26 65 87 2 100 20 59 34 95 28 
15 60 21 96 23 66 43 68 101 29 2 31 49 74 51 76 6 37 8 39 57 82 59 84 14 45 16 47 65 90 67 92 22 53 24 55 73 98 75 1 30 61 32 63 81 3 83 5 38 69 40 71 89 10 91 12 46 77 48 79 97 18 99 20 54 85 56 87 103 26 4 28 62 93 64 95 9 34 11 36 70 100 72 102 17 42 19 44 78 104 80 7 25 50 27 52 86 13 88 33 58 35 94 41 
16 27 22 95 24 33 76 35 100 30 102 32 82 41 84 43 104 38 7 40 90 49 92 51 13 46 15 48 98 57 1 59 21 54 23 56 3 65 5 67 29 62 31 64 10 73 12 75 37 70 39 72 18 81 20 83 45 78 47 80 26 89 28 91 53 86 55 88 34 97 36 99 61 94 63 96 42 103 44 4 69 101 71 2 50 9 52 11 77 6 79 8 58 17 60 19 85 14 87 66 25 68 93 74 
17 77 11 98 25 71 46 85 92 19 3 33 40 79 54 93 1 27 10 41 48 87 62 100 5 35 18 49 56 95 70 104 12 43 26 57 64 102 78 13 20 51 34 65 72 7 86 21 28 59 42 73 80 15 94 29 36 67 50 81 88 23 101 37 44 75 58 89 96 31 6 45 52 83 66 97 2 39 14 53 60 91 74 103 8 47 22 61 68 99 82 9 16 55 30 69 76 4 90 24 63 38 84 32 
18 30 12 97 26 24 93 38 91 20 103 34 87 32 100 46 99 28 9 42 95 40 104 54 4 36 17 50 102 48 13 62 11 44 25 58 7 56 21 70 19 52 33 66 15 64 29 78 27 60 41 74 23 72 37 86 35 68 49 82 31 80 45 94 43 76 57 90 39 88 53 101 51 84 65 98 47 96 61 6 59 92 73 3 55 2 69 14 67 1 81 10 63 8 77 22 75 5 89 71 16 85 83 79 
19 31 25 84 27 37 80 39 90 33 92 35 86 45 88 47 98 41 1 43 94 53 96 55 3 49 5 51 101 61 2 63 10 57 12 59 6 69 8 71 18 65 20 67 14 77 16 79 26 73 28 75 22 85 24 87 34 81 36 83 30 93 32 95 42 89 44 91 38 100 40 102 50 97 52 99 46 104 48 7 58 103 60 4 54 13 56 15 66 9 68 11 62 21 64 23 74 17 76 70 29 72 82 78 
20 88 26 83 28 94 23 96 89 34 91 36 29 101 31 2 97 42 99 44 37 6 39 8 103 50 4 52 45 14 47 16 9 58 11 60 53 22 55 24 17 66 19 68 61 30 63 32 25 74 27 76 69 38 71 40 33 82 35 84 77 46 79 48 41 90 43 92 85 54 87 56 49 98 51 1 93 62 95 64 57 3 59 5 100 70 102 72 65 10 67 12 104 78 7 80 73 18 75 13 86 15 81 21 
21 66 15 101 29 60 49 74 96 23 6 37 43 68 57 82 2 31 14 45 51 76 65 90 8 39 22 53 59 84 73 98 16 47 30 61 67 92 81 3 24 55 38 69 75 1 89 10 32 63 46 77 83 5 97 18 40 71 54 85 91 12 103 26 48 79 62 93 99 20 9 34 56 87 70 100 4 28 17 42 64 95 78 104 11 36 25 50 72 102 86 13 19 44 33 58 80 7 94 27 52 41 88 35 
22 33 16 100 30 27 82 41 95 24 104 38 76 35 90 49 102 32 13 46 84 43 98 57 7 40 21 54 92 51 3 65 15 48 29 62 1 59 10 73 23 56 37 70 5 67 18 81 31 64 45 78 12 75 26 89 39 72 53 86 20 83 34 97 47 80 61 94 28 91 42 103 55 88 69 101 36 99 50 9 63 96 77 6 44 4 58 17 71 2 85 14 52 11 66 25 79 8 93 60 19 74 87 68 
23 20 29 88 31 26 83 28 94 37 96 39 89 34 91 36 101 45 2 47 97 42 99 44 6 53 8 55 103 50 4 52 14 61 16 63 9 58 11 60 22 69 24 71 17 66 19 68 30 77 32 79 25 74 27 76 38 85 40 87 33 82 35 84 46 93 48 95 41 90 43 92 54 100 56 102 49 98 51 1 62 104 64 7 57 3 59 5 70 13 72 15 65 10 67 12 78 21 80 73 18 75 86 81 
24 91 30 87 32 97 12 99 93 38 95 40 18 103 20 4 100 46 102 48 26 9 28 11 104 54 7 56 34 17 36 19 13 62 15 64 42 25 44 27 21 70 23 72 50 33 52 35 29 78 31 80 58 41 60 43 37 86 39 88 66 49 68 51 45 94 47 96 74 57 76 59 53 101 55 2 82 65 84 67 61 6 63 8 90 73 92 75 69 14 71 16 98 81 1 83 77 22 79 3 89 5 85 10 
25 37 19 90 33 31 86 45 84 27 98 41 80 39 94 53 92 35 3 49 88 47 101 61 1 43 10 57 96 55 6 69 5 51 18 65 2 63 14 77 12 59 26 73 8 71 22 85 20 67 34 81 16 79 30 93 28 75 42 89 24 87 38 100 36 83 50 97 32 95 46 104 44 91 58 103 40 102 54 13 52 99 66 9 48 7 62 21 60 4 74 17 56 15 70 29 68 11 82 64 23 78 76 72 
26 94 20 89 34 88 29 101 83 28 97 42 23 96 37 6 91 36 103 50 31 2 45 14 99 44 9 58 39 8 53 22 4 52 17 66 47 16 61 30 11 60 25 74 55 24 69 38 19 68 33 82 63 32 77 46 27 76 41 90 71 40 85 54 35 84 49 98 79 48 93 62 43 92 57 3 87 56 100 70 51 1 65 10 95 64 104 78 59 5 73 18 102 72 13 86 67 12 81 7 80 21 75 15 
27 95 33 76 35 100 16 102 82 41 84 43 22 104 24 7 90 49 92 51 30 13 32 15 98 57 1 59 38 21 40 23 3 65 5 67 46 29 48 31 10 73 12 75 54 37 56 39 18 81 20 83 62 45 64 47 26 89 28 91 70 53 72 55 34 97 36 99 78 61 80 63 42 103 44 4 86 69 88 71 50 9 52 11 94 77 96 79 58 17 60 19 101 85 2 87 66 25 68 6 93 8 74 14 
28 48 34 75 36 54 63 56 81 42 83 44 69 62 71 64 89 50 91 52 77 70 79 72 97 58 99 60 85 78 87 80 103 66 4 68 93 86 95 88 9 74 11 76 100 94 102 96 17 82 19 84 104 101 7 2 25 90 27 92 13 6 15 8 33 98 35 1 21 14 23 16 41 3 43 5 29 22 31 24 49 10 51 12 37 30 39 32 57 18 59 20 45 38 47 40 65 26 67 53 46 55 73 61 
29 26 23 94 37 20 89 34 88 31 101 45 83 28 97 42 96 39 6 53 91 36 103 50 2 47 14 61 99 44 9 58 8 55 22 69 4 52 17 66 16 63 30 77 11 60 25 74 24 71 38 85 19 68 33 82 32 79 46 93 27 76 41 90 40 87 54 100 35 84 49 98 48 95 62 104 43 92 57 3 56 102 70 13 51 1 65 10 64 7 78 21 59 5 73 18 72 15 86 67 12 81 80 75 
30 97 24 93 38 91 18 103 87 32 100 46 12 99 26 9 95 40 104 54 20 4 34 17 102 48 13 62 28 11 42 25 7 56 21 70 36 19 50 33 15 64 29 78 44 27 58 41 23 72 37 86 52 35 66 49 31 80 45 94 60 43 74 57 39 88 53 101 68 51 82 65 47 96 61 6 76 59 90 73 55 2 69 14 84 67 98 81 63 8 77 22 92 75 3 89 71 16 85 1 83 10 79 5 
31 84 37 80 39 90 19 92 86 45 88 47 25 98 27 1 94 53 96 55 33 3 35 5 101 61 2 63 41 10 43 12 6 69 8 71 49 18 51 20 14 77 16 79 57 26 59 28 22 85 24 87 65 34 67 36 30 93 32 95 73 42 75 44 38 100 40 102 81 50 83 52 46 104 48 7 89 58 91 60 54 13 56 15 97 66 99 68 62 21 64 23 103 74 4 76 70 29 72 9 82 11 78 17 
32 51 38 79 40 57 52 59 85 46 87 48 58 65 60 67 93 54 95 56 66 73 68 75 100 62 102 64 74 81 76 83 104 70 7 72 82 89 84 91 13 78 15 80 90 97 92 99 21 86 23 88 98 103 1 4 29 94 31 96 3 9 5 11 37 101 39 2 10 17 12 19 45 6 47 8 18 25 20 27 53 14 55 16 26 33 28 35 61 22 63 24 34 41 36 43 69 30 71 42 49 44 77 50 
33 100 27 82 41 95 22 104 76 35 90 49 16 102 30 13 84 43 98 57 24 7 38 21 92 51 3 65 32 15 46 29 1 59 10 73 40 23 54 37 5 67 18 81 48 31 62 45 12 75 26 89 56 39 70 53 20 83 34 97 64 47 78 61 28 91 42 103 72 55 86 69 36 99 50 9 80 63 94 77 44 4 58 17 88 71 101 85 52 11 66 25 96 79 6 93 60 19 74 2 87 14 68 8 
34 54 28 81 42 48 69 62 75 36 89 50 63 56 77 70 83 44 97 58 71 64 85 78 91 52 103 66 79 72 93 86 99 60 9 74 87 80 100 94 4 68 17 82 95 88 104 101 11 76 25 90 102 96 13 6 19 84 33 98 7 2 21 14 27 92 41 3 15 8 29 22 35 1 49 10 23 16 37 30 43 5 57 18 31 24 45 38 51 12 65 26 39 32 53 46 59 20 73 47 40 61 67 55 
35 55 41 68 43 61 56 63 74 49 76 51 62 69 64 71 82 57 84 59 70 77 72 79 90 65 92 67 78 85 80 87 98 73 1 75 86 93 88 95 3 81 5 83 94 100 96 102 10 89 12 91 101 104 2 7 18 97 20 99 6 13 8 15 26 103 28 4 14 21 16 23 34 9 36 11 22 29 24 31 42 17 44 19 30 37 32 39 50 25 52 27 38 45 40 47 58 33 60 46 53 48 66 54 
36 8 42 67 44 14 102 16 73 50 75 52 104 22 7 24 81 58 83 60 13 30 15 32 89 66 91 68 21 38 23 40 97 74 99 76 29 46 31 48 103 82 4 84 37 54 39 56 9 90 11 92 45 62 47 64 17 98 19 1 53 70 55 72 25 3 27 5 61 78 63 80 33 10 35 12 69 86 71 88 41 18 43 20 77 94 79 96 49 26 51 28 85 101 87 2 57 34 59 93 6 95 65 100 
37 90 31 86 45 84 25 98 80 39 94 53 19 92 33 3 88 47 101 61 27 1 41 10 96 55 6 69 35 5 49 18 2 63 14 77 43 12 57 26 8 71 22 85 51 20 65 34 16 79 30 93 59 28 73 42 24 87 38 100 67 36 81 50 32 95 46 104 75 44 89 58 40 102 54 13 83 52 97 66 48 7 62 21 91 60 103 74 56 15 70 29 99 68 9 82 64 23 78 4 76 17 72 11 
