105 2
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 
2 5 6 7 1 11 12 13 14 15 3 4 20 21 22 23 24 25 26 8 9 10 32 33 34 35 36 37 38 39 40 16 17 18 19 46 47 48 49 50 51 52 53 54 55 27 28 29 30 31 61 62 63 64 65 66 67 68 69 70 41 42 43 44 45 75 76 77 78 79 80 81 82 83 56 57 58 59 60 87 88 89 90 91 92 93 71 72 73 74 96 97 98 99 100 84 85 86 102 103 104 94 95 105 101 
3 6 8 9 11 13 14 16 17 18 20 21 23 24 25 27 28 29 30 32 33 34 36 37 38 39 1 41 42 43 44 46 47 48 49 2 51 52 53 54 4 56 57 58 59 5 61 62 63 64 7 66 67 68 69 10 71 72 73 74 12 75 76 77 78 15 80 81 82 83 19 84 85 86 22 87 88 89 90 26 91 92 93 31 94 95 35 96 97 98 40 99 100 45 101 50 102 103 55 104 60 65 105 70 79 
4 7 9 10 12 14 15 17 18 19 21 22 24 25 26 28 29 30 31 33 34 35 37 38 39 40 41 42 43 44 45 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 1 75 76 77 78 79 80 81 82 83 2 84 85 86 3 87 88 89 90 5 91 92 93 6 94 95 8 96 97 98 11 99 100 13 101 16 102 103 20 104 23 27 105 32 36 46 
5 1 11 12 2 3 4 20 21 22 6 7 8 9 10 32 33 34 35 13 14 15 16 17 18 19 46 47 48 49 50 23 24 25 26 27 28 29 30 31 61 62 63 64 65 36 37 38 39 40 41 42 43 44 45 75 76 77 78 79 51 52 53 54 55 56 57 58 59 60 87 88 89 90 66 67 68 69 70 71 72 73 74 96 97 98 80 81 82 83 84 85 86 102 103 91 92 93 94 95 105 99 100 101 104 
6 11 13 14 3 20 21 23 24 25 8 9 32 33 34 36 37 38 39 16 17 18 46 47 48 49 2 51 52 53 54 27 28 29 30 5 61 62 63 64 7 66 67 68 69 1 41 42 43 44 12 75 76 77 78 15 80 81 82 83 4 56 57 58 59 22 87 88 89 90 26 91 92 93 10 71 72 73 74 35 96 97 98 40 99 100 19 84 85 86 50 102 103 55 104 31 94 95 65 105 70 45 101 79 60 
7 12 14 15 4 21 22 24 25 26 9 10 33 34 35 37 38 39 40 17 18 19 47 48 49 50 51 52 53 54 55 28 29 30 31 61 62 63 64 65 66 67 68 69 70 41 42 43 44 45 75 76 77 78 79 80 81 82 83 2 56 57 58 59 60 87 88 89 90 5 91 92 93 6 71 72 73 74 1 96 97 98 11 99 100 13 84 85 86 3 102 103 20 104 23 94 95 8 105 32 36 101 16 46 27 
8 13 16 17 20 23 24 27 28 29 32 33 36 37 38 1 41 42 43 46 47 48 2 51 52 53 3 4 56 57 58 5 61 62 63 6 7 66 67 68 9 10 71 72 73 11 12 75 76 77 14 15 80 81 82 18 19 84 85 86 21 22 87 88 89 25 26 91 92 93 30 31 94 95 34 35 96 97 98 39 40 99 100 44 45 101 49 50 102 103 54 55 104 59 60 64 65 105 69 70 74 78 79 83 90 
9 14 17 18 21 24 25 28 29 30 33 34 37 38 39 41 42 43 44 47 48 49 51 52 53 54 4 56 57 58 59 61 62 63 64 7 66 67 68 69 10 71 72 73 74 12 75 76 77 78 15 80 81 82 83 19 84 85 86 3 22 87 88 89 90 26 91 92 93 6 31 94 95 8 35 96 97 98 11 40 99 100 13 45 101 16 50 102 103 20 55 104 23 60 27 65 105 32 70 36 1 79 46 2 5 
10 15 18 19 22 25 26 29 30 31 34 35 38 39 40 42 43 44 45 48 49 50 52 53 54 55 56 57 58 59 60 62 63 64 65 66 67 68 69 70 71 72 73 74 1 75 76 77 78 79 80 81 82 83 2 84 85 86 3 4 87 88 89 90 5 91 92 93 6 7 94 95 8 9 96 97 98 11 12 99 100 13 14 101 16 17 102 103 20 21 104 23 24 27 28 105 32 33 36 37 41 46 47 51 61 
11 3 20 21 6 8 9 32 33 34 13 14 16 17 18 46 47 48 49 23 24 25 27 28 29 30 5 61 62 63 64 36 37 38 39 1 41 42 43 44 12 75 76 77 78 2 51 52 53 54 4 56 57 58 59 22 87 88 89 90 7 66 67 68 69 10 71 72 73 74 35 96 97 98 15 80 81 82 83 19 84 85 86 50 102 103 26 91 92 93 31 94 95 65 105 40 99 100 45 101 79 55 104 60 70 
