16 3
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 
2 5 6 7 8 10 11 1 12 13 14 15 3 4 16 9 
3 12 1 9 10 7 6 16 4 5 15 2 14 13 11 8 
4 7 9 1 11 12 2 14 3 15 5 6 16 8 10 13 
5 8 10 11 1 13 14 2 15 3 4 16 6 7 9 12 
6 15 2 12 13 11 10 9 7 8 16 5 4 3 14 1 
7 11 12 2 14 15 5 4 6 16 8 10 9 1 13 3 
8 1 13 14 2 3 4 5 16 6 7 9 10 11 12 15 
9 6 4 3 15 2 12 13 1 11 10 7 8 16 5 14 
10 16 5 15 3 14 13 12 11 1 9 8 7 6 4 2 
11 14 15 5 4 16 8 7 10 9 1 13 12 2 3 6 
12 10 7 6 16 5 15 3 2 14 13 11 1 9 8 4 
13 9 8 16 6 4 3 15 14 2 12 1 11 10 7 5 
14 4 16 8 7 9 1 11 13 12 2 3 15 5 6 10 
15 13 11 10 9 8 16 6 5 4 3 14 2 12 1 7 
16 3 14 13 12 1 9 10 8 7 6 4 5 15 2 11 
