18 5
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 
2 1 5 6 3 4 10 11 12 7 8 9 15 16 13 14 18 17 
3 5 7 8 10 11 1 13 14 2 15 16 4 17 6 18 9 12 
4 6 8 9 11 12 13 14 1 15 16 2 17 3 18 5 7 10 
5 3 10 11 7 8 2 15 16 1 13 14 6 18 4 17 12 9 
6 4 11 12 8 9 15 16 2 13 14 1 18 5 17 3 10 7 
7 10 1 13 2 15 3 4 17 5 6 18 8 9 11 12 14 16 
8 11 13 14 15 16 4 17 3 6 18 5 9 7 12 10 1 2 
9 12 14 1 16 2 17 3 4 18 5 6 7 8 10 11 13 15 
10 7 2 15 1 13 5 6 18 3 4 17 11 12 8 9 16 14 
11 8 15 16 13 14 6 18 5 4 17 3 12 10 9 7 2 1 
12 9 16 2 14 1 18 5 6 17 3 4 10 11 7 8 15 13 
13 15 4 17 6 18 8 9 7 11 12 10 14 1 16 2 3 5 
14 16 17 3 18 5 9 7 8 12 10 11 1 13 2 15 4 6 
15 13 6 18 4 17 11 12 10 8 9 7 16 2 14 1 5 3 
16 14 18 5 17 3 12 10 11 9 7 8 2 15 1 13 6 4 
17 18 9 7 12 10 14 1 13 16 2 15 3 4 5 6 8 11 
18 17 12 10 9 7 16 2 15 14 1 13 5 6 3 4 11 8 
