20 4
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
2 1 5 6 3 4 9 10 7 8 13 14 11 12 17 18 15 16 20 19 
3 5 1 7 2 9 4 11 6 13 8 15 10 17 12 19 14 20 16 18 
4 18 7 8 20 2 11 12 5 6 15 16 9 10 19 1 13 14 3 17 
5 3 2 9 1 7 6 13 4 11 10 17 8 15 14 20 12 19 18 16 
6 16 9 10 19 1 13 14 3 4 17 18 7 8 20 2 11 12 5 15 
7 20 4 11 18 5 8 15 2 9 12 19 6 13 16 3 10 17 1 14 
8 14 11 12 17 18 15 16 20 2 19 1 5 6 3 4 9 10 7 13 
9 19 6 13 16 3 10 17 1 7 14 20 4 11 18 5 8 15 2 12 
10 12 13 14 15 16 17 18 19 1 20 2 3 4 5 6 7 8 9 11 
11 17 8 15 14 20 12 19 18 5 16 3 2 9 1 7 6 13 4 10 
12 10 15 16 13 14 19 1 17 18 3 4 20 2 7 8 5 6 11 9 
13 15 10 17 12 19 14 20 16 3 18 5 1 7 2 9 4 11 6 8 
14 8 17 18 11 12 20 2 15 16 5 6 19 1 9 10 3 4 13 7 
15 13 12 19 10 17 16 3 14 20 1 7 18 5 4 11 2 9 8 6 
16 6 19 1 9 10 3 4 13 14 7 8 17 18 11 12 20 2 15 5 
17 11 14 20 8 15 18 5 12 19 2 9 16 3 6 13 1 7 10 4 
18 4 20 2 7 8 5 6 11 12 9 10 15 16 13 14 19 1 17 3 
19 9 16 3 6 13 1 7 10 17 4 11 14 20 8 15 18 5 12 2 
20 7 18 5 4 11 2 9 8 15 6 13 12 19 10 17 16 3 14 1 
