21 2
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 
2 4 5 1 7 8 3 10 11 6 13 14 9 16 17 12 19 20 15 21 18 
3 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 1 21 2 4 
4 1 7 2 3 10 5 6 13 8 9 16 11 12 19 14 15 21 17 18 20 
5 7 8 3 10 11 6 13 14 9 16 17 12 19 20 15 21 2 18 4 1 
6 8 9 10 11 12 13 14 15 16 17 18 19 20 1 21 2 3 4 5 7 
7 3 10 5 6 13 8 9 16 11 12 19 14 15 21 17 18 4 20 1 2 
8 10 11 6 13 14 9 16 17 12 19 20 15 21 2 18 4 5 1 7 3 
9 11 12 13 14 15 16 17 18 19 20 1 21 2 3 4 5 6 7 8 10 
10 6 13 8 9 16 11 12 19 14 15 21 17 18 4 20 1 7 2 3 5 
11 13 14 9 16 17 12 19 20 15 21 2 18 4 5 1 7 8 3 10 6 
12 14 15 16 17 18 19 20 1 21 2 3 4 5 6 7 8 9 10 11 13 
13 9 16 11 12 19 14 15 21 17 18 4 20 1 7 2 3 10 5 6 8 
14 16 17 12 19 20 15 21 2 18 4 5 1 7 8 3 10 11 6 13 9 
15 17 18 19 20 1 21 2 3 4 5 6 7 8 9 10 11 12 13 14 16 
16 12 19 14 15 21 17 18 4 20 1 7 2 3 10 5 6 13 8 9 11 
17 19 20 15 21 2 18 4 5 1 7 8 3 10 11 6 13 14 9 16 12 
18 20 1 21 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 19 
19 15 21 17 18 4 20 1 7 2 3 10 5 6 13 8 9 16 11 12 14 
20 21 2 18 4 5 1 7 8 3 10 11 6 13 14 9 16 17 12 19 15 
21 18 4 20 1 7 2 3 10 5 6 13 8 9 16 11 12 19 14 15 17 
