25 2
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 
2 4 5 7 8 9 11 12 13 14 1 16 17 18 19 3 20 21 22 6 23 24 10 25 15 
3 5 6 8 9 10 12 13 14 15 16 17 18 19 1 20 21 22 2 23 24 4 25 7 11 
4 7 8 11 12 13 1 16 17 18 2 3 20 21 22 5 6 23 24 9 10 25 14 15 19 
5 8 9 12 13 14 16 17 18 19 3 20 21 22 2 6 23 24 4 10 25 7 15 11 1 
6 9 10 13 14 15 17 18 19 1 20 21 22 2 3 23 24 4 5 25 7 8 11 12 16 
7 11 12 1 16 17 2 3 20 21 4 5 6 23 24 8 9 10 25 13 14 15 18 19 22 
8 12 13 16 17 18 3 20 21 22 5 6 23 24 4 9 10 25 7 14 15 11 19 1 2 
9 13 14 17 18 19 20 21 22 2 6 23 24 4 5 10 25 7 8 15 11 12 1 16 3 
10 14 15 18 19 1 21 22 2 3 23 24 4 5 6 25 7 8 9 11 12 13 16 17 20 
11 1 16 2 3 20 4 5 6 23 7 8 9 10 25 12 13 14 15 17 18 19 21 22 24 
12 16 17 3 20 21 5 6 23 24 8 9 10 25 7 13 14 15 11 18 19 1 22 2 4 
13 17 18 20 21 22 6 23 24 4 9 10 25 7 8 14 15 11 12 19 1 16 2 3 5 
14 18 19 21 22 2 23 24 4 5 10 25 7 8 9 15 11 12 13 1 16 17 3 20 6 
15 19 1 22 2 3 24 4 5 6 25 7 8 9 10 11 12 13 14 16 17 18 20 21 23 
16 3 20 5 6 23 8 9 10 25 12 13 14 15 11 17 18 19 1 21 22 2 24 4 7 
17 20 21 6 23 24 9 10 25 7 13 14 15 11 12 18 19 1 16 22 2 3 4 5 8 
18 21 22 23 24 4 10 25 7 8 14 15 11 12 13 19 1 16 17 2 3 20 5 6 9 
19 22 2 24 4 5 25 7 8 9 15 11 12 13 14 1 16 17 18 3 20 21 6 23 10 
20 6 23 9 10 25 13 14 15 11 17 18 19 1 16 21 22 2 3 24 4 5 7 8 12 
21 23 24 10 25 7 14 15 11 12 18 19 1 16 17 22 2 3 20 4 5 6 8 9 13 
22 24 4 25 7 8 15 11 12 13 19 1 16 17 18 2 3 20 21 5 6 23 9 10 14 
23 10 25 14 15 11 18 19 1 16 21 22 2 3 20 24 4 5 6 7 8 9 12 13 17 
24 25 7 15 11 12 19 1 16 17 22 2 3 20 21 4 5 6 23 8 9 10 13 14 18 
25 15 11 19 1 16 22 2 3 20 24 4 5 6 23 7 8 9 10 12 13 14 17 18 21 
