28 3
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 
2 1 5 6 3 4 9 10 7 8 13 14 11 12 17 18 15 16 21 22 19 20 25 26 23 24 28 27 
3 5 1 7 2 9 4 11 6 13 8 15 10 17 12 19 14 21 16 23 18 25 20 27 22 28 24 26 
4 26 7 8 28 2 11 12 5 6 15 16 9 10 19 20 13 14 23 24 17 18 27 1 21 22 3 25 
5 3 2 9 1 7 6 13 4 11 10 17 8 15 14 21 12 19 18 25 16 23 22 28 20 27 26 24 
6 24 9 10 27 1 13 14 3 4 17 18 7 8 21 22 11 12 25 26 15 16 28 2 19 20 5 23 
7 28 4 11 26 5 8 15 2 9 12 19 6 13 16 23 10 17 20 27 14 21 24 3 18 25 1 22 
8 22 11 12 25 26 15 16 28 2 19 20 5 6 23 24 9 10 27 1 13 14 3 4 17 18 7 21 
9 27 6 13 24 3 10 17 1 7 14 21 4 11 18 25 8 15 22 28 12 19 26 5 16 23 2 20 
10 20 13 14 23 24 17 18 27 1 21 22 3 4 25 26 7 8 28 2 11 12 5 6 15 16 9 19 
11 25 8 15 22 28 12 19 26 5 16 23 2 9 20 27 6 13 24 3 10 17 1 7 14 21 4 18 
12 18 15 16 21 22 19 20 25 26 23 24 28 2 27 1 5 6 3 4 9 10 7 8 13 14 11 17 
13 23 10 17 20 27 14 21 24 3 18 25 1 7 22 28 4 11 26 5 8 15 2 9 12 19 6 16 
14 16 17 18 19 20 21 22 23 24 25 26 27 1 28 2 3 4 5 6 7 8 9 10 11 12 13 15 
15 21 12 19 18 25 16 23 22 28 20 27 26 5 24 3 2 9 1 7 6 13 4 11 10 17 8 14 
16 14 19 20 17 18 23 24 21 22 27 1 25 26 3 4 28 2 7 8 5 6 11 12 9 10 15 13 
17 19 14 21 16 23 18 25 20 27 22 28 24 3 26 5 1 7 2 9 4 11 6 13 8 15 10 12 
18 12 21 22 15 16 25 26 19 20 28 2 23 24 5 6 27 1 9 10 3 4 13 14 7 8 17 11 
19 17 16 23 14 21 20 27 18 25 24 3 22 28 1 7 26 5 4 11 2 9 8 15 6 13 12 10 
20 10 23 24 13 14 27 1 17 18 3 4 21 22 7 8 25 26 11 12 28 2 15 16 5 6 19 9 
21 15 18 25 12 19 22 28 16 23 26 5 20 27 2 9 24 3 6 13 1 7 10 17 4 11 14 8 
22 8 25 26 11 12 28 2 15 16 5 6 19 20 9 10 23 24 13 14 27 1 17 18 3 4 21 7 
23 13 20 27 10 17 24 3 14 21 1 7 18 25 4 11 22 28 8 15 26 5 12 19 2 9 16 6 
24 6 27 1 9 10 3 4 13 14 7 8 17 18 11 12 21 22 15 16 25 26 19 20 28 2 23 5 
25 11 22 28 8 15 26 5 12 19 2 9 16 23 6 13 20 27 10 17 24 3 14 21 1 7 18 4 
26 4 28 2 7 8 5 6 11 12 9 10 15 16 13 14 19 20 17 18 23 24 21 22 27 1 25 3 
27 9 24 3 6 13 1 7 10 17 4 11 14 21 8 15 18 25 12 19 22 28 16 23 26 5 20 2 
28 7 26 5 4 11 2 9 8 15 6 13 12 19 10 17 16 23 14 21 20 27 18 25 24 3 22 1 
