30 3
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 
2 1 5 6 3 4 10 11 12 7 8 9 16 17 18 13 14 15 22 23 24 19 20 21 27 28 25 26 30 29 
3 10 7 8 2 16 1 13 14 5 6 22 4 19 20 11 12 27 9 25 26 17 18 30 15 29 23 24 21 28 
4 24 8 9 28 2 13 14 15 30 5 6 19 20 21 10 11 12 25 26 1 16 17 18 29 3 22 23 7 27 
5 7 10 11 1 13 2 16 17 3 4 19 6 22 23 8 9 25 12 27 28 14 15 29 18 30 20 21 24 26 
6 21 11 12 26 1 16 17 18 29 3 4 22 23 24 7 8 9 27 28 2 13 14 15 30 5 19 20 10 25 
7 5 1 13 10 11 3 4 19 2 16 17 8 9 25 6 22 23 14 15 29 12 27 28 20 21 18 30 26 24 
8 30 13 14 24 10 4 19 20 28 2 16 9 25 26 5 6 22 15 29 3 11 12 27 21 7 17 18 1 23 
9 18 14 15 23 24 19 20 21 27 28 2 25 26 1 30 5 6 29 3 4 10 11 12 7 8 16 17 13 22 
10 3 2 16 7 8 5 6 22 1 13 14 11 12 27 4 19 20 17 18 30 9 25 26 23 24 15 29 28 21 
11 29 16 17 21 7 6 22 23 26 1 13 12 27 28 3 4 19 18 30 5 8 9 25 24 10 14 15 2 20 
12 15 17 18 20 21 22 23 24 25 26 1 27 28 2 29 3 4 30 5 6 7 8 9 10 11 13 14 16 19 
13 28 4 19 30 5 8 9 25 24 10 11 14 15 29 2 16 17 20 21 7 6 22 23 26 1 12 27 3 18 
14 27 19 20 18 30 9 25 26 23 24 10 15 29 3 28 2 16 21 7 8 5 6 22 1 13 11 12 4 17 
15 12 20 21 17 18 25 26 1 22 23 24 29 3 4 27 28 2 7 8 9 30 5 6 13 14 10 11 19 16 
16 26 6 22 29 3 11 12 27 21 7 8 17 18 30 1 13 14 23 24 10 4 19 20 28 2 9 25 5 15 
17 25 22 23 15 29 12 27 28 20 21 7 18 30 5 26 1 13 24 10 11 3 4 19 2 16 8 9 6 14 
18 9 23 24 14 15 27 28 2 19 20 21 30 5 6 25 26 1 10 11 12 29 3 4 16 17 7 8 22 13 
19 23 9 25 27 28 14 15 29 18 30 5 20 21 7 24 10 11 26 1 13 2 16 17 3 4 6 22 8 12 
20 22 25 26 12 27 15 29 3 17 18 30 21 7 8 23 24 10 1 13 14 28 2 16 4 19 5 6 9 11 
21 6 26 1 11 12 29 3 4 16 17 18 7 8 9 22 23 24 13 14 15 27 28 2 19 20 30 5 25 10 
22 20 12 27 25 26 17 18 30 15 29 3 23 24 10 21 7 8 28 2 16 1 13 14 5 6 4 19 11 9 
23 19 27 28 9 25 18 30 5 14 15 29 24 10 11 20 21 7 2 16 17 26 1 13 6 22 3 4 12 8 
24 4 28 2 8 9 30 5 6 13 14 15 10 11 12 19 20 21 16 17 18 25 26 1 22 23 29 3 27 7 
25 17 15 29 22 23 20 21 7 12 27 28 26 1 13 18 30 5 3 4 19 24 10 11 8 9 2 16 14 6 
26 16 29 3 6 22 21 7 8 11 12 27 1 13 14 17 18 30 4 19 20 23 24 10 9 25 28 2 15 5 
27 14 18 30 19 20 23 24 10 9 25 26 28 2 16 15 29 3 5 6 22 21 7 8 11 12 1 13 17 4 
28 13 30 5 4 19 24 10 11 8 9 25 2 16 17 14 15 29 6 22 23 20 21 7 12 27 26 1 18 3 
29 11 21 7 16 17 26 1 13 6 22 23 3 4 19 12 27 28 8 9 25 18 30 5 14 15 24 10 20 2 
30 8 24 10 13 14 28 2 16 4 19 20 5 6 22 9 25 26 11 12 27 15 29 3 17 18 21 7 23 1 
