36 14
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 
2 1 6 7 8 3 4 5 14 15 16 17 18 9 10 11 12 13 24 25 26 27 28 19 20 21 22 23 32 33 34 29 30 31 36 35 
3 6 1 9 10 2 14 15 4 5 19 20 21 7 8 24 25 26 11 12 13 29 30 16 17 18 32 33 22 23 35 27 28 36 31 34 
4 7 9 11 12 14 16 17 19 20 1 22 23 24 25 2 27 28 3 29 30 5 31 6 32 33 8 34 10 35 13 15 36 18 21 26 
5 8 10 12 13 15 17 18 20 21 22 23 1 25 26 27 28 2 29 30 3 31 4 32 33 6 34 7 35 9 11 36 14 16 19 24 
6 3 2 14 15 1 9 10 7 8 24 25 26 4 5 19 20 21 16 17 18 32 33 11 12 13 29 30 27 28 36 22 23 35 34 31 
7 4 14 16 17 9 11 12 24 25 2 27 28 19 20 1 22 23 6 32 33 8 34 3 29 30 5 31 15 36 18 10 35 13 26 21 
8 5 15 17 18 10 12 13 25 26 27 28 2 20 21 22 23 1 32 33 6 34 7 29 30 3 31 4 36 14 16 35 9 11 24 19 
9 14 4 19 20 7 24 25 11 12 3 29 30 16 17 6 32 33 1 22 23 10 35 2 27 28 15 36 5 31 21 8 34 26 13 18 
10 15 5 20 21 8 25 26 12 13 29 30 3 17 18 32 33 6 22 23 1 35 9 27 28 2 36 14 31 4 19 34 7 24 11 16 
11 16 19 1 22 24 2 27 3 29 4 5 31 6 32 7 8 34 9 10 35 12 13 14 15 36 17 18 20 21 23 25 26 28 30 33 
12 17 20 22 23 25 27 28 29 30 5 31 4 32 33 8 34 7 10 35 9 13 11 15 36 14 18 16 21 19 1 26 24 2 3 6 
13 18 21 23 1 26 28 2 30 3 31 4 5 33 6 34 7 8 35 9 10 11 12 36 14 15 16 17 19 20 22 24 25 27 29 32 
14 9 7 24 25 4 19 20 16 17 6 32 33 11 12 3 29 30 2 27 28 15 36 1 22 23 10 35 8 34 26 5 31 21 18 13 
15 10 8 25 26 5 20 21 17 18 32 33 6 12 13 29 30 3 27 28 2 36 14 22 23 1 35 9 34 7 24 31 4 19 16 11 
16 11 24 2 27 19 1 22 6 32 7 8 34 3 29 4 5 31 14 15 36 17 18 9 10 35 12 13 25 26 28 20 21 23 33 30 
17 12 25 27 28 20 22 23 32 33 8 34 7 29 30 5 31 4 15 36 14 18 16 10 35 9 13 11 26 24 2 21 19 1 6 3 
18 13 26 28 2 21 23 1 33 6 34 7 8 30 3 31 4 5 36 14 15 16 17 35 9 10 11 12 24 25 27 19 20 22 32 29 
19 24 11 3 29 16 6 32 1 22 9 10 35 2 27 14 15 36 4 5 31 20 21 7 8 34 25 26 12 13 30 17 18 33 23 28 
20 25 12 29 30 17 32 33 22 23 10 35 9 27 28 15 36 14 5 31 4 21 19 8 34 7 26 24 13 11 3 18 16 6 1 2 
21 26 13 30 3 18 33 6 23 1 35 9 10 28 2 36 14 15 31 4 5 19 20 34 7 8 24 25 11 12 29 16 17 32 22 27 
22 27 29 5 31 32 8 34 10 35 12 13 11 15 36 17 18 16 20 21 19 23 1 25 26 24 28 2 30 3 4 33 6 7 9 14 
23 28 30 31 4 33 34 7 35 9 13 11 12 36 14 18 16 17 21 19 20 1 22 26 24 25 2 27 3 29 5 6 32 8 10 15 
24 19 16 6 32 11 3 29 2 27 14 15 36 1 22 9 10 35 7 8 34 25 26 4 5 31 20 21 17 18 33 12 13 30 28 23 
25 20 17 32 33 12 29 30 27 28 15 36 14 22 23 10 35 9 8 34 7 26 24 5 31 4 21 19 18 16 6 13 11 3 2 1 
26 21 18 33 6 13 30 3 28 2 36 14 15 23 1 35 9 10 34 7 8 24 25 31 4 5 19 20 16 17 32 11 12 29 27 22 
27 22 32 8 34 29 5 31 15 36 17 18 16 10 35 12 13 11 25 26 24 28 2 20 21 19 23 1 33 6 7 30 3 4 14 9 
28 23 33 34 7 30 31 4 36 14 18 16 17 35 9 13 11 12 26 24 25 2 27 21 19 20 1 22 6 32 8 3 29 5 15 10 
29 32 22 10 35 27 15 36 5 31 20 21 19 8 34 25 26 24 12 13 11 30 3 17 18 16 33 6 23 1 9 28 2 14 4 7 
30 33 23 35 9 28 36 14 31 4 21 19 20 34 7 26 24 25 13 11 12 3 29 18 16 17 6 32 1 22 10 2 27 15 5 8 
31 34 35 13 11 36 18 16 21 19 23 1 22 26 24 28 2 27 30 3 29 4 5 33 6 32 7 8 9 10 12 14 15 17 20 25 
32 29 27 15 36 22 10 35 8 34 25 26 24 5 31 20 21 19 17 18 16 33 6 12 13 11 30 3 28 2 14 23 1 9 7 4 
33 30 28 36 14 23 35 9 34 7 26 24 25 31 4 21 19 20 18 16 17 6 32 13 11 12 3 29 2 27 15 1 22 10 8 5 
34 31 36 18 16 35 13 11 26 24 28 2 27 21 19 23 1 22 33 6 32 7 8 30 3 29 4 5 14 15 17 9 10 12 25 20 
35 36 31 21 19 34 26 24 13 11 30 3 29 18 16 33 6 32 23 1 22 9 10 28 2 27 14 15 4 5 20 7 8 25 12 17 
36 35 34 26 24 31 21 19 18 16 33 6 32 13 11 30 3 29 28 2 27 14 15 23 1 22 9 10 7 8 25 4 5 20 17 12 
