42 5
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 
2 1 5 6 3 4 10 11 12 7 8 9 16 17 18 13 14 15 22 23 24 19 20 21 28 29 30 25 26 27 34 35 36 31 32 33 39 40 37 38 42 41 
3 10 7 8 2 16 1 13 14 5 6 22 4 19 20 11 12 28 9 25 26 17 18 34 15 31 32 23 24 39 21 37 38 29 30 42 27 41 35 36 33 40 
4 36 8 9 40 2 13 14 15 42 5 6 19 20 21 10 11 12 25 26 27 16 17 18 31 32 33 22 23 24 37 38 1 28 29 30 41 3 34 35 7 39 
5 7 10 11 1 13 2 16 17 3 4 19 6 22 23 8 9 25 12 28 29 14 15 31 18 34 35 20 21 37 24 39 40 26 27 41 30 42 32 33 36 38 
6 33 11 12 38 1 16 17 18 41 3 4 22 23 24 7 8 9 28 29 30 13 14 15 34 35 36 19 20 21 39 40 2 25 26 27 42 5 31 32 10 37 
7 5 1 13 10 11 3 4 19 2 16 17 8 9 25 6 22 23 14 15 31 12 28 29 20 21 37 18 34 35 26 27 41 24 39 40 32 33 30 42 38 36 
8 42 13 14 36 10 4 19 20 40 2 16 9 25 26 5 6 22 15 31 32 11 12 28 21 37 38 17 18 34 27 41 3 23 24 39 33 7 29 30 1 35 
9 30 14 15 35 36 19 20 21 39 40 2 25 26 27 42 5 6 31 32 33 10 11 12 37 38 1 16 17 18 41 3 4 22 23 24 7 8 28 29 13 34 
10 3 2 16 7 8 5 6 22 1 13 14 11 12 28 4 19 20 17 18 34 9 25 26 23 24 39 15 31 32 29 30 42 21 37 38 35 36 27 41 40 33 
11 41 16 17 33 7 6 22 23 38 1 13 12 28 29 3 4 19 18 34 35 8 9 25 24 39 40 14 15 31 30 42 5 20 21 37 36 10 26 27 2 32 
12 27 17 18 32 33 22 23 24 37 38 1 28 29 30 41 3 4 34 35 36 7 8 9 39 40 2 13 14 15 42 5 6 19 20 21 10 11 25 26 16 31 
13 40 4 19 42 5 8 9 25 36 10 11 14 15 31 2 16 17 20 21 37 6 22 23 26 27 41 12 28 29 32 33 7 18 34 35 38 1 24 39 3 30 
14 39 19 20 30 42 9 25 26 35 36 10 15 31 32 40 2 16 21 37 38 5 6 22 27 41 3 11 12 28 33 7 8 17 18 34 1 13 23 24 4 29 
15 24 20 21 29 30 25 26 27 34 35 36 31 32 33 39 40 2 37 38 1 42 5 6 41 3 4 10 11 12 7 8 9 16 17 18 13 14 22 23 19 28 
16 38 6 22 41 3 11 12 28 33 7 8 17 18 34 1 13 14 23 24 39 4 19 20 29 30 42 9 25 26 35 36 10 15 31 32 40 2 21 37 5 27 
17 37 22 23 27 41 12 28 29 32 33 7 18 34 35 38 1 13 24 39 40 3 4 19 30 42 5 8 9 25 36 10 11 14 15 31 2 16 20 21 6 26 
18 21 23 24 26 27 28 29 30 31 32 33 34 35 36 37 38 1 39 40 2 41 3 4 42 5 6 7 8 9 10 11 12 13 14 15 16 17 19 20 22 25 
19 35 9 25 39 40 14 15 31 30 42 5 20 21 37 36 10 11 26 27 41 2 16 17 32 33 7 6 22 23 38 1 13 12 28 29 3 4 18 34 8 24 
20 34 25 26 24 39 15 31 32 29 30 42 21 37 38 35 36 10 27 41 3 40 2 16 33 7 8 5 6 22 1 13 14 11 12 28 4 19 17 18 9 23 
21 18 26 27 23 24 31 32 33 28 29 30 37 38 1 34 35 36 41 3 4 39 40 2 7 8 9 42 5 6 13 14 15 10 11 12 19 20 16 17 25 22 
22 32 12 28 37 38 17 18 34 27 41 3 23 24 39 33 7 8 29 30 42 1 13 14 35 36 10 4 19 20 40 2 16 9 25 26 5 6 15 31 11 21 
23 31 28 29 21 37 18 34 35 26 27 41 24 39 40 32 33 7 30 42 5 38 1 13 36 10 11 3 4 19 2 16 17 8 9 25 6 22 14 15 12 20 
24 15 29 30 20 21 34 35 36 25 26 27 39 40 2 31 32 33 42 5 6 37 38 1 10 11 12 41 3 4 16 17 18 7 8 9 22 23 13 14 28 19 
25 29 15 31 34 35 20 21 37 24 39 40 26 27 41 30 42 5 32 33 7 36 10 11 38 1 13 2 16 17 3 4 19 6 22 23 8 9 12 28 14 18 
26 28 31 32 18 34 21 37 38 23 24 39 27 41 3 29 30 42 33 7 8 35 36 10 1 13 14 40 2 16 4 19 20 5 6 22 9 25 11 12 15 17 
27 12 32 33 17 18 37 38 1 22 23 24 41 3 4 28 29 30 7 8 9 34 35 36 13 14 15 39 40 2 19 20 21 42 5 6 25 26 10 11 31 16 
28 26 18 34 31 32 23 24 39 21 37 38 29 30 42 27 41 3 35 36 10 33 7 8 40 2 16 1 13 14 5 6 22 4 19 20 11 12 9 25 17 15 
29 25 34 35 15 31 24 39 40 20 21 37 30 42 5 26 27 41 36 10 11 32 33 7 2 16 17 38 1 13 6 22 23 3 4 19 12 28 8 9 18 14 
30 9 35 36 14 15 39 40 2 19 20 21 42 5 6 25 26 27 10 11 12 31 32 33 16 17 18 37 38 1 22 23 24 41 3 4 28 29 7 8 34 13 
31 23 21 37 28 29 26 27 41 18 34 35 32 33 7 24 39 40 38 1 13 30 42 5 3 4 19 36 10 11 8 9 25 2 16 17 14 15 6 22 20 12 
32 22 37 38 12 28 27 41 3 17 18 34 33 7 8 23 24 39 1 13 14 29 30 42 4 19 20 35 36 10 9 25 26 40 2 16 15 31 5 6 21 11 
33 6 38 1 11 12 41 3 4 16 17 18 7 8 9 22 23 24 13 14 15 28 29 30 19 20 21 34 35 36 25 26 27 39 40 2 31 32 42 5 37 10 
34 20 24 39 25 26 29 30 42 15 31 32 35 36 10 21 37 38 40 2 16 27 41 3 5 6 22 33 7 8 11 12 28 1 13 14 17 18 4 19 23 9 
35 19 39 40 9 25 30 42 5 14 15 31 36 10 11 20 21 37 2 16 17 26 27 41 6 22 23 32 33 7 12 28 29 38 1 13 18 34 3 4 24 8 
36 4 40 2 8 9 42 5 6 13 14 15 10 11 12 19 20 21 16 17 18 25 26 27 22 23 24 31 32 33 28 29 30 37 38 1 34 35 41 3 39 7 
37 17 27 41 22 23 32 33 7 12 28 29 38 1 13 18 34 35 3 4 19 24 39 40 8 9 25 30 42 5 14 15 31 36 10 11 20 21 2 16 26 6 
38 16 41 3 6 22 33 7 8 11 12 28 1 13 14 17 18 34 4 19 20 23 24 39 9 25 26 29 30 42 15 31 32 35 36 10 21 37 40 2 27 5 
39 14 30 42 19 20 35 36 10 9 25 26 40 2 16 15 31 32 5 6 22 21 37 38 11 12 28 27 41 3 17 18 34 33 7 8 23 24 1 13 29 4 
40 13 42 5 4 19 36 10 11 8 9 25 2 16 17 14 15 31 6 22 23 20 21 37 12 28 29 26 27 41 18 34 35 32 33 7 24 39 38 1 30 3 
41 11 33 7 16 17 38 1 13 6 22 23 3 4 19 12 28 29 8 9 25 18 34 35 14 15 31 24 39 40 20 21 37 30 42 5 26 27 36 10 32 2 
