44 3
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 
2 1 5 6 3 4 9 10 7 8 13 14 11 12 17 18 15 16 21 22 19 20 25 26 23 24 29 30 27 28 33 34 31 32 37 38 35 36 41 42 39 40 44 43 
3 5 1 7 2 9 4 11 6 13 8 15 10 17 12 19 14 21 16 23 18 25 20 27 22 29 24 31 26 33 28 35 30 37 32 39 34 41 36 43 38 44 40 42 
4 42 7 8 44 2 11 12 5 6 15 16 9 10 19 20 13 14 23 24 17 18 27 28 21 22 31 32 25 26 35 36 29 30 39 40 33 34 43 1 37 38 3 41 
5 3 2 9 1 7 6 13 4 11 10 17 8 15 14 21 12 19 18 25 16 23 22 29 20 27 26 33 24 31 30 37 28 35 34 41 32 39 38 44 36 43 42 40 
6 40 9 10 43 1 13 14 3 4 17 18 7 8 21 22 11 12 25 26 15 16 29 30 19 20 33 34 23 24 37 38 27 28 41 42 31 32 44 2 35 36 5 39 
7 44 4 11 42 5 8 15 2 9 12 19 6 13 16 23 10 17 20 27 14 21 24 31 18 25 28 35 22 29 32 39 26 33 36 43 30 37 40 3 34 41 1 38 
8 38 11 12 41 42 15 16 44 2 19 20 5 6 23 24 9 10 27 28 13 14 31 32 17 18 35 36 21 22 39 40 25 26 43 1 29 30 3 4 33 34 7 37 
9 43 6 13 40 3 10 17 1 7 14 21 4 11 18 25 8 15 22 29 12 19 26 33 16 23 30 37 20 27 34 41 24 31 38 44 28 35 42 5 32 39 2 36 
10 36 13 14 39 40 17 18 43 1 21 22 3 4 25 26 7 8 29 30 11 12 33 34 15 16 37 38 19 20 41 42 23 24 44 2 27 28 5 6 31 32 9 35 
11 41 8 15 38 44 12 19 42 5 16 23 2 9 20 27 6 13 24 31 10 17 28 35 14 21 32 39 18 25 36 43 22 29 40 3 26 33 1 7 30 37 4 34 
12 34 15 16 37 38 19 20 41 42 23 24 44 2 27 28 5 6 31 32 9 10 35 36 13 14 39 40 17 18 43 1 21 22 3 4 25 26 7 8 29 30 11 33 
13 39 10 17 36 43 14 21 40 3 18 25 1 7 22 29 4 11 26 33 8 15 30 37 12 19 34 41 16 23 38 44 20 27 42 5 24 31 2 9 28 35 6 32 
14 32 17 18 35 36 21 22 39 40 25 26 43 1 29 30 3 4 33 34 7 8 37 38 11 12 41 42 15 16 44 2 19 20 5 6 23 24 9 10 27 28 13 31 
15 37 12 19 34 41 16 23 38 44 20 27 42 5 24 31 2 9 28 35 6 13 32 39 10 17 36 43 14 21 40 3 18 25 1 7 22 29 4 11 26 33 8 30 
16 30 19 20 33 34 23 24 37 38 27 28 41 42 31 32 44 2 35 36 5 6 39 40 9 10 43 1 13 14 3 4 17 18 7 8 21 22 11 12 25 26 15 29 
