45 2
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 
2 5 6 7 1 11 12 13 14 15 3 4 19 20 21 22 23 24 8 9 10 28 29 30 31 32 33 16 17 18 36 37 38 39 40 25 26 27 42 43 44 34 35 45 41 
3 6 8 9 11 13 14 1 16 17 19 20 2 22 23 4 25 26 5 28 29 7 31 32 10 34 35 12 36 37 15 39 40 18 41 21 42 43 24 44 27 30 45 33 38 
4 7 9 10 12 14 15 16 17 18 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 1 36 37 38 39 40 2 41 3 42 43 5 44 6 8 45 11 13 19 
5 1 11 12 2 3 4 19 20 21 6 7 8 9 10 28 29 30 13 14 15 16 17 18 36 37 38 22 23 24 25 26 27 42 43 31 32 33 34 35 45 39 40 41 44 
6 11 13 14 3 19 20 2 22 23 8 9 5 28 29 7 31 32 1 16 17 12 36 37 15 39 40 4 25 26 21 42 43 24 44 10 34 35 30 45 33 18 41 38 27 
7 12 14 15 4 20 21 22 23 24 9 10 28 29 30 31 32 33 16 17 18 36 37 38 39 40 2 25 26 27 42 43 5 44 6 34 35 1 45 11 13 41 3 19 8 
8 13 1 16 19 2 22 3 4 25 5 28 6 7 31 9 10 34 11 12 36 14 15 39 17 18 41 20 21 42 23 24 44 26 27 29 30 45 32 33 35 37 38 40 43 
9 14 16 17 20 22 23 4 25 26 28 29 7 31 32 10 34 35 12 36 37 15 39 40 18 41 3 21 42 43 24 44 6 27 8 30 45 11 33 13 1 38 19 2 5 
10 15 17 18 21 23 24 25 26 27 29 30 31 32 33 34 35 1 36 37 38 39 40 2 41 3 4 42 43 5 44 6 7 8 9 45 11 12 13 14 16 19 20 22 28 
11 3 19 20 6 8 9 5 28 29 13 14 1 16 17 12 36 37 2 22 23 4 25 26 21 42 43 7 31 32 10 34 35 30 45 15 39 40 18 41 38 24 44 27 33 
12 4 20 21 7 9 10 28 29 30 14 15 16 17 18 36 37 38 22 23 24 25 26 27 42 43 5 31 32 33 34 35 1 45 11 39 40 2 41 3 19 44 6 8 13 
13 19 2 22 8 5 28 6 7 31 1 16 11 12 36 14 15 39 3 4 25 20 21 42 23 24 44 9 10 34 29 30 45 32 33 17 18 41 37 38 40 26 27 43 35 
14 20 22 23 9 28 29 7 31 32 16 17 12 36 37 15 39 40 4 25 26 21 42 43 24 44 6 10 34 35 30 45 11 33 13 18 41 3 38 19 2 27 8 5 1 
15 21 23 24 10 29 30 31 32 33 17 18 36 37 38 39 40 2 25 26 27 42 43 5 44 6 7 34 35 1 45 11 12 13 14 41 3 4 19 20 22 8 9 28 16 
16 22 4 25 28 7 31 9 10 34 12 36 14 15 39 17 18 41 20 21 42 23 24 44 26 27 8 29 30 45 32 33 13 35 1 37 38 19 40 2 3 43 5 6 11 
17 23 25 26 29 31 32 10 34 35 36 37 15 39 40 18 41 3 21 42 43 24 44 6 27 8 9 30 45 11 33 13 14 1 16 38 19 20 2 22 4 5 28 7 12 
18 24 26 27 30 32 33 34 35 1 37 38 39 40 2 41 3 4 42 43 5 44 6 7 8 9 10 45 11 12 13 14 15 16 17 19 20 21 22 23 25 28 29 31 36 
