50 5
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 
2 1 5 6 3 4 10 11 12 7 8 9 17 18 19 20 13 14 15 16 26 27 28 29 30 21 22 23 24 25 35 36 37 38 31 32 33 34 42 43 44 39 40 41 47 48 45 46 50 49 
3 5 7 8 10 11 13 14 15 17 18 19 21 22 23 24 26 27 28 29 1 31 32 33 34 2 35 36 37 38 4 39 40 41 6 42 43 44 9 45 46 12 47 48 16 49 20 50 25 30 
4 6 8 9 11 12 14 15 16 18 19 20 22 23 24 25 27 28 29 30 31 32 33 34 1 35 36 37 38 2 39 40 41 3 42 43 44 5 45 46 7 47 48 10 49 13 50 17 21 26 
5 3 10 11 7 8 17 18 19 13 14 15 26 27 28 29 21 22 23 24 2 35 36 37 38 1 31 32 33 34 6 42 43 44 4 39 40 41 12 47 48 9 45 46 20 50 16 49 30 25 
6 4 11 12 8 9 18 19 20 14 15 16 27 28 29 30 22 23 24 25 35 36 37 38 2 31 32 33 34 1 42 43 44 5 39 40 41 3 47 48 10 45 46 7 50 17 49 13 26 21 
7 10 13 14 17 18 21 22 23 26 27 28 1 31 32 33 2 35 36 37 3 4 39 40 41 5 6 42 43 44 8 9 45 46 11 12 47 48 15 16 49 19 20 50 24 25 29 30 34 38 
8 11 14 15 18 19 22 23 24 27 28 29 31 32 33 34 35 36 37 38 4 39 40 41 3 6 42 43 44 5 9 45 46 7 12 47 48 10 16 49 13 20 50 17 25 21 30 26 1 2 
9 12 15 16 19 20 23 24 25 28 29 30 32 33 34 1 36 37 38 2 39 40 41 3 4 42 43 44 5 6 45 46 7 8 47 48 10 11 49 13 14 50 17 18 21 22 26 27 31 35 
10 7 17 18 13 14 26 27 28 21 22 23 2 35 36 37 1 31 32 33 5 6 42 43 44 3 4 39 40 41 11 12 47 48 8 9 45 46 19 20 50 15 16 49 29 30 24 25 38 34 
11 8 18 19 14 15 27 28 29 22 23 24 35 36 37 38 31 32 33 34 6 42 43 44 5 4 39 40 41 3 12 47 48 10 9 45 46 7 20 50 17 16 49 13 30 26 25 21 2 1 
12 9 19 20 15 16 28 29 30 23 24 25 36 37 38 2 32 33 34 1 42 43 44 5 6 39 40 41 3 4 47 48 10 11 45 46 7 8 50 17 18 49 13 14 26 27 21 22 35 31 
13 17 21 22 26 27 1 31 32 2 35 36 3 4 39 40 5 6 42 43 7 8 9 45 46 10 11 12 47 48 14 15 16 49 18 19 20 50 23 24 25 28 29 30 33 34 37 38 41 44 
14 18 22 23 27 28 31 32 33 35 36 37 4 39 40 41 6 42 43 44 8 9 45 46 7 11 12 47 48 10 15 16 49 13 19 20 50 17 24 25 21 29 30 26 34 1 38 2 3 5 
15 19 23 24 28 29 32 33 34 36 37 38 39 40 41 3 42 43 44 5 9 45 46 7 8 12 47 48 10 11 16 49 13 14 20 50 17 18 25 21 22 30 26 27 1 31 2 35 4 6 
16 20 24 25 29 30 33 34 1 37 38 2 40 41 3 4 43 44 5 6 45 46 7 8 9 47 48 10 11 12 49 13 14 15 50 17 18 19 21 22 23 26 27 28 31 32 35 36 39 42 
17 13 26 27 21 22 2 35 36 1 31 32 5 6 42 43 3 4 39 40 10 11 12 47 48 7 8 9 45 46 18 19 20 50 14 15 16 49 28 29 30 23 24 25 37 38 33 34 44 41 
18 14 27 28 22 23 35 36 37 31 32 33 6 42 43 44 4 39 40 41 11 12 47 48 10 8 9 45 46 7 19 20 50 17 15 16 49 13 29 30 26 24 25 21 38 2 34 1 5 3 
