52 1
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 
2 3 5 6 1 7 9 10 4 11 13 14 8 15 17 18 12 19 21 22 16 23 25 26 20 27 29 30 24 31 33 34 28 35 37 38 32 39 41 42 36 43 45 46 40 47 49 50 44 51 52 48 
3 5 1 7 2 9 4 11 6 13 8 15 10 17 12 19 14 21 16 23 18 25 20 27 22 29 24 31 26 33 28 35 30 37 32 39 34 41 36 43 38 45 40 47 42 49 44 51 46 52 48 50 
4 50 7 8 52 2 11 12 5 6 15 16 9 10 19 20 13 14 23 24 17 18 27 28 21 22 31 32 25 26 35 36 29 30 39 40 33 34 43 44 37 38 47 48 41 42 51 1 45 46 3 49 
5 1 2 9 3 4 6 13 7 8 10 17 11 12 14 21 15 16 18 25 19 20 22 29 23 24 26 33 27 28 30 37 31 32 34 41 35 36 38 45 39 40 42 49 43 44 46 52 47 48 50 51 
6 51 9 10 48 3 13 14 1 7 17 18 4 11 21 22 8 15 25 26 12 19 29 30 16 23 33 34 20 27 37 38 24 31 41 42 28 35 45 46 32 39 49 50 36 43 52 2 40 47 5 44 
7 52 4 11 50 5 8 15 2 9 12 19 6 13 16 23 10 17 20 27 14 21 24 31 18 25 28 35 22 29 32 39 26 33 36 43 30 37 40 47 34 41 44 51 38 45 48 3 42 49 1 46 
8 46 11 12 49 50 15 16 52 2 19 20 5 6 23 24 9 10 27 28 13 14 31 32 17 18 35 36 21 22 39 40 25 26 43 44 29 30 47 48 33 34 51 1 37 38 3 4 41 42 7 45 
9 48 6 13 51 1 10 17 3 4 14 21 7 8 18 25 11 12 22 29 15 16 26 33 19 20 30 37 23 24 34 41 27 28 38 45 31 32 42 49 35 36 46 52 39 40 50 5 43 44 2 47 
10 47 13 14 44 51 17 18 48 3 21 22 1 7 25 26 4 11 29 30 8 15 33 34 12 19 37 38 16 23 41 42 20 27 45 46 24 31 49 50 28 35 52 2 32 39 5 6 36 43 9 40 
11 49 8 15 46 52 12 19 50 5 16 23 2 9 20 27 6 13 24 31 10 17 28 35 14 21 32 39 18 25 36 43 22 29 40 47 26 33 44 51 30 37 48 3 34 41 1 7 38 45 4 42 
12 42 15 16 45 46 19 20 49 50 23 24 52 2 27 28 5 6 31 32 9 10 35 36 13 14 39 40 17 18 43 44 21 22 47 48 25 26 51 1 29 30 3 4 33 34 7 8 37 38 11 41 
13 44 10 17 47 48 14 21 51 1 18 25 3 4 22 29 7 8 26 33 11 12 30 37 15 16 34 41 19 20 38 45 23 24 42 49 27 28 46 52 31 32 50 5 35 36 2 9 39 40 6 43 
14 43 17 18 40 47 21 22 44 51 25 26 48 3 29 30 1 7 33 34 4 11 37 38 8 15 41 42 12 19 45 46 16 23 49 50 20 27 52 2 24 31 5 6 28 35 9 10 32 39 13 36 
15 45 12 19 42 49 16 23 46 52 20 27 50 5 24 31 2 9 28 35 6 13 32 39 10 17 36 43 14 21 40 47 18 25 44 51 22 29 48 3 26 33 1 7 30 37 4 11 34 41 8 38 
16 38 19 20 41 42 23 24 45 46 27 28 49 50 31 32 52 2 35 36 5 6 39 40 9 10 43 44 13 14 47 48 17 18 51 1 21 22 3 4 25 26 7 8 29 30 11 12 33 34 15 37 
17 40 14 21 43 44 18 25 47 48 22 29 51 1 26 33 3 4 30 37 7 8 34 41 11 12 38 45 15 16 42 49 19 20 46 52 23 24 50 5 27 28 2 9 31 32 6 13 35 36 10 39 
18 39 21 22 36 43 25 26 40 47 29 30 44 51 33 34 48 3 37 38 1 7 41 42 4 11 45 46 8 15 49 50 12 19 52 2 16 23 5 6 20 27 9 10 24 31 13 14 28 35 17 32 
19 41 16 23 38 45 20 27 42 49 24 31 46 52 28 35 50 5 32 39 2 9 36 43 6 13 40 47 10 17 44 51 14 21 48 3 18 25 1 7 22 29 4 11 26 33 8 15 30 37 12 34 
20 34 23 24 37 38 27 28 41 42 31 32 45 46 35 36 49 50 39 40 52 2 43 44 5 6 47 48 9 10 51 1 13 14 3 4 17 18 7 8 21 22 11 12 25 26 15 16 29 30 19 33 
21 36 18 25 39 40 22 29 43 44 26 33 47 48 30 37 51 1 34 41 3 4 38 45 7 8 42 49 11 12 46 52 15 16 50 5 19 20 2 9 23 24 6 13 27 28 10 17 31 32 14 35 
22 35 25 26 32 39 29 30 36 43 33 34 40 47 37 38 44 51 41 42 48 3 45 46 1 7 49 50 4 11 52 2 8 15 5 6 12 19 9 10 16 23 13 14 20 27 17 18 24 31 21 28 
23 37 20 27 34 41 24 31 38 45 28 35 42 49 32 39 46 52 36 43 50 5 40 47 2 9 44 51 6 13 48 3 10 17 1 7 14 21 4 11 18 25 8 15 22 29 12 19 26 33 16 30 
24 30 27 28 33 34 31 32 37 38 35 36 41 42 39 40 45 46 43 44 49 50 47 48 52 2 51 1 5 6 3 4 9 10 7 8 13 14 11 12 17 18 15 16 21 22 19 20 25 26 23 29 
25 32 22 29 35 36 26 33 39 40 30 37 43 44 34 41 47 48 38 45 51 1 42 49 3 4 46 52 7 8 50 5 11 12 2 9 15 16 6 13 19 20 10 17 23 24 14 21 27 28 18 31 
26 31 29 30 28 35 33 34 32 39 37 38 36 43 41 42 40 47 45 46 44 51 49 50 48 3 52 2 1 7 5 6 4 11 9 10 8 15 13 14 12 19 17 18 16 23 21 22 20 27 25 24 
