54 9
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 
2 1 6 7 8 3 4 5 15 16 17 18 19 20 9 10 11 12 13 14 28 29 30 31 32 33 34 21 22 23 24 25 26 27 41 42 43 44 45 46 35 36 37 38 39 40 50 51 52 47 48 49 54 53 
3 6 9 10 11 15 16 17 5 21 22 23 24 25 8 28 29 30 31 32 13 14 35 36 37 38 39 19 20 41 42 43 44 45 26 27 1 47 48 49 33 34 2 50 51 52 40 4 53 46 7 54 12 18 
4 7 10 12 13 16 18 19 21 23 24 1 26 27 28 30 31 2 33 34 35 36 3 38 39 5 40 41 42 6 44 45 8 46 9 47 48 11 49 14 15 50 51 17 52 20 22 53 25 29 54 32 37 43 
5 8 11 13 14 17 19 20 22 24 25 26 27 1 29 31 32 33 34 2 36 37 38 39 3 40 4 42 43 44 45 6 46 7 47 48 9 49 10 12 50 51 15 52 16 18 53 21 23 54 28 30 35 41 
6 3 15 16 17 9 10 11 8 28 29 30 31 32 5 21 22 23 24 25 19 20 41 42 43 44 45 13 14 35 36 37 38 39 33 34 2 50 51 52 26 27 1 47 48 49 46 7 54 40 4 53 18 12 
7 4 16 18 19 10 12 13 28 30 31 2 33 34 21 23 24 1 26 27 41 42 6 44 45 8 46 35 36 3 38 39 5 40 15 50 51 17 52 20 9 47 48 11 49 14 29 54 32 22 53 25 43 37 
8 5 17 19 20 11 13 14 29 31 32 33 34 2 22 24 25 26 27 1 42 43 44 45 6 46 7 36 37 38 39 3 40 4 50 51 15 52 16 18 47 48 9 49 10 12 54 28 30 53 21 23 41 35 
9 15 5 21 22 8 28 29 11 13 14 35 36 37 17 19 20 41 42 43 24 25 26 27 1 47 48 31 32 33 34 2 50 51 38 39 3 40 4 53 44 45 6 46 7 54 49 10 12 52 16 18 23 30 
10 16 21 23 24 28 30 31 13 35 36 3 38 39 19 41 42 6 44 45 26 27 9 47 48 11 49 33 34 15 50 51 17 52 5 40 4 22 53 25 8 46 7 29 54 32 14 12 37 20 18 43 1 2 
11 17 22 24 25 29 31 32 14 36 37 38 39 3 20 42 43 44 45 6 27 1 47 48 9 49 10 34 2 50 51 15 52 16 40 4 5 53 21 23 46 7 8 54 28 30 12 13 35 18 19 41 26 33 
12 18 23 1 26 30 2 33 35 3 38 4 5 40 41 6 44 7 8 46 9 47 10 11 49 13 14 15 50 16 17 52 19 20 21 22 53 24 25 27 28 29 54 31 32 34 36 37 39 42 43 45 48 51 
13 19 24 26 27 31 33 34 36 38 39 5 40 4 42 44 45 8 46 7 47 48 11 49 10 14 12 50 51 17 52 16 20 18 22 53 21 25 23 1 29 54 28 32 30 2 37 35 3 43 41 6 9 15 
14 20 25 27 1 32 34 2 37 39 3 40 4 5 43 45 6 46 7 8 48 9 49 10 11 12 13 51 15 52 16 17 18 19 53 21 22 23 24 26 54 28 29 30 31 33 35 36 38 41 42 44 47 50 
15 9 8 28 29 5 21 22 17 19 20 41 42 43 11 13 14 35 36 37 31 32 33 34 2 50 51 24 25 26 27 1 47 48 44 45 6 46 7 54 38 39 3 40 4 53 52 16 18 49 10 12 30 23 
