55 2
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 
2 4 5 7 8 9 11 12 13 14 1 16 17 18 19 3 21 22 23 24 6 26 27 28 29 10 31 32 33 34 15 36 37 38 39 20 41 42 43 44 25 46 47 48 49 30 50 51 52 35 53 54 40 55 45 
3 5 6 8 9 10 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 1 50 51 52 2 53 54 4 55 7 11 
4 7 8 11 12 13 1 16 17 18 2 3 21 22 23 5 6 26 27 28 9 10 31 32 33 14 15 36 37 38 19 20 41 42 43 24 25 46 47 48 29 30 50 51 52 34 35 53 54 39 40 55 44 45 49 
5 8 9 12 13 14 16 17 18 19 3 21 22 23 24 6 26 27 28 29 10 31 32 33 34 15 36 37 38 39 20 41 42 43 44 25 46 47 48 49 30 50 51 52 2 35 53 54 4 40 55 7 45 11 1 
6 9 10 13 14 15 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 1 50 51 52 2 3 53 54 4 5 55 7 8 11 12 16 
7 11 12 1 16 17 2 3 21 22 4 5 6 26 27 8 9 10 31 32 13 14 15 36 37 18 19 20 41 42 23 24 25 46 47 28 29 30 50 51 33 34 35 53 54 38 39 40 55 43 44 45 48 49 52 
8 12 13 16 17 18 3 21 22 23 5 6 26 27 28 9 10 31 32 33 14 15 36 37 38 19 20 41 42 43 24 25 46 47 48 29 30 50 51 52 34 35 53 54 4 39 40 55 7 44 45 11 49 1 2 
9 13 14 17 18 19 21 22 23 24 6 26 27 28 29 10 31 32 33 34 15 36 37 38 39 20 41 42 43 44 25 46 47 48 49 30 50 51 52 2 35 53 54 4 5 40 55 7 8 45 11 12 1 16 3 
10 14 15 18 19 20 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 1 50 51 52 2 3 53 54 4 5 6 55 7 8 9 11 12 13 16 17 21 
11 1 16 2 3 21 4 5 6 26 7 8 9 10 31 12 13 14 15 36 17 18 19 20 41 22 23 24 25 46 27 28 29 30 50 32 33 34 35 53 37 38 39 40 55 42 43 44 45 47 48 49 51 52 54 
12 16 17 3 21 22 5 6 26 27 8 9 10 31 32 13 14 15 36 37 18 19 20 41 42 23 24 25 46 47 28 29 30 50 51 33 34 35 53 54 38 39 40 55 7 43 44 45 11 48 49 1 52 2 4 
13 17 18 21 22 23 6 26 27 28 9 10 31 32 33 14 15 36 37 38 19 20 41 42 43 24 25 46 47 48 29 30 50 51 52 34 35 53 54 4 39 40 55 7 8 44 45 11 12 49 1 16 2 3 5 
14 18 19 22 23 24 26 27 28 29 10 31 32 33 34 15 36 37 38 39 20 41 42 43 44 25 46 47 48 49 30 50 51 52 2 35 53 54 4 5 40 55 7 8 9 45 11 12 13 1 16 17 3 21 6 
