56 2
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 
2 4 6 7 8 10 5 12 13 14 15 16 18 11 20 1 21 22 23 24 26 19 28 3 29 30 31 32 34 27 36 9 37 38 39 40 42 35 44 17 45 46 47 48 49 43 51 25 52 53 54 50 55 33 56 41 
3 6 9 10 11 13 14 15 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 1 49 50 51 2 52 53 54 4 5 55 7 8 56 12 16 
4 7 10 5 12 14 8 16 18 11 20 1 22 15 24 2 26 19 28 3 30 23 32 6 34 27 36 9 38 31 40 13 42 35 44 17 46 39 48 21 49 43 51 25 52 47 54 29 50 55 33 53 56 37 41 45 
5 8 11 12 1 15 16 2 19 20 3 4 23 24 6 7 27 28 9 10 31 32 13 14 35 36 17 18 39 40 21 22 43 44 25 26 47 48 29 30 50 51 33 34 53 54 37 38 55 41 42 56 45 46 49 52 
6 10 13 14 15 18 11 20 21 22 23 24 26 19 28 3 29 30 31 32 34 27 36 9 37 38 39 40 42 35 44 17 45 46 47 48 49 43 51 25 2 52 53 54 4 50 55 33 7 8 56 5 12 41 16 1 
7 5 14 8 16 11 12 1 22 15 24 2 19 20 3 4 30 23 32 6 27 28 9 10 38 31 40 13 35 36 17 18 46 39 48 21 43 44 25 26 52 47 54 29 50 51 33 34 53 56 37 55 41 42 45 49 
8 12 15 16 2 20 1 4 23 24 6 7 28 3 10 5 31 32 13 14 36 9 18 11 39 40 21 22 44 17 26 19 47 48 29 30 51 25 34 27 53 54 37 38 55 33 42 35 56 45 46 41 49 43 52 50 
9 13 17 18 19 21 22 23 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 1 49 50 51 2 52 53 54 3 4 5 55 6 7 8 56 10 11 12 14 15 16 20 24 
10 14 18 11 20 22 15 24 26 19 28 3 30 23 32 6 34 27 36 9 38 31 40 13 42 35 44 17 46 39 48 21 49 43 51 25 52 47 54 29 4 50 55 33 7 53 56 37 5 12 41 8 16 45 1 2 
11 15 19 20 3 23 24 6 27 28 9 10 31 32 13 14 35 36 17 18 39 40 21 22 43 44 25 26 47 48 29 30 50 51 33 34 53 54 37 38 5 55 41 42 8 56 45 46 12 1 49 16 2 52 4 7 
