60 5
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 
2 3 1 6 4 5 8 9 7 12 10 11 15 13 14 17 18 16 21 19 20 23 24 22 26 27 25 30 28 29 32 33 31 36 34 35 39 37 38 41 42 40 45 43 44 47 48 46 50 51 49 54 52 53 56 57 55 60 58 59 
3 1 2 5 6 4 9 7 8 11 12 10 14 15 13 18 16 17 20 21 19 24 22 23 27 25 26 29 30 28 33 31 32 35 36 34 38 39 37 42 40 41 44 45 43 48 46 47 51 49 50 53 54 52 57 55 56 59 60 58 
4 7 10 1 8 11 2 5 12 3 6 9 16 19 22 13 20 23 14 17 24 15 18 21 28 31 34 25 32 35 26 29 36 27 30 33 40 43 46 37 44 47 38 41 48 39 42 45 52 55 58 49 56 59 50 53 60 51 54 57 
5 9 11 3 7 12 1 6 10 2 4 8 18 20 24 14 21 22 15 16 23 13 17 19 29 33 35 27 31 36 25 30 34 26 28 32 42 44 48 38 45 46 39 40 47 37 41 43 53 57 59 51 55 60 49 54 58 50 52 56 
6 8 12 2 9 10 3 4 11 1 5 7 17 21 23 15 19 24 13 18 22 14 16 20 30 32 36 26 33 34 27 28 35 25 29 31 41 45 47 39 43 48 37 42 46 38 40 44 54 56 60 50 57 58 51 52 59 49 53 55 
7 10 4 11 1 8 5 12 2 9 3 6 22 16 19 20 23 13 24 14 17 18 21 15 31 34 28 35 25 32 29 36 26 33 27 30 46 40 43 44 47 37 48 38 41 42 45 39 55 58 52 59 49 56 53 60 50 57 51 54 
8 12 6 10 2 9 4 11 3 7 1 5 23 17 21 19 24 15 22 13 18 16 20 14 32 36 30 34 26 33 28 35 27 31 25 29 47 41 45 43 48 39 46 37 42 40 44 38 56 60 54 58 50 57 52 59 51 55 49 53 
9 11 5 12 3 7 6 10 1 8 2 4 24 18 20 21 22 14 23 15 16 17 19 13 33 35 29 36 27 31 30 34 25 32 26 28 48 42 44 45 46 38 47 39 40 41 43 37 57 59 53 60 51 55 54 58 49 56 50 52 
10 4 7 8 11 1 12 2 5 6 9 3 19 22 16 23 13 20 17 24 14 21 15 18 34 28 31 32 35 25 36 26 29 30 33 27 43 46 40 47 37 44 41 48 38 45 39 42 58 52 55 56 59 49 60 50 53 54 57 51 
11 5 9 7 12 3 10 1 6 4 8 2 20 24 18 22 14 21 16 23 15 19 13 17 35 29 33 31 36 27 34 25 30 28 32 26 44 48 42 46 38 45 40 47 39 43 37 41 59 53 57 55 60 51 58 49 54 52 56 50 
12 6 8 9 10 2 11 3 4 5 7 1 21 23 17 24 15 19 18 22 13 20 14 16 36 30 32 33 34 26 35 27 28 29 31 25 45 47 41 48 39 43 42 46 37 44 38 40 60 54 56 57 58 50 59 51 52 53 55 49 
13 14 15 25 26 27 37 38 39 49 50 51 1 2 3 28 29 30 40 41 42 52 53 54 4 5 6 16 17 18 43 44 45 55 56 57 7 8 9 19 20 21 31 32 33 58 59 60 10 11 12 22 23 24 34 35 36 46 47 48 
14 15 13 27 25 26 38 39 37 51 49 50 3 1 2 29 30 28 42 40 41 53 54 52 5 6 4 18 16 17 44 45 43 57 55 56 9 7 8 20 21 19 33 31 32 59 60 58 11 12 10 24 22 23 35 36 34 48 46 47 
15 13 14 26 27 25 39 37 38 50 51 49 2 3 1 30 28 29 41 42 40 54 52 53 6 4 5 17 18 16 45 43 44 56 57 55 8 9 7 21 19 20 32 33 31 60 58 59 12 10 11 23 24 22 36 34 35 47 48 46 
16 19 22 28 31 34 40 43 46 52 55 58 4 7 10 25 32 35 37 44 47 49 56 59 1 8 11 13 20 23 38 41 48 50 53 60 2 5 12 14 17 24 26 29 36 51 54 57 3 6 9 15 18 21 27 30 33 39 42 45 
17 21 23 30 32 36 41 45 47 54 56 60 6 8 12 26 33 34 39 43 48 50 57 58 2 9 10 15 19 24 37 42 46 51 52 59 3 4 11 13 18 22 27 28 35 49 53 55 1 5 7 14 16 20 25 29 31 38 40 44 
18 20 24 29 33 35 42 44 48 53 57 59 5 9 11 27 31 36 38 45 46 51 55 60 3 7 12 14 21 22 39 40 47 49 54 58 1 6 10 15 16 23 25 30 34 50 52 56 2 4 8 13 17 19 26 28 32 37 41 43 
19 22 16 34 28 31 43 46 40 58 52 55 10 4 7 32 35 25 47 37 44 56 59 49 8 11 1 23 13 20 41 48 38 60 50 53 12 2 5 17 24 14 36 26 29 54 57 51 6 9 3 21 15 18 30 33 27 45 39 42 
20 24 18 35 29 33 44 48 42 59 53 57 11 5 9 31 36 27 46 38 45 55 60 51 7 12 3 22 14 21 40 47 39 58 49 54 10 1 6 16 23 15 34 25 30 52 56 50 4 8 2 19 13 17 28 32 26 43 37 41 
21 23 17 36 30 32 45 47 41 60 54 56 12 6 8 33 34 26 48 39 43 57 58 50 9 10 2 24 15 19 42 46 37 59 51 52 11 3 4 18 22 13 35 27 28 53 55 49 5 7 1 20 14 16 29 31 25 44 38 40 
22 16 19 31 34 28 46 40 43 55 58 52 7 10 4 35 25 32 44 47 37 59 49 56 11 1 8 20 23 13 48 38 41 53 60 50 5 12 2 24 14 17 29 36 26 57 51 54 9 3 6 18 21 15 33 27 30 42 45 39 
23 17 21 32 36 30 47 41 45 56 60 54 8 12 6 34 26 33 43 48 39 58 50 57 10 2 9 19 24 15 46 37 42 52 59 51 4 11 3 22 13 18 28 35 27 55 49 53 7 1 5 16 20 14 31 25 29 40 44 38 
24 18 20 33 35 29 48 42 44 57 59 53 9 11 5 36 27 31 45 46 38 60 51 55 12 3 7 21 22 14 47 39 40 54 58 49 6 10 1 23 15 16 30 34 25 56 50 52 8 2 4 17 19 13 32 26 28 41 43 37 
25 37 49 13 38 50 14 26 51 15 27 39 28 40 52 1 41 53 2 29 54 3 30 42 16 43 55 4 44 56 5 17 57 6 18 45 19 31 58 7 32 59 8 20 60 9 21 33 22 34 46 10 35 47 11 23 48 12 24 36 
26 39 50 15 37 51 13 27 49 14 25 38 30 41 54 2 42 52 3 28 53 1 29 40 17 45 56 6 43 57 4 18 55 5 16 44 21 32 60 8 33 58 9 19 59 7 20 31 23 36 47 12 34 48 10 24 46 11 22 35 
27 38 51 14 39 49 15 25 50 13 26 37 29 42 53 3 40 54 1 30 52 2 28 41 18 44 57 5 45 55 6 16 56 4 17 43 20 33 59 9 31 60 7 21 58 8 19 32 24 35 48 11 36 46 12 22 47 10 23 34 
28 40 52 16 43 55 19 31 58 22 34 46 25 37 49 4 44 56 7 32 59 10 35 47 13 38 50 1 41 53 8 20 60 11 23 48 14 26 51 2 29 54 5 17 57 12 24 36 15 27 39 3 30 42 6 18 45 9 21 33 
29 42 53 18 44 57 20 33 59 24 35 48 27 38 51 5 45 55 9 31 60 11 36 46 14 39 49 3 40 54 7 21 58 12 22 47 15 25 50 1 30 52 6 16 56 10 23 34 13 26 37 2 28 41 4 17 43 8 19 32 
30 41 54 17 45 56 21 32 60 23 36 47 26 39 50 6 43 57 8 33 58 12 34 48 15 37 51 2 42 52 9 19 59 10 24 46 13 27 49 3 28 53 4 18 55 11 22 35 14 25 38 1 29 40 5 16 44 7 20 31 
31 46 55 22 40 58 16 34 52 19 28 43 35 44 59 7 47 49 10 25 56 4 32 37 20 48 53 11 38 60 1 23 50 8 13 41 24 29 57 5 36 51 12 14 54 2 17 26 18 33 42 9 27 45 3 21 39 6 15 30 
32 47 56 23 41 60 17 36 54 21 30 45 34 43 58 8 48 50 12 26 57 6 33 39 19 46 52 10 37 59 2 24 51 9 15 42 22 28 55 4 35 49 11 13 53 3 18 27 16 31 40 7 25 44 1 20 38 5 14 29 
33 48 57 24 42 59 18 35 53 20 29 44 36 45 60 9 46 51 11 27 55 5 31 38 21 47 54 12 39 58 3 22 49 7 14 40 23 30 56 6 34 50 10 15 52 1 16 25 17 32 41 8 26 43 2 19 37 4 13 28 
34 43 58 19 46 52 22 28 55 16 31 40 32 47 56 10 37 59 4 35 49 7 25 44 23 41 60 8 48 50 11 13 53 1 20 38 17 36 54 12 26 57 2 24 51 5 14 29 21 30 45 6 33 39 9 15 42 3 18 27 
35 44 59 20 48 53 24 29 57 18 33 42 31 46 55 11 38 60 5 36 51 9 27 45 22 40 58 7 47 49 12 14 54 3 21 39 16 34 52 10 25 56 1 23 50 6 15 30 19 28 43 4 32 37 8 13 41 2 17 26 
36 45 60 21 47 54 23 30 56 17 32 41 33 48 57 12 39 58 6 34 50 8 26 43 24 42 59 9 46 51 10 15 52 2 19 37 18 35 53 11 27 55 3 22 49 4 13 28 20 29 44 5 31 38 7 14 40 1 16 25 
37 49 25 50 13 38 26 51 14 39 15 27 52 28 40 41 53 1 54 2 29 30 42 3 43 55 16 56 4 44 17 57 5 45 6 18 58 19 31 32 59 7 60 8 20 21 33 9 34 46 22 47 10 35 23 48 11 36 12 24 
38 51 27 49 14 39 25 50 15 37 13 26 53 29 42 40 54 3 52 1 30 28 41 2 44 57 18 55 5 45 16 56 6 43 4 17 59 20 33 31 60 9 58 7 21 19 32 8 35 48 24 46 11 36 22 47 12 34 10 23 
39 50 26 51 15 37 27 49 13 38 14 25 54 30 41 42 52 2 53 3 28 29 40 1 45 56 17 57 6 43 18 55 4 44 5 16 60 21 32 33 58 8 59 9 19 20 31 7 36 47 23 48 12 34 24 46 10 35 11 22 
40 52 28 55 16 43 31 58 19 46 22 34 49 25 37 44 56 4 59 7 32 35 47 10 38 50 13 53 1 41 20 60 8 48 11 23 51 14 26 29 54 2 57 5 17 24 36 12 27 39 15 42 3 30 18 45 6 33 9 21 
41 54 30 56 17 45 32 60 21 47 23 36 50 26 39 43 57 6 58 8 33 34 48 12 37 51 15 52 2 42 19 59 9 46 10 24 49 13 27 28 53 3 55 4 18 22 35 11 25 38 14 40 1 29 16 44 5 31 7 20 
42 53 29 57 18 44 33 59 20 48 24 35 51 27 38 45 55 5 60 9 31 36 46 11 39 49 14 54 3 40 21 58 7 47 12 22 50 15 25 30 52 1 56 6 16 23 34 10 26 37 13 41 2 28 17 43 4 32 8 19 
43 58 34 52 19 46 28 55 22 40 16 31 56 32 47 37 59 10 49 4 35 25 44 7 41 60 23 50 8 48 13 53 11 38 1 20 54 17 36 26 57 12 51 2 24 14 29 5 30 45 21 39 6 33 15 42 9 27 3 18 
44 59 35 53 20 48 29 57 24 42 18 33 55 31 46 38 60 11 51 5 36 27 45 9 40 58 22 49 7 47 14 54 12 39 3 21 52 16 34 25 56 10 50 1 23 15 30 6 28 43 19 37 4 32 13 41 8 26 2 17 
45 60 36 54 21 47 30 56 23 41 17 32 57 33 48 39 58 12 50 6 34 26 43 8 42 59 24 51 9 46 15 52 10 37 2 19 53 18 35 27 55 11 49 3 22 13 28 4 29 44 20 38 5 31 14 40 7 25 1 16 
46 55 31 58 22 40 34 52 16 43 19 28 59 35 44 47 49 7 56 10 25 32 37 4 48 53 20 60 11 38 23 50 1 41 8 13 57 24 29 36 51 5 54 12 14 17 26 2 33 42 18 45 9 27 21 39 3 30 6 15 
47 56 32 60 23 41 36 54 17 45 21 30 58 34 43 48 50 8 57 12 26 33 39 6 46 52 19 59 10 37 24 51 2 42 9 15 55 22 28 35 49 4 53 11 13 18 27 3 31 40 16 44 7 25 20 38 1 29 5 14 
48 57 33 59 24 42 35 53 18 44 20 29 60 36 45 46 51 9 55 11 27 31 38 5 47 54 21 58 12 39 22 49 3 40 7 14 56 23 30 34 50 6 52 10 15 16 25 1 32 41 17 43 8 26 19 37 2 28 4 13 
49 25 37 38 50 13 51 14 26 27 39 15 40 52 28 53 1 41 29 54 2 42 3 30 55 16 43 44 56 4 57 5 17 18 45 6 31 58 19 59 7 32 20 60 8 33 9 21 46 22 34 35 47 10 48 11 23 24 36 12 
50 26 39 37 51 15 49 13 27 25 38 14 41 54 30 52 2 42 28 53 3 40 1 29 56 17 45 43 57 6 55 4 18 16 44 5 32 60 21 58 8 33 19 59 9 31 7 20 47 23 36 34 48 12 46 10 24 22 35 11 
51 27 38 39 49 14 50 15 25 26 37 13 42 53 29 54 3 40 30 52 1 41 2 28 57 18 44 45 55 5 56 6 16 17 43 4 33 59 20 60 9 31 21 58 7 32 8 19 48 24 35 36 46 11 47 12 22 23 34 10 
52 28 40 43 55 16 58 19 31 34 46 22 37 49 25 56 4 44 32 59 7 47 10 35 50 13 38 41 53 1 60 8 20 23 48 11 26 51 14 54 2 29 17 57 5 36 12 24 39 15 27 30 42 3 45 6 18 21 33 9 
53 29 42 44 57 18 59 20 33 35 48 24 38 51 27 55 5 45 31 60 9 46 11 36 49 14 39 40 54 3 58 7 21 22 47 12 25 50 15 52 1 30 16 56 6 34 10 23 37 13 26 28 41 2 43 4 17 19 32 8 
54 30 41 45 56 17 60 21 32 36 47 23 39 50 26 57 6 43 33 58 8 48 12 34 51 15 37 42 52 2 59 9 19 24 46 10 27 49 13 53 3 28 18 55 4 35 11 22 38 14 25 29 40 1 44 5 16 20 31 7 
55 31 46 40 58 22 52 16 34 28 43 19 44 59 35 49 7 47 25 56 10 37 4 32 53 20 48 38 60 11 50 1 23 13 41 8 29 57 24 51 5 36 14 54 12 26 2 17 42 18 33 27 45 9 39 3 21 15 30 6 
56 32 47 41 60 23 54 17 36 30 45 21 43 58 34 50 8 48 26 57 12 39 6 33 52 19 46 37 59 10 51 2 24 15 42 9 28 55 22 49 4 35 13 53 11 27 3 18 40 16 31 25 44 7 38 1 20 14 29 5 
57 33 48 42 59 24 53 18 35 29 44 20 45 60 36 51 9 46 27 55 11 38 5 31 54 21 47 39 58 12 49 3 22 14 40 7 30 56 23 50 6 34 15 52 10 25 1 16 41 17 32 26 43 8 37 2 19 13 28 4 
58 34 43 46 52 19 55 22 28 31 40 16 47 56 32 59 10 37 35 49 4 44 7 25 60 23 41 48 50 8 53 11 13 20 38 1 36 54 17 57 12 26 24 51 2 29 5 14 45 21 30 33 39 6 42 9 15 18 27 3 
59 35 44 48 53 20 57 24 29 33 42 18 46 55 31 60 11 38 36 51 5 45 9 27 58 22 40 47 49 7 54 12 14 21 39 3 34 52 16 56 10 25 23 50 1 30 6 15 43 19 28 32 37 4 41 8 13 17 26 2 
60 36 45 47 54 21 56 23 30 32 41 17 48 57 33 58 12 39 34 50 6 43 8 26 59 24 42 46 51 9 52 10 15 19 37 2 35 53 18 55 11 27 22 49 3 28 4 13 44 20 29 31 38 5 40 7 14 16 25 1 
