63 4
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 
2 5 6 7 1 11 12 13 14 15 3 4 19 20 21 22 23 24 8 9 10 28 29 30 31 32 33 16 17 18 37 38 39 40 41 42 25 26 27 46 47 48 49 50 51 34 35 36 54 55 56 57 58 43 44 45 60 61 62 52 53 63 59 
3 6 8 9 11 13 14 1 16 17 19 20 2 22 23 4 25 26 5 28 29 7 31 32 10 34 35 12 37 38 15 40 41 18 43 44 21 46 47 24 49 50 27 52 53 30 54 55 33 57 58 36 59 39 60 61 42 62 45 48 63 51 56 
4 7 9 10 12 14 15 16 17 18 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 1 54 55 56 57 58 2 59 3 60 61 5 62 6 8 63 11 13 19 
5 1 11 12 2 3 4 19 20 21 6 7 8 9 10 28 29 30 13 14 15 16 17 18 37 38 39 22 23 24 25 26 27 46 47 48 31 32 33 34 35 36 54 55 56 40 41 42 43 44 45 60 61 49 50 51 52 53 63 57 58 59 62 
6 11 13 14 3 19 20 2 22 23 8 9 5 28 29 7 31 32 1 16 17 12 37 38 15 40 41 4 25 26 21 46 47 24 49 50 10 34 35 30 54 55 33 57 58 18 43 44 39 60 61 42 62 27 52 53 48 63 51 36 59 56 45 
7 12 14 15 4 20 21 22 23 24 9 10 28 29 30 31 32 33 16 17 18 37 38 39 40 41 42 25 26 27 46 47 48 49 50 51 34 35 36 54 55 56 57 58 2 43 44 45 60 61 5 62 6 52 53 1 63 11 13 59 3 19 8 
8 13 1 16 19 2 22 3 4 25 5 28 6 7 31 9 10 34 11 12 37 14 15 40 17 18 43 20 21 46 23 24 49 26 27 52 29 30 54 32 33 57 35 36 59 38 39 60 41 42 62 44 45 47 48 63 50 51 53 55 56 58 61 
9 14 16 17 20 22 23 4 25 26 28 29 7 31 32 10 34 35 12 37 38 15 40 41 18 43 44 21 46 47 24 49 50 27 52 53 30 54 55 33 57 58 36 59 3 39 60 61 42 62 6 45 8 48 63 11 51 13 1 56 19 2 5 
10 15 17 18 21 23 24 25 26 27 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 1 54 55 56 57 58 2 59 3 4 60 61 5 62 6 7 8 9 63 11 12 13 14 16 19 20 22 28 
11 3 19 20 6 8 9 5 28 29 13 14 1 16 17 12 37 38 2 22 23 4 25 26 21 46 47 7 31 32 10 34 35 30 54 55 15 40 41 18 43 44 39 60 61 24 49 50 27 52 53 48 63 33 57 58 36 59 56 42 62 45 51 
12 4 20 21 7 9 10 28 29 30 14 15 16 17 18 37 38 39 22 23 24 25 26 27 46 47 48 31 32 33 34 35 36 54 55 56 40 41 42 43 44 45 60 61 5 49 50 51 52 53 1 63 11 57 58 2 59 3 19 62 6 8 13 
13 19 2 22 8 5 28 6 7 31 1 16 11 12 37 14 15 40 3 4 25 20 21 46 23 24 49 9 10 34 29 30 54 32 33 57 17 18 43 38 39 60 41 42 62 26 27 52 47 48 63 50 51 35 36 59 55 56 58 44 45 61 53 
14 20 22 23 9 28 29 7 31 32 16 17 12 37 38 15 40 41 4 25 26 21 46 47 24 49 50 10 34 35 30 54 55 33 57 58 18 43 44 39 60 61 42 62 6 27 52 53 48 63 11 51 13 36 59 3 56 19 2 45 8 5 1 
15 21 23 24 10 29 30 31 32 33 17 18 37 38 39 40 41 42 25 26 27 46 47 48 49 50 51 34 35 36 54 55 56 57 58 2 43 44 45 60 61 5 62 6 7 52 53 1 63 11 12 13 14 59 3 4 19 20 22 8 9 28 16 
16 22 4 25 28 7 31 9 10 34 12 37 14 15 40 17 18 43 20 21 46 23 24 49 26 27 52 29 30 54 32 33 57 35 36 59 38 39 60 41 42 62 44 45 8 47 48 63 50 51 13 53 1 55 56 19 58 2 3 61 5 6 11 
17 23 25 26 29 31 32 10 34 35 37 38 15 40 41 18 43 44 21 46 47 24 49 50 27 52 53 30 54 55 33 57 58 36 59 3 39 60 61 42 62 6 45 8 9 48 63 11 51 13 14 1 16 56 19 20 2 22 4 5 28 7 12 
18 24 26 27 30 32 33 34 35 36 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 1 54 55 56 57 58 2 59 3 4 60 61 5 62 6 7 8 9 10 63 11 12 13 14 15 16 17 19 20 21 22 23 25 28 29 31 37 
19 8 5 28 13 1 16 11 12 37 2 22 3 4 25 20 21 46 6 7 31 9 10 34 29 30 54 14 15 40 17 18 43 38 39 60 23 24 49 26 27 52 47 48 63 32 33 57 35 36 59 55 56 41 42 62 44 45 61 50 51 53 58 
20 9 28 29 14 16 17 12 37 38 22 23 4 25 26 21 46 47 7 31 32 10 34 35 30 54 55 15 40 41 18 43 44 39 60 61 24 49 50 27 52 53 48 63 11 33 57 58 36 59 3 56 19 42 62 6 45 8 5 51 13 1 2 
21 10 29 30 15 17 18 37 38 39 23 24 25 26 27 46 47 48 31 32 33 34 35 36 54 55 56 40 41 42 43 44 45 60 61 5 49 50 51 52 53 1 63 11 12 57 58 2 59 3 4 19 20 62 6 7 8 9 28 13 14 16 22 
22 28 7 31 16 12 37 14 15 40 4 25 20 21 46 23 24 49 9 10 34 29 30 54 32 33 57 17 18 43 38 39 60 41 42 62 26 27 52 47 48 63 50 51 13 35 36 59 55 56 19 58 2 44 45 8 61 5 6 53 1 11 3 
23 29 31 32 17 37 38 15 40 41 25 26 21 46 47 24 49 50 10 34 35 30 54 55 33 57 58 18 43 44 39 60 61 42 62 6 27 52 53 48 63 11 51 13 14 36 59 3 56 19 20 2 22 45 8 9 5 28 7 1 16 12 4 
24 30 32 33 18 38 39 40 41 42 26 27 46 47 48 49 50 51 34 35 36 54 55 56 57 58 2 43 44 45 60 61 5 62 6 7 52 53 1 63 11 12 13 14 15 59 3 4 19 20 21 22 23 8 9 10 28 29 31 16 17 37 25 
25 31 10 34 37 15 40 17 18 43 21 46 23 24 49 26 27 52 29 30 54 32 33 57 35 36 59 38 39 60 41 42 62 44 45 8 47 48 63 50 51 13 53 1 16 55 56 19 58 2 22 3 4 61 5 28 6 7 9 11 12 14 20 
26 32 34 35 38 40 41 18 43 44 46 47 24 49 50 27 52 53 30 54 55 33 57 58 36 59 3 39 60 61 42 62 6 45 8 9 48 63 11 51 13 14 1 16 17 56 19 20 2 22 23 4 25 5 28 29 7 31 10 12 37 15 21 
27 33 35 36 39 41 42 43 44 45 47 48 49 50 51 52 53 1 54 55 56 57 58 2 59 3 4 60 61 5 62 6 7 8 9 10 63 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 28 29 30 31 32 34 37 38 40 46 
28 16 12 37 22 4 25 20 21 46 7 31 9 10 34 29 30 54 14 15 40 17 18 43 38 39 60 23 24 49 26 27 52 47 48 63 32 33 57 35 36 59 55 56 19 41 42 62 44 45 8 61 5 50 51 13 53 1 11 58 2 3 6 
29 17 37 38 23 25 26 21 46 47 31 32 10 34 35 30 54 55 15 40 41 18 43 44 39 60 61 24 49 50 27 52 53 48 63 11 33 57 58 36 59 3 56 19 20 42 62 6 45 8 9 5 28 51 13 14 1 16 12 2 22 4 7 
30 18 38 39 24 26 27 46 47 48 32 33 34 35 36 54 55 56 40 41 42 43 44 45 60 61 5 49 50 51 52 53 1 63 11 12 57 58 2 59 3 4 19 20 21 62 6 7 8 9 10 28 29 13 14 15 16 17 37 22 23 25 31 
31 37 15 40 25 21 46 23 24 49 10 34 29 30 54 32 33 57 17 18 43 38 39 60 41 42 62 26 27 52 47 48 63 50 51 13 35 36 59 55 56 19 58 2 22 44 45 8 61 5 28 6 7 53 1 16 11 12 14 3 4 20 9 
32 38 40 41 26 46 47 24 49 50 34 35 30 54 55 33 57 58 18 43 44 39 60 61 42 62 6 27 52 53 48 63 11 51 13 14 36 59 3 56 19 20 2 22 23 45 8 9 5 28 29 7 31 1 16 17 12 37 15 4 25 21 10 
33 39 41 42 27 47 48 49 50 51 35 36 54 55 56 57 58 2 43 44 45 60 61 5 62 6 7 52 53 1 63 11 12 13 14 15 59 3 4 19 20 21 22 23 24 8 9 10 28 29 30 31 32 16 17 18 37 38 40 25 26 46 34 
34 40 18 43 46 24 49 26 27 52 30 54 32 33 57 35 36 59 38 39 60 41 42 62 44 45 8 47 48 63 50 51 13 53 1 16 55 56 19 58 2 22 3 4 25 61 5 28 6 7 31 9 10 11 12 37 14 15 17 20 21 23 29 
35 41 43 44 47 49 50 27 52 53 54 55 33 57 58 36 59 3 39 60 61 42 62 6 45 8 9 48 63 11 51 13 14 1 16 17 56 19 20 2 22 23 4 25 26 5 28 29 7 31 32 10 34 12 37 38 15 40 18 21 46 24 30 
36 42 44 45 48 50 51 52 53 1 55 56 57 58 2 59 3 4 60 61 5 62 6 7 8 9 10 63 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 37 38 39 40 41 43 46 47 49 54 
37 25 21 46 31 10 34 29 30 54 15 40 17 18 43 38 39 60 23 24 49 26 27 52 47 48 63 32 33 57 35 36 59 55 56 19 41 42 62 44 45 8 61 5 28 50 51 13 53 1 16 11 12 58 2 22 3 4 20 6 7 9 14 
38 26 46 47 32 34 35 30 54 55 40 41 18 43 44 39 60 61 24 49 50 27 52 53 48 63 11 33 57 58 36 59 3 56 19 20 42 62 6 45 8 9 5 28 29 51 13 14 1 16 17 12 37 2 22 23 4 25 21 7 31 10 15 
39 27 47 48 33 35 36 54 55 56 41 42 43 44 45 60 61 5 49 50 51 52 53 1 63 11 12 57 58 2 59 3 4 19 20 21 62 6 7 8 9 10 28 29 30 13 14 15 16 17 18 37 38 22 23 24 25 26 46 31 32 34 40 
