66 4
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 
2 1 5 6 3 4 10 11 12 7 8 9 16 17 18 13 14 15 22 23 24 19 20 21 28 29 30 25 26 27 34 35 36 31 32 33 40 41 42 37 38 39 46 47 48 43 44 45 52 53 54 49 50 51 58 59 60 55 56 57 63 64 61 62 66 65 
3 5 7 8 10 11 1 13 14 2 16 17 4 19 20 6 22 23 9 25 26 12 28 29 15 31 32 18 34 35 21 37 38 24 40 41 27 43 44 30 46 47 33 49 50 36 52 53 39 55 56 42 58 59 45 61 62 48 63 64 51 65 54 66 57 60 
4 6 8 9 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 1 63 64 2 65 3 66 5 7 10 
5 3 10 11 7 8 2 16 17 1 13 14 6 22 23 4 19 20 12 28 29 9 25 26 18 34 35 15 31 32 24 40 41 21 37 38 30 46 47 27 43 44 36 52 53 33 49 50 42 58 59 39 55 56 48 63 64 45 61 62 54 66 51 65 60 57 
6 4 11 12 8 9 16 17 18 13 14 15 22 23 24 19 20 21 28 29 30 25 26 27 34 35 36 31 32 33 40 41 42 37 38 39 46 47 48 43 44 45 52 53 54 49 50 51 58 59 60 55 56 57 63 64 2 61 62 1 66 5 65 3 10 7 
7 10 1 13 2 16 3 4 19 5 6 22 8 9 25 11 12 28 14 15 31 17 18 34 20 21 37 23 24 40 26 27 43 29 30 46 32 33 49 35 36 52 38 39 55 41 42 58 44 45 61 47 48 63 50 51 65 53 54 66 56 57 59 60 62 64 
8 11 13 14 16 17 4 19 20 6 22 23 9 25 26 12 28 29 15 31 32 18 34 35 21 37 38 24 40 41 27 43 44 30 46 47 33 49 50 36 52 53 39 55 56 42 58 59 45 61 62 48 63 64 51 65 3 54 66 5 57 7 60 10 1 2 
9 12 14 15 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 1 63 64 2 65 3 4 66 5 6 7 8 10 11 13 16 
10 7 2 16 1 13 5 6 22 3 4 19 11 12 28 8 9 25 17 18 34 14 15 31 23 24 40 20 21 37 29 30 46 26 27 43 35 36 52 32 33 49 41 42 58 38 39 55 47 48 63 44 45 61 53 54 66 50 51 65 59 60 56 57 64 62 
11 8 16 17 13 14 6 22 23 4 19 20 12 28 29 9 25 26 18 34 35 15 31 32 24 40 41 21 37 38 30 46 47 27 43 44 36 52 53 33 49 50 42 58 59 39 55 56 48 63 64 45 61 62 54 66 5 51 65 3 60 10 57 7 2 1 
12 9 17 18 14 15 22 23 24 19 20 21 28 29 30 25 26 27 34 35 36 31 32 33 40 41 42 37 38 39 46 47 48 43 44 45 52 53 54 49 50 51 58 59 60 55 56 57 63 64 2 61 62 1 66 5 6 65 3 4 10 11 7 8 16 13 
13 16 4 19 6 22 8 9 25 11 12 28 14 15 31 17 18 34 20 21 37 23 24 40 26 27 43 29 30 46 32 33 49 35 36 52 38 39 55 41 42 58 44 45 61 47 48 63 50 51 65 53 54 66 56 57 7 59 60 10 62 1 64 2 3 5 
14 17 19 20 22 23 9 25 26 12 28 29 15 31 32 18 34 35 21 37 38 24 40 41 27 43 44 30 46 47 33 49 50 36 52 53 39 55 56 42 58 59 45 61 62 48 63 64 51 65 3 54 66 5 57 7 8 60 10 11 1 13 2 16 4 6 
15 18 20 21 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 1 63 64 2 65 3 4 66 5 6 7 8 9 10 11 12 13 14 16 17 19 22 
16 13 6 22 4 19 11 12 28 8 9 25 17 18 34 14 15 31 23 24 40 20 21 37 29 30 46 26 27 43 35 36 52 32 33 49 41 42 58 38 39 55 47 48 63 44 45 61 53 54 66 50 51 65 59 60 10 56 57 7 64 2 62 1 5 3 
17 14 22 23 19 20 12 28 29 9 25 26 18 34 35 15 31 32 24 40 41 21 37 38 30 46 47 27 43 44 36 52 53 33 49 50 42 58 59 39 55 56 48 63 64 45 61 62 54 66 5 51 65 3 60 10 11 57 7 8 2 16 1 13 6 4 
18 15 23 24 20 21 28 29 30 25 26 27 34 35 36 31 32 33 40 41 42 37 38 39 46 47 48 43 44 45 52 53 54 49 50 51 58 59 60 55 56 57 63 64 2 61 62 1 66 5 6 65 3 4 10 11 12 7 8 9 16 17 13 14 22 19 
19 22 9 25 12 28 14 15 31 17 18 34 20 21 37 23 24 40 26 27 43 29 30 46 32 33 49 35 36 52 38 39 55 41 42 58 44 45 61 47 48 63 50 51 65 53 54 66 56 57 7 59 60 10 62 1 13 64 2 16 3 4 5 6 8 11 
20 23 25 26 28 29 15 31 32 18 34 35 21 37 38 24 40 41 27 43 44 30 46 47 33 49 50 36 52 53 39 55 56 42 58 59 45 61 62 48 63 64 51 65 3 54 66 5 57 7 8 60 10 11 1 13 14 2 16 17 4 19 6 22 9 12 
21 24 26 27 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 1 63 64 2 65 3 4 66 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 22 23 25 28 
22 19 12 28 9 25 17 18 34 14 15 31 23 24 40 20 21 37 29 30 46 26 27 43 35 36 52 32 33 49 41 42 58 38 39 55 47 48 63 44 45 61 53 54 66 50 51 65 59 60 10 56 57 7 64 2 16 62 1 13 5 6 3 4 11 8 
23 20 28 29 25 26 18 34 35 15 31 32 24 40 41 21 37 38 30 46 47 27 43 44 36 52 53 33 49 50 42 58 59 39 55 56 48 63 64 45 61 62 54 66 5 51 65 3 60 10 11 57 7 8 2 16 17 1 13 14 6 22 4 19 12 9 
24 21 29 30 26 27 34 35 36 31 32 33 40 41 42 37 38 39 46 47 48 43 44 45 52 53 54 49 50 51 58 59 60 55 56 57 63 64 2 61 62 1 66 5 6 65 3 4 10 11 12 7 8 9 16 17 18 13 14 15 22 23 19 20 28 25 
25 28 15 31 18 34 20 21 37 23 24 40 26 27 43 29 30 46 32 33 49 35 36 52 38 39 55 41 42 58 44 45 61 47 48 63 50 51 65 53 54 66 56 57 7 59 60 10 62 1 13 64 2 16 3 4 19 5 6 22 8 9 11 12 14 17 
26 29 31 32 34 35 21 37 38 24 40 41 27 43 44 30 46 47 33 49 50 36 52 53 39 55 56 42 58 59 45 61 62 48 63 64 51 65 3 54 66 5 57 7 8 60 10 11 1 13 14 2 16 17 4 19 20 6 22 23 9 25 12 28 15 18 
