70 2
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 
2 1 5 6 3 4 10 11 12 7 8 9 17 18 19 20 13 14 15 16 26 27 28 29 30 21 22 23 24 25 36 37 38 39 40 31 32 33 34 35 46 47 48 49 50 41 42 43 44 45 55 56 57 58 51 52 53 54 62 63 64 59 60 61 67 68 65 66 70 69 
3 5 7 8 10 11 13 14 15 17 18 19 21 22 23 24 26 27 28 29 1 31 32 33 34 2 36 37 38 39 4 41 42 43 44 6 46 47 48 49 9 51 52 53 54 12 55 56 57 58 16 59 60 61 20 62 63 64 25 65 66 30 67 68 35 69 40 70 45 50 
4 50 8 9 58 2 14 15 16 64 5 6 22 23 24 25 68 10 11 12 31 32 33 34 35 70 17 18 19 20 41 42 43 44 45 26 27 28 29 30 51 52 53 54 1 36 37 38 39 40 59 60 61 3 46 47 48 49 65 66 7 55 56 57 69 13 62 63 21 67 
5 3 10 11 7 8 17 18 19 13 14 15 26 27 28 29 21 22 23 24 2 36 37 38 39 1 31 32 33 34 6 46 47 48 49 4 41 42 43 44 12 55 56 57 58 9 51 52 53 54 20 62 63 64 16 59 60 61 30 67 68 25 65 66 40 70 35 69 50 45 
6 45 11 12 54 1 18 19 20 61 3 4 27 28 29 30 66 7 8 9 36 37 38 39 40 69 13 14 15 16 46 47 48 49 50 21 22 23 24 25 55 56 57 58 2 31 32 33 34 35 62 63 64 5 41 42 43 44 67 68 10 51 52 53 70 17 59 60 26 65 
7 10 13 14 17 18 21 22 23 26 27 28 1 31 32 33 2 36 37 38 3 4 41 42 43 5 6 46 47 48 8 9 51 52 53 11 12 55 56 57 15 16 59 60 61 19 20 62 63 64 24 25 65 66 29 30 67 68 34 35 69 39 40 70 44 45 49 50 54 58 
8 58 14 15 64 5 22 23 24 68 10 11 31 32 33 34 70 17 18 19 4 41 42 43 44 50 26 27 28 29 9 51 52 53 54 2 36 37 38 39 16 59 60 61 3 6 46 47 48 49 25 65 66 7 12 55 56 57 35 69 13 20 62 63 45 21 30 67 1 40 
9 40 15 16 49 50 23 24 25 57 58 2 32 33 34 35 63 64 5 6 41 42 43 44 45 67 68 10 11 12 51 52 53 54 1 70 17 18 19 20 59 60 61 3 4 26 27 28 29 30 65 66 7 8 36 37 38 39 69 13 14 46 47 48 21 22 55 56 31 62 
10 7 17 18 13 14 26 27 28 21 22 23 2 36 37 38 1 31 32 33 5 6 46 47 48 3 4 41 42 43 11 12 55 56 57 8 9 51 52 53 19 20 62 63 64 15 16 59 60 61 29 30 67 68 24 25 65 66 39 40 70 34 35 69 49 50 44 45 58 54 
11 54 18 19 61 3 27 28 29 66 7 8 36 37 38 39 69 13 14 15 6 46 47 48 49 45 21 22 23 24 12 55 56 57 58 1 31 32 33 34 20 62 63 64 5 4 41 42 43 44 30 67 68 10 9 51 52 53 40 70 17 16 59 60 50 26 25 65 2 35 
12 35 19 20 44 45 28 29 30 53 54 1 37 38 39 40 60 61 3 4 46 47 48 49 50 65 66 7 8 9 55 56 57 58 2 69 13 14 15 16 62 63 64 5 6 21 22 23 24 25 67 68 10 11 31 32 33 34 70 17 18 41 42 43 26 27 51 52 36 59 
13 17 21 22 26 27 1 31 32 2 36 37 3 4 41 42 5 6 46 47 7 8 9 51 52 10 11 12 55 56 14 15 16 59 60 18 19 20 62 63 23 24 25 65 66 28 29 30 67 68 33 34 35 69 38 39 40 70 43 44 45 48 49 50 53 54 57 58 61 64 
14 64 22 23 68 10 31 32 33 70 17 18 4 41 42 43 50 26 27 28 8 9 51 52 53 58 2 36 37 38 15 16 59 60 61 5 6 46 47 48 24 25 65 66 7 11 12 55 56 57 34 35 69 13 19 20 62 63 44 45 21 29 30 67 54 1 39 40 3 49 
15 49 23 24 57 58 32 33 34 63 64 5 41 42 43 44 67 68 10 11 9 51 52 53 54 40 70 17 18 19 16 59 60 61 3 50 26 27 28 29 25 65 66 7 8 2 36 37 38 39 35 69 13 14 6 46 47 48 45 21 22 12 55 56 1 31 20 62 4 30 
16 30 24 25 39 40 33 34 35 48 49 50 42 43 44 45 56 57 58 2 51 52 53 54 1 62 63 64 5 6 59 60 61 3 4 67 68 10 11 12 65 66 7 8 9 70 17 18 19 20 69 13 14 15 26 27 28 29 21 22 23 36 37 38 31 32 46 47 41 55 
17 13 26 27 21 22 2 36 37 1 31 32 5 6 46 47 3 4 41 42 10 11 12 55 56 7 8 9 51 52 18 19 20 62 63 14 15 16 59 60 28 29 30 67 68 23 24 25 65 66 38 39 40 70 33 34 35 69 48 49 50 43 44 45 57 58 53 54 64 61 
18 61 27 28 66 7 36 37 38 69 13 14 6 46 47 48 45 21 22 23 11 12 55 56 57 54 1 31 32 33 19 20 62 63 64 3 4 41 42 43 29 30 67 68 10 8 9 51 52 53 39 40 70 17 15 16 59 60 49 50 26 24 25 65 58 2 34 35 5 44 
19 44 28 29 53 54 37 38 39 60 61 3 46 47 48 49 65 66 7 8 12 55 56 57 58 35 69 13 14 15 20 62 63 64 5 45 21 22 23 24 30 67 68 10 11 1 31 32 33 34 40 70 17 18 4 41 42 43 50 26 27 9 51 52 2 36 16 59 6 25 
20 25 29 30 34 35 38 39 40 43 44 45 47 48 49 50 52 53 54 1 55 56 57 58 2 59 60 61 3 4 62 63 64 5 6 65 66 7 8 9 67 68 10 11 12 69 13 14 15 16 70 17 18 19 21 22 23 24 26 27 28 31 32 33 36 37 41 42 46 51 
21 26 1 31 2 36 3 4 41 5 6 46 7 8 9 51 10 11 12 55 13 14 15 16 59 17 18 19 20 62 22 23 24 25 65 27 28 29 30 67 32 33 34 35 69 37 38 39 40 70 42 43 44 45 47 48 49 50 52 53 54 56 57 58 60 61 63 64 66 68 
22 68 31 32 70 17 4 41 42 50 26 27 8 9 51 52 58 2 36 37 14 15 16 59 60 64 5 6 46 47 23 24 25 65 66 10 11 12 55 56 33 34 35 69 13 18 19 20 62 63 43 44 45 21 28 29 30 67 53 54 1 38 39 40 61 3 48 49 7 57 
23 57 32 33 63 64 41 42 43 67 68 10 9 51 52 53 40 70 17 18 15 16 59 60 61 49 50 26 27 28 24 25 65 66 7 58 2 36 37 38 34 35 69 13 14 5 6 46 47 48 44 45 21 22 11 12 55 56 54 1 31 19 20 62 3 4 29 30 8 39 
24 39 33 34 48 49 42 43 44 56 57 58 51 52 53 54 62 63 64 5 16 59 60 61 3 30 67 68 10 11 25 65 66 7 8 40 70 17 18 19 35 69 13 14 15 50 26 27 28 29 45 21 22 23 2 36 37 38 1 31 32 6 46 47 4 41 12 55 9 20 
25 20 34 35 29 30 43 44 45 38 39 40 52 53 54 1 47 48 49 50 59 60 61 3 4 55 56 57 58 2 65 66 7 8 9 62 63 64 5 6 69 13 14 15 16 67 68 10 11 12 21 22 23 24 70 17 18 19 31 32 33 26 27 28 41 42 36 37 51 46 
26 21 2 36 1 31 5 6 46 3 4 41 10 11 12 55 7 8 9 51 17 18 19 20 62 13 14 15 16 59 27 28 29 30 67 22 23 24 25 65 37 38 39 40 70 32 33 34 35 69 47 48 49 50 42 43 44 45 56 57 58 52 53 54 63 64 60 61 68 66 
27 66 36 37 69 13 6 46 47 45 21 22 11 12 55 56 54 1 31 32 18 19 20 62 63 61 3 4 41 42 28 29 30 67 68 7 8 9 51 52 38 39 40 70 17 14 15 16 59 60 48 49 50 26 23 24 25 65 57 58 2 33 34 35 64 5 43 44 10 53 
28 53 37 38 60 61 46 47 48 65 66 7 12 55 56 57 35 69 13 14 19 20 62 63 64 44 45 21 22 23 29 30 67 68 10 54 1 31 32 33 39 40 70 17 18 3 4 41 42 43 49 50 26 27 8 9 51 52 58 2 36 15 16 59 5 6 24 25 11 34 
29 34 38 39 43 44 47 48 49 52 53 54 55 56 57 58 59 60 61 3 20 62 63 64 5 25 65 66 7 8 30 67 68 10 11 35 69 13 14 15 40 70 17 18 19 45 21 22 23 24 50 26 27 28 1 31 32 33 2 36 37 4 41 42 6 46 9 51 12 16 
30 16 39 40 24 25 48 49 50 33 34 35 56 57 58 2 42 43 44 45 62 63 64 5 6 51 52 53 54 1 67 68 10 11 12 59 60 61 3 4 70 17 18 19 20 65 66 7 8 9 26 27 28 29 69 13 14 15 36 37 38 21 22 23 46 47 31 32 55 41 
31 70 4 41 50 26 8 9 51 58 2 36 14 15 16 59 64 5 6 46 22 23 24 25 65 68 10 11 12 55 32 33 34 35 69 17 18 19 20 62 42 43 44 45 21 27 28 29 30 67 52 53 54 1 37 38 39 40 60 61 3 47 48 49 66 7 56 57 13 63 
32 63 41 42 67 68 9 51 52 40 70 17 15 16 59 60 49 50 26 27 23 24 25 65 66 57 58 2 36 37 33 34 35 69 13 64 5 6 46 47 43 44 45 21 22 10 11 12 55 56 53 54 1 31 18 19 20 62 61 3 4 28 29 30 7 8 38 39 14 48 
33 48 42 43 56 57 51 52 53 62 63 64 16 59 60 61 30 67 68 10 24 25 65 66 7 39 40 70 17 18 34 35 69 13 14 49 50 26 27 28 44 45 21 22 23 58 2 36 37 38 54 1 31 32 5 6 46 47 3 4 41 11 12 55 8 9 19 20 15 29 
34 29 43 44 38 39 52 53 54 47 48 49 59 60 61 3 55 56 57 58 25 65 66 7 8 20 62 63 64 5 35 69 13 14 15 30 67 68 10 11 45 21 22 23 24 40 70 17 18 19 1 31 32 33 50 26 27 28 4 41 42 2 36 37 9 51 6 46 16 12 
35 12 44 45 19 20 53 54 1 28 29 30 60 61 3 4 37 38 39 40 65 66 7 8 9 46 47 48 49 50 69 13 14 15 16 55 56 57 58 2 21 22 23 24 25 62 63 64 5 6 31 32 33 34 67 68 10 11 41 42 43 70 17 18 51 52 26 27 59 36 
36 69 6 46 45 21 11 12 55 54 1 31 18 19 20 62 61 3 4 41 27 28 29 30 67 66 7 8 9 51 37 38 39 40 70 13 14 15 16 59 47 48 49 50 26 22 23 24 25 65 56 57 58 2 32 33 34 35 63 64 5 42 43 44 68 10 52 53 17 60 
37 60 46 47 65 66 12 55 56 35 69 13 19 20 62 63 44 45 21 22 28 29 30 67 68 53 54 1 31 32 38 39 40 70 17 61 3 4 41 42 48 49 50 26 27 7 8 9 51 52 57 58 2 36 14 15 16 59 64 5 6 23 24 25 10 11 33 34 18 43 
38 43 47 48 52 53 55 56 57 59 60 61 20 62 63 64 25 65 66 7 29 30 67 68 10 34 35 69 13 14 39 40 70 17 18 44 45 21 22 23 49 50 26 27 28 54 1 31 32 33 58 2 36 37 3 4 41 42 5 6 46 8 9 51 11 12 15 16 19 24 
39 24 48 49 33 34 56 57 58 42 43 44 62 63 64 5 51 52 53 54 30 67 68 10 11 16 59 60 61 3 40 70 17 18 19 25 65 66 7 8 50 26 27 28 29 35 69 13 14 15 2 36 37 38 45 21 22 23 6 46 47 1 31 32 12 55 4 41 20 9 
40 9 49 50 15 16 57 58 2 23 24 25 63 64 5 6 32 33 34 35 67 68 10 11 12 41 42 43 44 45 70 17 18 19 20 51 52 53 54 1 26 27 28 29 30 59 60 61 3 4 36 37 38 39 65 66 7 8 46 47 48 69 13 14 55 56 21 22 62 31 
41 67 9 51 40 70 15 16 59 49 50 26 23 24 25 65 57 58 2 36 32 33 34 35 69 63 64 5 6 46 42 43 44 45 21 68 10 11 12 55 52 53 54 1 31 17 18 19 20 62 60 61 3 4 27 28 29 30 66 7 8 37 38 39 13 14 47 48 22 56 
42 56 51 52 62 63 16 59 60 30 67 68 24 25 65 66 39 40 70 17 33 34 35 69 13 48 49 50 26 27 43 44 45 21 22 57 58 2 36 37 53 54 1 31 32 64 5 6 46 47 61 3 4 41 10 11 12 55 7 8 9 18 19 20 14 15 28 29 23 38 
43 38 52 53 47 48 59 60 61 55 56 57 25 65 66 7 20 62 63 64 34 35 69 13 14 29 30 67 68 10 44 45 21 22 23 39 40 70 17 18 54 1 31 32 33 49 50 26 27 28 3 4 41 42 58 2 36 37 8 9 51 5 6 46 15 16 11 12 24 19 
44 19 53 54 28 29 60 61 3 37 38 39 65 66 7 8 46 47 48 49 35 69 13 14 15 12 55 56 57 58 45 21 22 23 24 20 62 63 64 5 1 31 32 33 34 30 67 68 10 11 4 41 42 43 40 70 17 18 9 51 52 50 26 27 16 59 2 36 25 6 
45 6 54 1 11 12 61 3 4 18 19 20 66 7 8 9 27 28 29 30 69 13 14 15 16 36 37 38 39 40 21 22 23 24 25 46 47 48 49 50 31 32 33 34 35 55 56 57 58 2 41 42 43 44 62 63 64 5 51 52 53 67 68 10 59 60 70 17 65 26 
46 65 12 55 35 69 19 20 62 44 45 21 28 29 30 67 53 54 1 31 37 38 39 40 70 60 61 3 4 41 47 48 49 50 26 66 7 8 9 51 56 57 58 2 36 13 14 15 16 59 63 64 5 6 22 23 24 25 68 10 11 32 33 34 17 18 42 43 27 52 
47 52 55 56 59 60 20 62 63 25 65 66 29 30 67 68 34 35 69 13 38 39 40 70 17 43 44 45 21 22 48 49 50 26 27 53 54 1 31 32 57 58 2 36 37 61 3 4 41 42 64 5 6 46 7 8 9 51 10 11 12 14 15 16 18 19 23 24 28 33 
48 33 56 57 42 43 62 63 64 51 52 53 30 67 68 10 16 59 60 61 39 40 70 17 18 24 25 65 66 7 49 50 26 27 28 34 35 69 13 14 58 2 36 37 38 44 45 21 22 23 5 6 46 47 54 1 31 32 11 12 55 3 4 41 19 20 8 9 29 15 
49 15 57 58 23 24 63 64 5 32 33 34 67 68 10 11 41 42 43 44 40 70 17 18 19 9 51 52 53 54 50 26 27 28 29 16 59 60 61 3 2 36 37 38 39 25 65 66 7 8 6 46 47 48 35 69 13 14 12 55 56 45 21 22 20 62 1 31 30 4 
50 4 58 2 8 9 64 5 6 14 15 16 68 10 11 12 22 23 24 25 70 17 18 19 20 31 32 33 34 35 26 27 28 29 30 41 42 43 44 45 36 37 38 39 40 51 52 53 54 1 46 47 48 49 59 60 61 3 55 56 57 65 66 7 62 63 69 13 67 21 
51 62 16 59 30 67 24 25 65 39 40 70 33 34 35 69 48 49 50 26 42 43 44 45 21 56 57 58 2 36 52 53 54 1 31 63 64 5 6 46 60 61 3 4 41 68 10 11 12 55 66 7 8 9 17 18 19 20 13 14 15 27 28 29 22 23 37 38 32 47 
52 47 59 60 55 56 25 65 66 20 62 63 34 35 69 13 29 30 67 68 43 44 45 21 22 38 39 40 70 17 53 54 1 31 32 48 49 50 26 27 61 3 4 41 42 57 58 2 36 37 7 8 9 51 64 5 6 46 14 15 16 10 11 12 23 24 18 19 33 28 
53 28 60 61 37 38 65 66 7 46 47 48 35 69 13 14 12 55 56 57 44 45 21 22 23 19 20 62 63 64 54 1 31 32 33 29 30 67 68 10 3 4 41 42 43 39 40 70 17 18 8 9 51 52 49 50 26 27 15 16 59 58 2 36 24 25 5 6 34 11 
54 11 61 3 18 19 66 7 8 27 28 29 69 13 14 15 36 37 38 39 45 21 22 23 24 6 46 47 48 49 1 31 32 33 34 12 55 56 57 58 4 41 42 43 44 20 62 63 64 5 9 51 52 53 30 67 68 10 16 59 60 40 70 17 25 65 50 26 35 2 
55 59 20 62 25 65 29 30 67 34 35 69 38 39 40 70 43 44 45 21 47 48 49 50 26 52 53 54 1 31 56 57 58 2 36 60 61 3 4 41 63 64 5 6 46 66 7 8 9 51 68 10 11 12 13 14 15 16 17 18 19 22 23 24 27 28 32 33 37 42 
56 42 62 63 51 52 30 67 68 16 59 60 39 40 70 17 24 25 65 66 48 49 50 26 27 33 34 35 69 13 57 58 2 36 37 43 44 45 21 22 64 5 6 46 47 53 54 1 31 32 10 11 12 55 61 3 4 41 18 19 20 7 8 9 28 29 14 15 38 23 
57 23 63 64 32 33 67 68 10 41 42 43 40 70 17 18 9 51 52 53 49 50 26 27 28 15 16 59 60 61 58 2 36 37 38 24 25 65 66 7 5 6 46 47 48 34 35 69 13 14 11 12 55 56 44 45 21 22 19 20 62 54 1 31 29 30 3 4 39 8 
58 8 64 5 14 15 68 10 11 22 23 24 70 17 18 19 31 32 33 34 50 26 27 28 29 4 41 42 43 44 2 36 37 38 39 9 51 52 53 54 6 46 47 48 49 16 59 60 61 3 12 55 56 57 25 65 66 7 20 62 63 35 69 13 30 67 45 21 40 1 
59 55 25 65 20 62 34 35 69 29 30 67 43 44 45 21 38 39 40 70 52 53 54 1 31 47 48 49 50 26 60 61 3 4 41 56 57 58 2 36 66 7 8 9 51 63 64 5 6 46 13 14 15 16 68 10 11 12 22 23 24 17 18 19 32 33 27 28 42 37 
60 37 65 66 46 47 35 69 13 12 55 56 44 45 21 22 19 20 62 63 53 54 1 31 32 28 29 30 67 68 61 3 4 41 42 38 39 40 70 17 7 8 9 51 52 48 49 50 26 27 14 15 16 59 57 58 2 36 23 24 25 64 5 6 33 34 10 11 43 18 
61 18 66 7 27 28 69 13 14 36 37 38 45 21 22 23 6 46 47 48 54 1 31 32 33 11 12 55 56 57 3 4 41 42 43 19 20 62 63 64 8 9 51 52 53 29 30 67 68 10 15 16 59 60 39 40 70 17 24 25 65 49 50 26 34 35 58 2 44 5 
62 51 30 67 16 59 39 40 70 24 25 65 48 49 50 26 33 34 35 69 56 57 58 2 36 42 43 44 45 21 63 64 5 6 46 52 53 54 1 31 68 10 11 12 55 60 61 3 4 41 17 18 19 20 66 7 8 9 27 28 29 13 14 15 37 38 22 23 47 32 
