75 3
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 
2 5 6 7 1 11 12 13 14 15 3 4 20 21 22 23 24 25 26 8 9 10 32 33 34 35 36 37 38 39 40 16 17 18 19 45 46 47 48 49 50 51 52 53 27 28 29 30 31 57 58 59 60 61 62 63 41 42 43 44 66 67 68 69 70 54 55 56 72 73 74 64 65 75 71 
3 6 8 9 11 13 14 16 17 18 20 21 23 24 25 27 28 29 30 32 33 34 36 37 38 39 1 41 42 43 44 45 46 47 48 2 50 51 52 53 4 54 55 56 5 57 58 59 60 7 61 62 63 10 64 65 12 66 67 68 15 69 70 19 71 22 72 73 26 74 31 35 75 40 49 
4 7 9 10 12 14 15 17 18 19 21 22 24 25 26 28 29 30 31 33 34 35 37 38 39 40 41 42 43 44 1 46 47 48 49 50 51 52 53 2 54 55 56 3 57 58 59 60 5 61 62 63 6 64 65 8 66 67 68 11 69 70 13 71 16 72 73 20 74 23 27 75 32 36 45 
5 1 11 12 2 3 4 20 21 22 6 7 8 9 10 32 33 34 35 13 14 15 16 17 18 19 45 46 47 48 49 23 24 25 26 27 28 29 30 31 57 58 59 60 36 37 38 39 40 41 42 43 44 66 67 68 50 51 52 53 54 55 56 72 73 61 62 63 64 65 75 69 70 71 74 
6 11 13 14 3 20 21 23 24 25 8 9 32 33 34 36 37 38 39 16 17 18 45 46 47 48 2 50 51 52 53 27 28 29 30 5 57 58 59 60 7 61 62 63 1 41 42 43 44 12 66 67 68 15 69 70 4 54 55 56 22 72 73 26 74 10 64 65 35 75 40 19 71 49 31 
7 12 14 15 4 21 22 24 25 26 9 10 33 34 35 37 38 39 40 17 18 19 46 47 48 49 50 51 52 53 2 28 29 30 31 57 58 59 60 5 61 62 63 6 41 42 43 44 1 66 67 68 11 69 70 13 54 55 56 3 72 73 20 74 23 64 65 8 75 32 36 71 16 45 27 
8 13 16 17 20 23 24 27 28 29 32 33 36 37 38 1 41 42 43 45 46 47 2 50 51 52 3 4 54 55 56 5 57 58 59 6 7 61 62 63 9 10 64 65 11 12 66 67 68 14 15 69 70 18 19 71 21 22 72 73 25 26 74 30 31 34 35 75 39 40 44 48 49 53 60 
9 14 17 18 21 24 25 28 29 30 33 34 37 38 39 41 42 43 44 46 47 48 50 51 52 53 4 54 55 56 3 57 58 59 60 7 61 62 63 6 10 64 65 8 12 66 67 68 11 15 69 70 13 19 71 16 22 72 73 20 26 74 23 31 27 35 75 32 40 36 1 49 45 2 5 
10 15 18 19 22 25 26 29 30 31 34 35 38 39 40 42 43 44 1 47 48 49 51 52 53 2 54 55 56 3 4 58 59 60 5 61 62 63 6 7 64 65 8 9 66 67 68 11 12 69 70 13 14 71 16 17 72 73 20 21 74 23 24 27 28 75 32 33 36 37 41 45 46 50 57 
11 3 20 21 6 8 9 32 33 34 13 14 16 17 18 45 46 47 48 23 24 25 27 28 29 30 5 57 58 59 60 36 37 38 39 1 41 42 43 44 12 66 67 68 2 50 51 52 53 4 54 55 56 22 72 73 7 61 62 63 10 64 65 35 75 15 69 70 19 71 49 26 74 31 40 
12 4 21 22 7 9 10 33 34 35 14 15 17 18 19 46 47 48 49 24 25 26 28 29 30 31 57 58 59 60 5 37 38 39 40 41 42 43 44 1 66 67 68 11 50 51 52 53 2 54 55 56 3 72 73 20 61 62 63 6 64 65 8 75 32 69 70 13 71 16 45 74 23 27 36 
