76 3
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 
2 1 5 6 3 4 9 10 7 8 13 14 11 12 17 18 15 16 21 22 19 20 25 26 23 24 29 30 27 28 33 34 31 32 37 38 35 36 41 42 39 40 45 46 43 44 49 50 47 48 53 54 51 52 57 58 55 56 61 62 59 60 65 66 63 64 69 70 67 68 73 74 71 72 76 75 
3 5 1 7 2 9 4 11 6 13 8 15 10 17 12 19 14 21 16 23 18 25 20 27 22 29 24 31 26 33 28 35 30 37 32 39 34 41 36 43 38 45 40 47 42 49 44 51 46 53 48 55 50 57 52 59 54 61 56 63 58 65 60 67 62 69 64 71 66 73 68 75 70 76 72 74 
4 74 7 8 76 2 11 12 5 6 15 16 9 10 19 20 13 14 23 24 17 18 27 28 21 22 31 32 25 26 35 36 29 30 39 40 33 34 43 44 37 38 47 48 41 42 51 52 45 46 55 56 49 50 59 60 53 54 63 64 57 58 67 68 61 62 71 72 65 66 75 1 69 70 3 73 
5 3 2 9 1 7 6 13 4 11 10 17 8 15 14 21 12 19 18 25 16 23 22 29 20 27 26 33 24 31 30 37 28 35 34 41 32 39 38 45 36 43 42 49 40 47 46 53 44 51 50 57 48 55 54 61 52 59 58 65 56 63 62 69 60 67 66 73 64 71 70 76 68 75 74 72 
6 72 9 10 75 1 13 14 3 4 17 18 7 8 21 22 11 12 25 26 15 16 29 30 19 20 33 34 23 24 37 38 27 28 41 42 31 32 45 46 35 36 49 50 39 40 53 54 43 44 57 58 47 48 61 62 51 52 65 66 55 56 69 70 59 60 73 74 63 64 76 2 67 68 5 71 
7 76 4 11 74 5 8 15 2 9 12 19 6 13 16 23 10 17 20 27 14 21 24 31 18 25 28 35 22 29 32 39 26 33 36 43 30 37 40 47 34 41 44 51 38 45 48 55 42 49 52 59 46 53 56 63 50 57 60 67 54 61 64 71 58 65 68 75 62 69 72 3 66 73 1 70 
8 70 11 12 73 74 15 16 76 2 19 20 5 6 23 24 9 10 27 28 13 14 31 32 17 18 35 36 21 22 39 40 25 26 43 44 29 30 47 48 33 34 51 52 37 38 55 56 41 42 59 60 45 46 63 64 49 50 67 68 53 54 71 72 57 58 75 1 61 62 3 4 65 66 7 69 
9 75 6 13 72 3 10 17 1 7 14 21 4 11 18 25 8 15 22 29 12 19 26 33 16 23 30 37 20 27 34 41 24 31 38 45 28 35 42 49 32 39 46 53 36 43 50 57 40 47 54 61 44 51 58 65 48 55 62 69 52 59 66 73 56 63 70 76 60 67 74 5 64 71 2 68 
10 68 13 14 71 72 17 18 75 1 21 22 3 4 25 26 7 8 29 30 11 12 33 34 15 16 37 38 19 20 41 42 23 24 45 46 27 28 49 50 31 32 53 54 35 36 57 58 39 40 61 62 43 44 65 66 47 48 69 70 51 52 73 74 55 56 76 2 59 60 5 6 63 64 9 67 
11 73 8 15 70 76 12 19 74 5 16 23 2 9 20 27 6 13 24 31 10 17 28 35 14 21 32 39 18 25 36 43 22 29 40 47 26 33 44 51 30 37 48 55 34 41 52 59 38 45 56 63 42 49 60 67 46 53 64 71 50 57 68 75 54 61 72 3 58 65 1 7 62 69 4 66 
12 66 15 16 69 70 19 20 73 74 23 24 76 2 27 28 5 6 31 32 9 10 35 36 13 14 39 40 17 18 43 44 21 22 47 48 25 26 51 52 29 30 55 56 33 34 59 60 37 38 63 64 41 42 67 68 45 46 71 72 49 50 75 1 53 54 3 4 57 58 7 8 61 62 11 65 
13 71 10 17 68 75 14 21 72 3 18 25 1 7 22 29 4 11 26 33 8 15 30 37 12 19 34 41 16 23 38 45 20 27 42 49 24 31 46 53 28 35 50 57 32 39 54 61 36 43 58 65 40 47 62 69 44 51 66 73 48 55 70 76 52 59 74 5 56 63 2 9 60 67 6 64 
14 64 17 18 67 68 21 22 71 72 25 26 75 1 29 30 3 4 33 34 7 8 37 38 11 12 41 42 15 16 45 46 19 20 49 50 23 24 53 54 27 28 57 58 31 32 61 62 35 36 65 66 39 40 69 70 43 44 73 74 47 48 76 2 51 52 5 6 55 56 9 10 59 60 13 63 
15 69 12 19 66 73 16 23 70 76 20 27 74 5 24 31 2 9 28 35 6 13 32 39 10 17 36 43 14 21 40 47 18 25 44 51 22 29 48 55 26 33 52 59 30 37 56 63 34 41 60 67 38 45 64 71 42 49 68 75 46 53 72 3 50 57 1 7 54 61 4 11 58 65 8 62 
16 62 19 20 65 66 23 24 69 70 27 28 73 74 31 32 76 2 35 36 5 6 39 40 9 10 43 44 13 14 47 48 17 18 51 52 21 22 55 56 25 26 59 60 29 30 63 64 33 34 67 68 37 38 71 72 41 42 75 1 45 46 3 4 49 50 7 8 53 54 11 12 57 58 15 61 
17 67 14 21 64 71 18 25 68 75 22 29 72 3 26 33 1 7 30 37 4 11 34 41 8 15 38 45 12 19 42 49 16 23 46 53 20 27 50 57 24 31 54 61 28 35 58 65 32 39 62 69 36 43 66 73 40 47 70 76 44 51 74 5 48 55 2 9 52 59 6 13 56 63 10 60 
18 60 21 22 63 64 25 26 67 68 29 30 71 72 33 34 75 1 37 38 3 4 41 42 7 8 45 46 11 12 49 50 15 16 53 54 19 20 57 58 23 24 61 62 27 28 65 66 31 32 69 70 35 36 73 74 39 40 76 2 43 44 5 6 47 48 9 10 51 52 13 14 55 56 17 59 
19 65 16 23 62 69 20 27 66 73 24 31 70 76 28 35 74 5 32 39 2 9 36 43 6 13 40 47 10 17 44 51 14 21 48 55 18 25 52 59 22 29 56 63 26 33 60 67 30 37 64 71 34 41 68 75 38 45 72 3 42 49 1 7 46 53 4 11 50 57 8 15 54 61 12 58 
20 58 23 24 61 62 27 28 65 66 31 32 69 70 35 36 73 74 39 40 76 2 43 44 5 6 47 48 9 10 51 52 13 14 55 56 17 18 59 60 21 22 63 64 25 26 67 68 29 30 71 72 33 34 75 1 37 38 3 4 41 42 7 8 45 46 11 12 49 50 15 16 53 54 19 57 
21 63 18 25 60 67 22 29 64 71 26 33 68 75 30 37 72 3 34 41 1 7 38 45 4 11 42 49 8 15 46 53 12 19 50 57 16 23 54 61 20 27 58 65 24 31 62 69 28 35 66 73 32 39 70 76 36 43 74 5 40 47 2 9 44 51 6 13 48 55 10 17 52 59 14 56 
22 56 25 26 59 60 29 30 63 64 33 34 67 68 37 38 71 72 41 42 75 1 45 46 3 4 49 50 7 8 53 54 11 12 57 58 15 16 61 62 19 20 65 66 23 24 69 70 27 28 73 74 31 32 76 2 35 36 5 6 39 40 9 10 43 44 13 14 47 48 17 18 51 52 21 55 
23 61 20 27 58 65 24 31 62 69 28 35 66 73 32 39 70 76 36 43 74 5 40 47 2 9 44 51 6 13 48 55 10 17 52 59 14 21 56 63 18 25 60 67 22 29 64 71 26 33 68 75 30 37 72 3 34 41 1 7 38 45 4 11 42 49 8 15 46 53 12 19 50 57 16 54 
24 54 27 28 57 58 31 32 61 62 35 36 65 66 39 40 69 70 43 44 73 74 47 48 76 2 51 52 5 6 55 56 9 10 59 60 13 14 63 64 17 18 67 68 21 22 71 72 25 26 75 1 29 30 3 4 33 34 7 8 37 38 11 12 41 42 15 16 45 46 19 20 49 50 23 53 
25 59 22 29 56 63 26 33 60 67 30 37 64 71 34 41 68 75 38 45 72 3 42 49 1 7 46 53 4 11 50 57 8 15 54 61 12 19 58 65 16 23 62 69 20 27 66 73 24 31 70 76 28 35 74 5 32 39 2 9 36 43 6 13 40 47 10 17 44 51 14 21 48 55 18 52 
26 52 29 30 55 56 33 34 59 60 37 38 63 64 41 42 67 68 45 46 71 72 49 50 75 1 53 54 3 4 57 58 7 8 61 62 11 12 65 66 15 16 69 70 19 20 73 74 23 24 76 2 27 28 5 6 31 32 9 10 35 36 13 14 39 40 17 18 43 44 21 22 47 48 25 51 
27 57 24 31 54 61 28 35 58 65 32 39 62 69 36 43 66 73 40 47 70 76 44 51 74 5 48 55 2 9 52 59 6 13 56 63 10 17 60 67 14 21 64 71 18 25 68 75 22 29 72 3 26 33 1 7 30 37 4 11 34 41 8 15 38 45 12 19 42 49 16 23 46 53 20 50 
28 50 31 32 53 54 35 36 57 58 39 40 61 62 43 44 65 66 47 48 69 70 51 52 73 74 55 56 76 2 59 60 5 6 63 64 9 10 67 68 13 14 71 72 17 18 75 1 21 22 3 4 25 26 7 8 29 30 11 12 33 34 15 16 37 38 19 20 41 42 23 24 45 46 27 49 
29 55 26 33 52 59 30 37 56 63 34 41 60 67 38 45 64 71 42 49 68 75 46 53 72 3 50 57 1 7 54 61 4 11 58 65 8 15 62 69 12 19 66 73 16 23 70 76 20 27 74 5 24 31 2 9 28 35 6 13 32 39 10 17 36 43 14 21 40 47 18 25 44 51 22 48 
30 48 33 34 51 52 37 38 55 56 41 42 59 60 45 46 63 64 49 50 67 68 53 54 71 72 57 58 75 1 61 62 3 4 65 66 7 8 69 70 11 12 73 74 15 16 76 2 19 20 5 6 23 24 9 10 27 28 13 14 31 32 17 18 35 36 21 22 39 40 25 26 43 44 29 47 
31 53 28 35 50 57 32 39 54 61 36 43 58 65 40 47 62 69 44 51 66 73 48 55 70 76 52 59 74 5 56 63 2 9 60 67 6 13 64 71 10 17 68 75 14 21 72 3 18 25 1 7 22 29 4 11 26 33 8 15 30 37 12 19 34 41 16 23 38 45 20 27 42 49 24 46 
32 46 35 36 49 50 39 40 53 54 43 44 57 58 47 48 61 62 51 52 65 66 55 56 69 70 59 60 73 74 63 64 76 2 67 68 5 6 71 72 9 10 75 1 13 14 3 4 17 18 7 8 21 22 11 12 25 26 15 16 29 30 19 20 33 34 23 24 37 38 27 28 41 42 31 45 
33 51 30 37 48 55 34 41 52 59 38 45 56 63 42 49 60 67 46 53 64 71 50 57 68 75 54 61 72 3 58 65 1 7 62 69 4 11 66 73 8 15 70 76 12 19 74 5 16 23 2 9 20 27 6 13 24 31 10 17 28 35 14 21 32 39 18 25 36 43 22 29 40 47 26 44 
34 44 37 38 47 48 41 42 51 52 45 46 55 56 49 50 59 60 53 54 63 64 57 58 67 68 61 62 71 72 65 66 75 1 69 70 3 4 73 74 7 8 76 2 11 12 5 6 15 16 9 10 19 20 13 14 23 24 17 18 27 28 21 22 31 32 25 26 35 36 29 30 39 40 33 43 
35 49 32 39 46 53 36 43 50 57 40 47 54 61 44 51 58 65 48 55 62 69 52 59 66 73 56 63 70 76 60 67 74 5 64 71 2 9 68 75 6 13 72 3 10 17 1 7 14 21 4 11 18 25 8 15 22 29 12 19 26 33 16 23 30 37 20 27 34 41 24 31 38 45 28 42 
36 42 39 40 45 46 43 44 49 50 47 48 53 54 51 52 57 58 55 56 61 62 59 60 65 66 63 64 69 70 67 68 73 74 71 72 76 2 75 1 5 6 3 4 9 10 7 8 13 14 11 12 17 18 15 16 21 22 19 20 25 26 23 24 29 30 27 28 33 34 31 32 37 38 35 41 
37 47 34 41 44 51 38 45 48 55 42 49 52 59 46 53 56 63 50 57 60 67 54 61 64 71 58 65 68 75 62 69 72 3 66 73 1 7 70 76 4 11 74 5 8 15 2 9 12 19 6 13 16 23 10 17 20 27 14 21 24 31 18 25 28 35 22 29 32 39 26 33 36 43 30 40 
38 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 1 76 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 39 
39 45 36 43 42 49 40 47 46 53 44 51 50 57 48 55 54 61 52 59 58 65 56 63 62 69 60 67 66 73 64 71 70 76 68 75 74 5 72 3 2 9 1 7 6 13 4 11 10 17 8 15 14 21 12 19 18 25 16 23 22 29 20 27 26 33 24 31 30 37 28 35 34 41 32 38 
40 38 43 44 41 42 47 48 45 46 51 52 49 50 55 56 53 54 59 60 57 58 63 64 61 62 67 68 65 66 71 72 69 70 75 1 73 74 3 4 76 2 7 8 5 6 11 12 9 10 15 16 13 14 19 20 17 18 23 24 21 22 27 28 25 26 31 32 29 30 35 36 33 34 39 37 
41 43 38 45 40 47 42 49 44 51 46 53 48 55 50 57 52 59 54 61 56 63 58 65 60 67 62 69 64 71 66 73 68 75 70 76 72 3 74 5 1 7 2 9 4 11 6 13 8 15 10 17 12 19 14 21 16 23 18 25 20 27 22 29 24 31 26 33 28 35 30 37 32 39 34 36 
