78 5
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 
2 1 5 6 3 4 10 11 12 7 8 9 16 17 18 13 14 15 22 23 24 19 20 21 28 29 30 25 26 27 34 35 36 31 32 33 40 41 42 37 38 39 46 47 48 43 44 45 52 53 54 49 50 51 58 59 60 55 56 57 64 65 66 61 62 63 70 71 72 67 68 69 75 76 73 74 78 77 
3 10 7 8 2 16 1 13 14 5 6 22 4 19 20 11 12 28 9 25 26 17 18 34 15 31 32 23 24 40 21 37 38 29 30 46 27 43 44 35 36 52 33 49 50 41 42 58 39 55 56 47 48 64 45 61 62 53 54 70 51 67 68 59 60 75 57 73 74 65 66 78 63 77 71 72 69 76 
4 72 8 9 76 2 13 14 15 78 5 6 19 20 21 10 11 12 25 26 27 16 17 18 31 32 33 22 23 24 37 38 39 28 29 30 43 44 45 34 35 36 49 50 51 40 41 42 55 56 57 46 47 48 61 62 63 52 53 54 67 68 69 58 59 60 73 74 1 64 65 66 77 3 70 71 7 75 
5 7 10 11 1 13 2 16 17 3 4 19 6 22 23 8 9 25 12 28 29 14 15 31 18 34 35 20 21 37 24 40 41 26 27 43 30 46 47 32 33 49 36 52 53 38 39 55 42 58 59 44 45 61 48 64 65 50 51 67 54 70 71 56 57 73 60 75 76 62 63 77 66 78 68 69 72 74 
6 69 11 12 74 1 16 17 18 77 3 4 22 23 24 7 8 9 28 29 30 13 14 15 34 35 36 19 20 21 40 41 42 25 26 27 46 47 48 31 32 33 52 53 54 37 38 39 58 59 60 43 44 45 64 65 66 49 50 51 70 71 72 55 56 57 75 76 2 61 62 63 78 5 67 68 10 73 
7 5 1 13 10 11 3 4 19 2 16 17 8 9 25 6 22 23 14 15 31 12 28 29 20 21 37 18 34 35 26 27 43 24 40 41 32 33 49 30 46 47 38 39 55 36 52 53 44 45 61 42 58 59 50 51 67 48 64 65 56 57 73 54 70 71 62 63 77 60 75 76 68 69 66 78 74 72 
8 78 13 14 72 10 4 19 20 76 2 16 9 25 26 5 6 22 15 31 32 11 12 28 21 37 38 17 18 34 27 43 44 23 24 40 33 49 50 29 30 46 39 55 56 35 36 52 45 61 62 41 42 58 51 67 68 47 48 64 57 73 74 53 54 70 63 77 3 59 60 75 69 7 65 66 1 71 
9 66 14 15 71 72 19 20 21 75 76 2 25 26 27 78 5 6 31 32 33 10 11 12 37 38 39 16 17 18 43 44 45 22 23 24 49 50 51 28 29 30 55 56 57 34 35 36 61 62 63 40 41 42 67 68 69 46 47 48 73 74 1 52 53 54 77 3 4 58 59 60 7 8 64 65 13 70 
10 3 2 16 7 8 5 6 22 1 13 14 11 12 28 4 19 20 17 18 34 9 25 26 23 24 40 15 31 32 29 30 46 21 37 38 35 36 52 27 43 44 41 42 58 33 49 50 47 48 64 39 55 56 53 54 70 45 61 62 59 60 75 51 67 68 65 66 78 57 73 74 71 72 63 77 76 69 
11 77 16 17 69 7 6 22 23 74 1 13 12 28 29 3 4 19 18 34 35 8 9 25 24 40 41 14 15 31 30 46 47 20 21 37 36 52 53 26 27 43 42 58 59 32 33 49 48 64 65 38 39 55 54 70 71 44 45 61 60 75 76 50 51 67 66 78 5 56 57 73 72 10 62 63 2 68 
12 63 17 18 68 69 22 23 24 73 74 1 28 29 30 77 3 4 34 35 36 7 8 9 40 41 42 13 14 15 46 47 48 19 20 21 52 53 54 25 26 27 58 59 60 31 32 33 64 65 66 37 38 39 70 71 72 43 44 45 75 76 2 49 50 51 78 5 6 55 56 57 10 11 61 62 16 67 
13 76 4 19 78 5 8 9 25 72 10 11 14 15 31 2 16 17 20 21 37 6 22 23 26 27 43 12 28 29 32 33 49 18 34 35 38 39 55 24 40 41 44 45 61 30 46 47 50 51 67 36 52 53 56 57 73 42 58 59 62 63 77 48 64 65 68 69 7 54 70 71 74 1 60 75 3 66 
14 75 19 20 66 78 9 25 26 71 72 10 15 31 32 76 2 16 21 37 38 5 6 22 27 43 44 11 12 28 33 49 50 17 18 34 39 55 56 23 24 40 45 61 62 29 30 46 51 67 68 35 36 52 57 73 74 41 42 58 63 77 3 47 48 64 69 7 8 53 54 70 1 13 59 60 4 65 
15 60 20 21 65 66 25 26 27 70 71 72 31 32 33 75 76 2 37 38 39 78 5 6 43 44 45 10 11 12 49 50 51 16 17 18 55 56 57 22 23 24 61 62 63 28 29 30 67 68 69 34 35 36 73 74 1 40 41 42 77 3 4 46 47 48 7 8 9 52 53 54 13 14 58 59 19 64 
16 74 6 22 77 3 11 12 28 69 7 8 17 18 34 1 13 14 23 24 40 4 19 20 29 30 46 9 25 26 35 36 52 15 31 32 41 42 58 21 37 38 47 48 64 27 43 44 53 54 70 33 49 50 59 60 75 39 55 56 65 66 78 45 61 62 71 72 10 51 67 68 76 2 57 73 5 63 
17 73 22 23 63 77 12 28 29 68 69 7 18 34 35 74 1 13 24 40 41 3 4 19 30 46 47 8 9 25 36 52 53 14 15 31 42 58 59 20 21 37 48 64 65 26 27 43 54 70 71 32 33 49 60 75 76 38 39 55 66 78 5 44 45 61 72 10 11 50 51 67 2 16 56 57 6 62 
18 57 23 24 62 63 28 29 30 67 68 69 34 35 36 73 74 1 40 41 42 77 3 4 46 47 48 7 8 9 52 53 54 13 14 15 58 59 60 19 20 21 64 65 66 25 26 27 70 71 72 31 32 33 75 76 2 37 38 39 78 5 6 43 44 45 10 11 12 49 50 51 16 17 55 56 22 61 
19 71 9 25 75 76 14 15 31 66 78 5 20 21 37 72 10 11 26 27 43 2 16 17 32 33 49 6 22 23 38 39 55 12 28 29 44 45 61 18 34 35 50 51 67 24 40 41 56 57 73 30 46 47 62 63 77 36 52 53 68 69 7 42 58 59 74 1 13 48 64 65 3 4 54 70 8 60 
20 70 25 26 60 75 15 31 32 65 66 78 21 37 38 71 72 10 27 43 44 76 2 16 33 49 50 5 6 22 39 55 56 11 12 28 45 61 62 17 18 34 51 67 68 23 24 40 57 73 74 29 30 46 63 77 3 35 36 52 69 7 8 41 42 58 1 13 14 47 48 64 4 19 53 54 9 59 
21 54 26 27 59 60 31 32 33 64 65 66 37 38 39 70 71 72 43 44 45 75 76 2 49 50 51 78 5 6 55 56 57 10 11 12 61 62 63 16 17 18 67 68 69 22 23 24 73 74 1 28 29 30 77 3 4 34 35 36 7 8 9 40 41 42 13 14 15 46 47 48 19 20 52 53 25 58 
22 68 12 28 73 74 17 18 34 63 77 3 23 24 40 69 7 8 29 30 46 1 13 14 35 36 52 4 19 20 41 42 58 9 25 26 47 48 64 15 31 32 53 54 70 21 37 38 59 60 75 27 43 44 65 66 78 33 49 50 71 72 10 39 55 56 76 2 16 45 61 62 5 6 51 67 11 57 
23 67 28 29 57 73 18 34 35 62 63 77 24 40 41 68 69 7 30 46 47 74 1 13 36 52 53 3 4 19 42 58 59 8 9 25 48 64 65 14 15 31 54 70 71 20 21 37 60 75 76 26 27 43 66 78 5 32 33 49 72 10 11 38 39 55 2 16 17 44 45 61 6 22 50 51 12 56 
24 51 29 30 56 57 34 35 36 61 62 63 40 41 42 67 68 69 46 47 48 73 74 1 52 53 54 77 3 4 58 59 60 7 8 9 64 65 66 13 14 15 70 71 72 19 20 21 75 76 2 25 26 27 78 5 6 31 32 33 10 11 12 37 38 39 16 17 18 43 44 45 22 23 49 50 28 55 
25 65 15 31 70 71 20 21 37 60 75 76 26 27 43 66 78 5 32 33 49 72 10 11 38 39 55 2 16 17 44 45 61 6 22 23 50 51 67 12 28 29 56 57 73 18 34 35 62 63 77 24 40 41 68 69 7 30 46 47 74 1 13 36 52 53 3 4 19 42 58 59 8 9 48 64 14 54 
26 64 31 32 54 70 21 37 38 59 60 75 27 43 44 65 66 78 33 49 50 71 72 10 39 55 56 76 2 16 45 61 62 5 6 22 51 67 68 11 12 28 57 73 74 17 18 34 63 77 3 23 24 40 69 7 8 29 30 46 1 13 14 35 36 52 4 19 20 41 42 58 9 25 47 48 15 53 
27 48 32 33 53 54 37 38 39 58 59 60 43 44 45 64 65 66 49 50 51 70 71 72 55 56 57 75 76 2 61 62 63 78 5 6 67 68 69 10 11 12 73 74 1 16 17 18 77 3 4 22 23 24 7 8 9 28 29 30 13 14 15 34 35 36 19 20 21 40 41 42 25 26 46 47 31 52 
28 62 18 34 67 68 23 24 40 57 73 74 29 30 46 63 77 3 35 36 52 69 7 8 41 42 58 1 13 14 47 48 64 4 19 20 53 54 70 9 25 26 59 60 75 15 31 32 65 66 78 21 37 38 71 72 10 27 43 44 76 2 16 33 49 50 5 6 22 39 55 56 11 12 45 61 17 51 
29 61 34 35 51 67 24 40 41 56 57 73 30 46 47 62 63 77 36 52 53 68 69 7 42 58 59 74 1 13 48 64 65 3 4 19 54 70 71 8 9 25 60 75 76 14 15 31 66 78 5 20 21 37 72 10 11 26 27 43 2 16 17 32 33 49 6 22 23 38 39 55 12 28 44 45 18 50 
30 45 35 36 50 51 40 41 42 55 56 57 46 47 48 61 62 63 52 53 54 67 68 69 58 59 60 73 74 1 64 65 66 77 3 4 70 71 72 7 8 9 75 76 2 13 14 15 78 5 6 19 20 21 10 11 12 25 26 27 16 17 18 31 32 33 22 23 24 37 38 39 28 29 43 44 34 49 
31 59 21 37 64 65 26 27 43 54 70 71 32 33 49 60 75 76 38 39 55 66 78 5 44 45 61 72 10 11 50 51 67 2 16 17 56 57 73 6 22 23 62 63 77 12 28 29 68 69 7 18 34 35 74 1 13 24 40 41 3 4 19 30 46 47 8 9 25 36 52 53 14 15 42 58 20 48 
32 58 37 38 48 64 27 43 44 53 54 70 33 49 50 59 60 75 39 55 56 65 66 78 45 61 62 71 72 10 51 67 68 76 2 16 57 73 74 5 6 22 63 77 3 11 12 28 69 7 8 17 18 34 1 13 14 23 24 40 4 19 20 29 30 46 9 25 26 35 36 52 15 31 41 42 21 47 
33 42 38 39 47 48 43 44 45 52 53 54 49 50 51 58 59 60 55 56 57 64 65 66 61 62 63 70 71 72 67 68 69 75 76 2 73 74 1 78 5 6 77 3 4 10 11 12 7 8 9 16 17 18 13 14 15 22 23 24 19 20 21 28 29 30 25 26 27 34 35 36 31 32 40 41 37 46 
34 56 24 40 61 62 29 30 46 51 67 68 35 36 52 57 73 74 41 42 58 63 77 3 47 48 64 69 7 8 53 54 70 1 13 14 59 60 75 4 19 20 65 66 78 9 25 26 71 72 10 15 31 32 76 2 16 21 37 38 5 6 22 27 43 44 11 12 28 33 49 50 17 18 39 55 23 45 
35 55 40 41 45 61 30 46 47 50 51 67 36 52 53 56 57 73 42 58 59 62 63 77 48 64 65 68 69 7 54 70 71 74 1 13 60 75 76 3 4 19 66 78 5 8 9 25 72 10 11 14 15 31 2 16 17 20 21 37 6 22 23 26 27 43 12 28 29 32 33 49 18 34 38 39 24 44 
36 39 41 42 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 1 75 76 2 77 3 4 78 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 37 38 40 43 
37 53 27 43 58 59 32 33 49 48 64 65 38 39 55 54 70 71 44 45 61 60 75 76 50 51 67 66 78 5 56 57 73 72 10 11 62 63 77 2 16 17 68 69 7 6 22 23 74 1 13 12 28 29 3 4 19 18 34 35 8 9 25 24 40 41 14 15 31 30 46 47 20 21 36 52 26 42 
38 52 43 44 42 58 33 49 50 47 48 64 39 55 56 53 54 70 45 61 62 59 60 75 51 67 68 65 66 78 57 73 74 71 72 10 63 77 3 76 2 16 69 7 8 5 6 22 1 13 14 11 12 28 4 19 20 17 18 34 9 25 26 23 24 40 15 31 32 29 30 46 21 37 35 36 27 41 
