80 47
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 
2 6 7 8 9 10 13 15 17 1 18 19 20 21 22 23 24 26 28 3 30 4 32 5 33 34 35 36 37 38 39 40 42 11 44 12 46 14 48 16 49 50 51 52 53 54 55 56 58 25 60 27 62 29 63 31 64 65 66 67 68 69 70 72 41 73 43 74 45 47 75 76 77 78 79 57 59 61 80 71 
3 20 6 11 12 13 2 34 36 7 15 17 1 25 26 27 28 8 9 10 50 18 52 19 30 4 32 5 41 42 43 44 21 22 23 24 65 33 67 35 46 14 48 16 57 58 59 60 37 38 39 40 76 49 77 51 62 29 63 31 71 72 73 53 54 55 56 80 64 66 74 45 47 79 68 69 70 75 61 78 
4 8 11 1 14 15 18 2 21 22 3 25 26 5 6 29 30 7 33 34 9 10 37 38 12 13 41 42 16 17 45 46 19 20 49 50 23 24 53 54 27 28 57 58 31 32 61 62 35 36 64 65 39 40 68 69 43 44 71 72 47 48 74 51 52 75 76 55 56 78 59 60 79 63 66 67 80 70 73 77 
5 9 12 14 16 17 19 21 23 24 25 27 28 29 30 31 32 33 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 1 63 64 65 66 67 68 69 2 70 71 72 3 73 4 74 6 75 76 7 77 8 78 10 11 79 13 15 18 80 20 22 26 34 
6 10 13 15 17 1 20 22 24 2 26 28 3 30 4 32 5 34 36 7 38 8 40 9 42 11 44 12 46 14 48 16 50 18 52 19 54 21 56 23 58 25 60 27 62 29 63 31 65 33 67 35 69 37 70 39 72 41 73 43 74 45 47 76 49 77 51 78 53 55 79 57 59 61 80 64 66 68 71 75 
7 3 10 18 19 20 6 11 12 13 22 24 2 33 34 35 36 15 17 1 25 26 27 28 38 8 40 9 49 50 51 52 30 4 32 5 41 42 43 44 54 21 56 23 64 65 66 67 46 14 48 16 57 58 59 60 69 37 70 39 75 76 77 62 29 63 31 71 72 73 78 53 55 80 74 45 47 79 68 61 
8 15 18 2 21 22 26 6 30 4 7 33 34 9 10 37 38 13 42 11 17 1 46 14 19 20 49 50 23 24 53 54 28 3 58 25 32 5 62 29 35 36 64 65 39 40 68 69 44 12 72 41 48 16 74 45 51 52 75 76 55 56 78 60 27 79 57 63 31 61 66 67 80 70 73 43 71 47 77 59 
9 17 19 21 23 24 28 30 32 5 33 35 36 37 38 39 40 42 44 12 46 14 48 16 49 50 51 52 53 54 55 56 58 25 60 27 62 29 63 31 64 65 66 67 68 69 2 70 72 41 73 43 74 45 6 47 75 76 7 77 8 78 10 79 57 13 59 15 61 1 18 80 20 22 26 71 3 4 34 11 
10 1 20 22 24 2 3 4 5 6 34 36 7 38 8 40 9 11 12 13 14 15 16 17 50 18 52 19 54 21 56 23 25 26 27 28 29 30 31 32 65 33 67 35 69 37 70 39 41 42 43 44 45 46 47 48 76 49 77 51 78 53 55 57 58 59 60 61 62 63 80 64 66 68 71 72 73 74 75 79 
11 34 15 3 25 26 8 20 50 18 6 30 4 12 13 41 42 2 21 22 36 7 65 33 17 1 46 14 27 28 57 58 9 10 37 38 52 19 76 49 32 5 62 29 43 44 71 72 23 24 53 54 67 35 80 64 48 16 74 45 59 60 79 39 40 68 69 77 51 75 63 31 61 73 55 56 78 66 47 70 
12 36 17 25 27 28 9 50 52 19 30 32 5 41 42 43 44 21 23 24 65 33 67 35 46 14 48 16 57 58 59 60 37 38 39 40 76 49 77 51 62 29 63 31 71 72 3 73 53 54 55 56 80 64 20 66 74 45 6 47 11 79 13 68 69 2 70 34 75 7 15 61 1 26 8 78 10 18 4 22 
13 7 1 26 28 3 10 18 19 20 4 5 6 42 11 44 12 22 24 2 33 34 35 36 14 15 16 17 58 25 60 27 38 8 40 9 49 50 51 52 29 30 31 32 72 41 73 43 54 21 56 23 64 65 66 67 45 46 47 48 79 57 59 69 37 70 39 75 76 77 61 62 63 71 78 53 55 80 74 68 
14 21 25 5 29 30 33 9 37 38 12 41 42 16 17 45 46 19 49 50 23 24 53 54 27 28 57 58 31 32 61 62 35 36 64 65 39 40 68 69 43 44 71 72 47 48 4 74 51 52 75 76 55 56 8 78 59 60 11 79 1 63 15 66 67 18 80 2 70 22 3 73 26 6 7 77 34 10 13 20 
15 22 26 6 30 4 34 10 38 8 13 42 11 17 1 46 14 20 50 18 24 2 54 21 28 3 58 25 32 5 62 29 36 7 65 33 40 9 69 37 44 12 72 41 48 16 74 45 52 19 76 49 56 23 78 53 60 27 79 57 63 31 61 67 35 80 64 70 39 68 73 43 71 47 77 51 75 55 59 66 
16 23 27 29 31 32 35 37 39 40 41 43 44 45 46 47 48 49 51 52 53 54 55 56 57 58 59 60 61 62 1 63 64 65 66 67 68 69 2 70 71 72 3 73 4 74 5 6 75 76 7 77 8 78 9 10 11 79 12 13 14 15 17 18 80 19 20 21 22 24 25 26 28 30 33 34 36 38 42 50 
17 24 28 30 32 5 36 38 40 9 42 44 12 46 14 48 16 50 52 19 54 21 56 23 58 25 60 27 62 29 63 31 65 33 67 35 69 37 70 39 72 41 73 43 74 45 6 47 76 49 77 51 78 53 10 55 79 57 13 59 15 61 1 80 64 20 66 22 68 2 26 71 3 4 34 75 7 8 11 18 
18 11 22 7 33 34 15 3 25 26 10 38 8 19 20 49 50 6 30 4 12 13 41 42 24 2 54 21 35 36 64 65 17 1 46 14 27 28 57 58 40 9 69 37 51 52 75 76 32 5 62 29 43 44 71 72 56 23 78 53 66 67 80 48 16 74 45 59 60 79 70 39 68 77 63 31 61 73 55 47 
19 12 24 33 35 36 17 25 27 28 38 40 9 49 50 51 52 30 32 5 41 42 43 44 54 21 56 23 64 65 66 67 46 14 48 16 57 58 59 60 69 37 70 39 75 76 7 77 62 29 63 31 71 72 3 73 78 53 10 55 18 80 20 74 45 6 47 11 79 13 22 68 2 34 15 61 1 26 8 4 
20 13 2 34 36 7 1 26 28 3 8 9 10 50 18 52 19 4 5 6 42 11 44 12 21 22 23 24 65 33 67 35 14 15 16 17 58 25 60 27 37 38 39 40 76 49 77 51 29 30 31 32 72 41 73 43 53 54 55 56 80 64 66 45 46 47 48 79 57 59 68 69 70 75 61 62 63 71 78 74 
21 30 33 9 37 38 42 17 46 14 19 49 50 23 24 53 54 28 58 25 32 5 62 29 35 36 64 65 39 40 68 69 44 12 72 41 48 16 74 45 51 52 75 76 55 56 8 78 60 27 79 57 63 31 15 61 66 67 18 80 2 70 22 73 43 26 71 6 47 4 7 77 34 10 13 59 11 1 20 3 
22 4 34 10 38 8 11 1 14 15 20 50 18 24 2 54 21 3 25 26 5 6 29 30 36 7 65 33 40 9 69 37 12 13 41 42 16 17 45 46 52 19 76 49 56 23 78 53 27 28 57 58 31 32 61 62 67 35 80 64 70 39 68 43 44 71 72 47 48 74 77 51 75 55 59 60 79 63 66 73 
23 32 35 37 39 40 44 46 48 16 49 51 52 53 54 55 56 58 60 27 62 29 63 31 64 65 66 67 68 69 2 70 72 41 73 43 74 45 6 47 75 76 7 77 8 78 9 10 79 57 13 59 15 61 17 1 18 80 19 20 21 22 24 26 71 28 3 30 4 5 33 34 36 38 42 11 12 14 50 25 
24 5 36 38 40 9 12 14 16 17 50 52 19 54 21 56 23 25 27 28 29 30 31 32 65 33 67 35 69 37 70 39 41 42 43 44 45 46 47 48 76 49 77 51 78 53 10 55 57 58 59 60 61 62 1 63 80 64 20 66 22 68 2 71 72 3 73 4 74 6 34 75 7 8 11 79 13 15 18 26 
25 50 30 12 41 42 21 36 65 33 17 46 14 27 28 57 58 9 37 38 52 19 76 49 32 5 62 29 43 44 71 72 23 24 53 54 67 35 80 64 48 16 74 45 59 60 11 79 39 40 68 69 77 51 34 75 63 31 15 61 3 73 26 55 56 8 78 20 66 18 6 47 4 13 2 70 22 7 1 10 
26 18 4 13 42 11 22 7 33 34 1 14 15 28 3 58 25 10 38 8 19 20 49 50 5 6 29 30 44 12 72 41 24 2 54 21 35 36 64 65 16 17 45 46 60 27 79 57 40 9 69 37 51 52 75 76 31 32 61 62 73 43 71 56 23 78 53 66 67 80 47 48 74 59 70 39 68 77 63 55 
27 52 32 41 43 44 23 65 67 35 46 48 16 57 58 59 60 37 39 40 76 49 77 51 62 29 63 31 71 72 3 73 53 54 55 56 80 64 20 66 74 45 6 47 11 79 12 13 68 69 2 70 34 75 36 7 15 61 17 1 25 26 28 8 78 9 10 50 18 19 30 4 5 42 21 22 24 33 14 38 
28 19 5 42 44 12 24 33 35 36 14 16 17 58 25 60 27 38 40 9 49 50 51 52 29 30 31 32 72 41 73 43 54 21 56 23 64 65 66 67 45 46 47 48 79 57 13 59 69 37 70 39 75 76 7 77 61 62 1 63 26 71 3 78 53 10 55 18 80 20 4 74 6 11 22 68 2 34 15 8 
29 37 41 16 45 46 49 23 53 54 27 57 58 31 32 61 62 35 64 65 39 40 68 69 43 44 71 72 47 48 4 74 51 52 75 76 55 56 8 78 59 60 11 79 1 63 14 15 66 67 18 80 2 70 21 22 3 73 25 26 5 6 30 7 77 33 34 9 10 38 12 13 42 17 19 20 50 24 28 36 
30 38 42 17 46 14 50 24 54 21 28 58 25 32 5 62 29 36 65 33 40 9 69 37 44 12 72 41 48 16 74 45 52 19 76 49 56 23 78 53 60 27 79 57 63 31 15 61 67 35 80 64 70 39 22 68 73 43 26 71 6 47 4 77 51 34 75 10 55 8 13 59 11 1 20 66 18 2 3 7 
31 39 43 45 47 48 51 53 55 56 57 59 60 61 62 1 63 64 66 67 68 69 2 70 71 72 3 73 4 74 5 6 75 76 7 77 8 78 9 10 11 79 12 13 14 15 16 17 18 80 19 20 21 22 23 24 25 26 27 28 29 30 32 33 34 35 36 37 38 40 41 42 44 46 49 50 52 54 58 65 
32 40 44 46 48 16 52 54 56 23 58 60 27 62 29 63 31 65 67 35 69 37 70 39 72 41 73 43 74 45 6 47 76 49 77 51 78 53 10 55 79 57 13 59 15 61 17 1 80 64 20 66 22 68 24 2 26 71 28 3 30 4 5 34 75 36 7 38 8 9 42 11 12 14 50 18 19 21 25 33 
33 25 38 19 49 50 30 12 41 42 24 54 21 35 36 64 65 17 46 14 27 28 57 58 40 9 69 37 51 52 75 76 32 5 62 29 43 44 71 72 56 23 78 53 66 67 18 80 48 16 74 45 59 60 11 79 70 39 22 68 7 77 34 63 31 15 61 3 73 26 10 55 8 20 6 47 4 13 2 1 
34 26 8 20 50 18 4 13 42 11 2 21 22 36 7 65 33 1 14 15 28 3 58 25 9 10 37 38 52 19 76 49 5 6 29 30 44 12 72 41 23 24 53 54 67 35 80 64 16 17 45 46 60 27 79 57 39 40 68 69 77 51 75 31 32 61 62 73 43 71 55 56 78 66 47 48 74 59 70 63 
35 27 40 49 51 52 32 41 43 44 54 56 23 64 65 66 67 46 48 16 57 58 59 60 69 37 70 39 75 76 7 77 62 29 63 31 71 72 3 73 78 53 10 55 18 80 19 20 74 45 6 47 11 79 12 13 22 68 24 2 33 34 36 15 61 17 1 25 26 28 38 8 9 50 30 4 5 42 21 14 
36 28 9 50 52 19 5 42 44 12 21 23 24 65 33 67 35 14 16 17 58 25 60 27 37 38 39 40 76 49 77 51 29 30 31 32 72 41 73 43 53 54 55 56 80 64 20 66 45 46 47 48 79 57 13 59 68 69 2 70 34 75 7 61 62 1 63 26 71 3 8 78 10 18 4 74 6 11 22 15 
37 46 49 23 53 54 58 32 62 29 35 64 65 39 40 68 69 44 72 41 48 16 74 45 51 52 75 76 55 56 8 78 60 27 79 57 63 31 15 61 66 67 18 80 2 70 21 22 73 43 26 71 6 47 30 4 7 77 33 34 9 10 38 13 59 42 11 17 1 14 19 20 50 24 28 3 25 5 36 12 
38 14 50 24 54 21 25 5 29 30 36 65 33 40 9 69 37 12 41 42 16 17 45 46 52 19 76 49 56 23 78 53 27 28 57 58 31 32 61 62 67 35 80 64 70 39 22 68 43 44 71 72 47 48 4 74 77 51 34 75 10 55 8 59 60 11 79 1 63 15 20 66 18 2 3 73 26 6 7 13 
39 48 51 53 55 56 60 62 63 31 64 66 67 68 69 2 70 72 73 43 74 45 6 47 75 76 7 77 8 78 9 10 79 57 13 59 15 61 17 1 18 80 19 20 21 22 23 24 26 71 28 3 30 4 32 5 33 34 35 36 37 38 40 42 11 44 12 46 14 16 49 50 52 54 58 25 27 29 65 41 
40 16 52 54 56 23 27 29 31 32 65 67 35 69 37 70 39 41 43 44 45 46 47 48 76 49 77 51 78 53 10 55 57 58 59 60 61 62 1 63 80 64 20 66 22 68 24 2 71 72 3 73 4 74 5 6 34 75 36 7 38 8 9 11 79 12 13 14 15 17 50 18 19 21 25 26 28 30 33 42 
