84 3
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 
2 4 6 7 8 10 1 12 14 15 16 17 18 20 3 22 5 24 25 26 27 28 29 30 32 9 34 11 36 13 37 38 39 40 41 42 44 19 46 21 48 23 49 50 51 52 53 54 56 31 58 33 60 35 61 62 63 64 65 66 67 43 69 45 71 47 72 73 74 75 76 55 77 57 79 59 80 81 82 68 83 70 84 78 
3 6 9 10 11 14 15 16 19 20 21 22 23 25 26 27 28 29 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 1 67 68 69 70 71 2 72 73 74 75 76 4 5 77 78 79 7 8 80 81 82 12 13 83 17 18 84 24 30 
4 7 10 1 12 15 2 17 20 3 22 5 24 26 6 28 8 30 32 9 34 11 36 13 38 14 40 16 42 18 44 19 46 21 48 23 50 25 52 27 54 29 56 31 58 33 60 35 62 37 64 39 66 41 67 43 69 45 71 47 72 49 74 51 76 53 55 77 57 79 59 61 80 63 82 65 68 83 70 73 84 75 78 81 
5 18 11 12 13 29 30 2 21 22 23 24 1 41 42 6 7 8 33 34 35 36 3 4 53 54 14 15 16 17 45 46 47 48 9 10 65 66 25 26 27 28 57 58 59 60 19 20 75 76 37 38 39 40 68 69 70 71 31 32 81 82 49 50 51 52 77 78 79 43 44 84 61 62 63 64 83 55 56 72 73 74 67 80 
6 10 14 15 16 20 3 22 25 26 27 28 29 32 9 34 11 36 37 38 39 40 41 42 44 19 46 21 48 23 49 50 51 52 53 54 56 31 58 33 60 35 61 62 63 64 65 66 67 43 69 45 71 47 2 72 73 74 75 76 4 55 77 57 79 59 7 8 80 81 82 1 12 68 83 70 17 18 84 5 24 78 30 13 
7 1 15 2 17 3 4 5 26 6 28 8 30 9 10 11 12 13 38 14 40 16 42 18 19 20 21 22 23 24 50 25 52 27 54 29 31 32 33 34 35 36 62 37 64 39 66 41 43 44 45 46 47 48 72 49 74 51 76 53 55 56 57 58 59 60 61 80 63 82 65 67 68 69 70 71 73 84 75 77 78 79 81 83 
8 24 16 17 18 36 13 4 27 28 29 30 2 48 23 10 1 12 39 40 41 42 6 7 60 35 20 3 22 5 51 52 53 54 14 15 71 47 32 9 34 11 63 64 65 66 25 26 79 59 44 19 46 21 73 74 75 76 37 38 83 70 56 31 58 33 80 81 82 49 50 78 67 43 69 45 84 61 62 55 77 57 72 68 
9 14 19 20 21 25 26 27 31 32 33 34 35 37 38 39 40 41 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 1 67 68 69 70 71 2 72 73 74 75 76 3 4 5 77 78 79 6 7 8 80 81 82 10 11 12 13 83 15 16 17 18 84 22 23 24 28 29 30 36 42 
10 15 20 3 22 26 6 28 32 9 34 11 36 38 14 40 16 42 44 19 46 21 48 23 50 25 52 27 54 29 56 31 58 33 60 35 62 37 64 39 66 41 67 43 69 45 71 47 72 49 74 51 76 53 4 55 77 57 79 59 7 61 80 63 82 65 1 12 68 83 70 2 17 73 84 75 5 24 78 8 30 81 13 18 
11 29 21 22 23 41 42 6 33 34 35 36 3 53 54 14 15 16 45 46 47 48 9 10 65 66 25 26 27 28 57 58 59 60 19 20 75 76 37 38 39 40 68 69 70 71 31 32 81 82 49 50 51 52 5 77 78 79 43 44 18 84 61 62 63 64 12 13 83 55 56 30 2 72 73 74 24 1 67 7 8 80 4 17 
12 30 22 5 24 42 18 7 34 11 36 13 4 54 29 15 2 17 46 21 48 23 10 1 66 41 26 6 28 8 58 33 60 35 20 3 76 53 38 14 40 16 69 45 71 47 32 9 82 65 50 25 52 27 77 57 79 59 44 19 84 75 62 37 64 39 68 83 70 56 31 81 72 49 74 51 78 67 43 61 80 63 55 73 
13 8 23 24 1 16 17 18 35 36 3 4 5 27 28 29 30 2 47 48 9 10 11 12 39 40 41 42 6 7 59 60 19 20 21 22 51 52 53 54 14 15 70 71 31 32 33 34 63 64 65 66 25 26 78 79 43 44 45 46 73 74 75 76 37 38 83 55 56 57 58 80 81 82 49 50 67 68 69 84 61 62 77 72 
14 20 25 26 27 32 9 34 37 38 39 40 41 44 19 46 21 48 49 50 51 52 53 54 56 31 58 33 60 35 61 62 63 64 65 66 67 43 69 45 71 47 2 72 73 74 75 76 4 55 77 57 79 59 6 7 8 80 81 82 10 1 12 68 83 70 15 16 17 18 84 3 22 5 24 78 28 29 30 11 36 13 42 23 
15 3 26 6 28 9 10 11 38 14 40 16 42 19 20 21 22 23 50 25 52 27 54 29 31 32 33 34 35 36 62 37 64 39 66 41 43 44 45 46 47 48 72 49 74 51 76 53 55 56 57 58 59 60 7 61 80 63 82 65 1 67 68 69 70 71 2 17 73 84 75 4 5 77 78 79 8 30 81 12 13 83 18 24 
16 36 27 28 29 48 23 10 39 40 41 42 6 60 35 20 3 22 51 52 53 54 14 15 71 47 32 9 34 11 63 64 65 66 25 26 79 59 44 19 46 21 73 74 75 76 37 38 83 70 56 31 58 33 8 80 81 82 49 50 24 78 67 43 69 45 17 18 84 61 62 13 4 55 77 57 30 2 72 1 12 68 7 5 
17 13 28 8 30 23 24 1 40 16 42 18 7 35 36 3 4 5 52 27 54 29 15 2 47 48 9 10 11 12 64 39 66 41 26 6 59 60 19 20 21 22 74 51 76 53 38 14 70 71 31 32 33 34 80 63 82 65 50 25 78 79 43 44 45 46 73 84 75 62 37 83 55 56 57 58 81 72 49 67 68 69 61 77 
18 12 29 30 2 22 5 24 41 42 6 7 8 34 11 36 13 4 53 54 14 15 16 17 46 21 48 23 10 1 65 66 25 26 27 28 58 33 60 35 20 3 75 76 37 38 39 40 69 45 71 47 32 9 81 82 49 50 51 52 77 57 79 59 44 19 84 61 62 63 64 68 83 70 56 31 72 73 74 78 67 43 80 55 
19 25 31 32 33 37 38 39 43 44 45 46 47 49 50 51 52 53 55 56 57 58 59 60 61 62 63 64 65 66 1 67 68 69 70 71 2 72 73 74 75 76 3 4 5 77 78 79 6 7 8 80 81 82 9 10 11 12 13 83 14 15 16 17 18 84 20 21 22 23 24 26 27 28 29 30 34 35 36 40 41 42 48 54 
20 26 32 9 34 38 14 40 44 19 46 21 48 50 25 52 27 54 56 31 58 33 60 35 62 37 64 39 66 41 67 43 69 45 71 47 72 49 74 51 76 53 4 55 77 57 79 59 7 61 80 63 82 65 10 1 12 68 83 70 15 2 17 73 84 75 3 22 5 24 78 6 28 8 30 81 11 36 13 16 42 18 23 29 
21 41 33 34 35 53 54 14 45 46 47 48 9 65 66 25 26 27 57 58 59 60 19 20 75 76 37 38 39 40 68 69 70 71 31 32 81 82 49 50 51 52 5 77 78 79 43 44 18 84 61 62 63 64 11 12 13 83 55 56 29 30 2 72 73 74 22 23 24 1 67 42 6 7 8 80 36 3 4 15 16 17 10 28 
22 42 34 11 36 54 29 15 46 21 48 23 10 66 41 26 6 28 58 33 60 35 20 3 76 53 38 14 40 16 69 45 71 47 32 9 82 65 50 25 52 27 77 57 79 59 44 19 84 75 62 37 64 39 12 68 83 70 56 31 30 81 72 49 74 51 5 24 78 67 43 18 7 61 80 63 13 4 55 2 17 73 1 8 
23 16 35 36 3 27 28 29 47 48 9 10 11 39 40 41 42 6 59 60 19 20 21 22 51 52 53 54 14 15 70 71 31 32 33 34 63 64 65 66 25 26 78 79 43 44 45 46 73 74 75 76 37 38 13 83 55 56 57 58 8 80 81 82 49 50 24 1 67 68 69 17 18 84 61 62 4 5 77 30 2 72 12 7 
24 17 36 13 4 28 8 30 48 23 10 1 12 40 16 42 18 7 60 35 20 3 22 5 52 27 54 29 15 2 71 47 32 9 34 11 64 39 66 41 26 6 79 59 44 19 46 21 74 51 76 53 38 14 83 70 56 31 58 33 80 63 82 65 50 25 78 67 43 69 45 73 84 75 62 37 55 77 57 81 72 49 68 61 
25 32 37 38 39 44 19 46 49 50 51 52 53 56 31 58 33 60 61 62 63 64 65 66 67 43 69 45 71 47 2 72 73 74 75 76 4 55 77 57 79 59 6 7 8 80 81 82 10 1 12 68 83 70 14 15 16 17 18 84 20 3 22 5 24 78 26 27 28 29 30 9 34 11 36 13 40 41 42 21 48 23 54 35 
26 9 38 14 40 19 20 21 50 25 52 27 54 31 32 33 34 35 62 37 64 39 66 41 43 44 45 46 47 48 72 49 74 51 76 53 55 56 57 58 59 60 7 61 80 63 82 65 1 67 68 69 70 71 15 2 17 73 84 75 3 4 5 77 78 79 6 28 8 30 81 10 11 12 13 83 16 42 18 22 23 24 29 36 
27 48 39 40 41 60 35 20 51 52 53 54 14 71 47 32 9 34 63 64 65 66 25 26 79 59 44 19 46 21 73 74 75 76 37 38 83 70 56 31 58 33 8 80 81 82 49 50 24 78 67 43 69 45 16 17 18 84 61 62 36 13 4 55 77 57 28 29 30 2 72 23 10 1 12 68 42 6 7 3 22 5 15 11 
28 23 40 16 42 35 36 3 52 27 54 29 15 47 48 9 10 11 64 39 66 41 26 6 59 60 19 20 21 22 74 51 76 53 38 14 70 71 31 32 33 34 80 63 82 65 50 25 78 79 43 44 45 46 17 73 84 75 62 37 13 83 55 56 57 58 8 30 81 72 49 24 1 67 68 69 18 7 61 4 5 77 2 12 
29 22 41 42 6 34 11 36 53 54 14 15 16 46 21 48 23 10 65 66 25 26 27 28 58 33 60 35 20 3 75 76 37 38 39 40 69 45 71 47 32 9 81 82 49 50 51 52 77 57 79 59 44 19 18 84 61 62 63 64 12 68 83 70 56 31 30 2 72 73 74 5 24 78 67 43 7 8 80 13 4 55 17 1 
30 5 42 18 7 11 12 13 54 29 15 2 17 21 22 23 24 1 66 41 26 6 28 8 33 34 35 36 3 4 76 53 38 14 40 16 45 46 47 48 9 10 82 65 50 25 52 27 57 58 59 60 19 20 84 75 62 37 64 39 68 69 70 71 31 32 81 72 49 74 51 77 78 79 43 44 61 80 63 83 55 56 73 67 
31 37 43 44 45 49 50 51 55 56 57 58 59 61 62 63 64 65 1 67 68 69 70 71 2 72 73 74 75 76 3 4 5 77 78 79 6 7 8 80 81 82 9 10 11 12 13 83 14 15 16 17 18 84 19 20 21 22 23 24 25 26 27 28 29 30 32 33 34 35 36 38 39 40 41 42 46 47 48 52 53 54 60 66 
32 38 44 19 46 50 25 52 56 31 58 33 60 62 37 64 39 66 67 43 69 45 71 47 72 49 74 51 76 53 4 55 77 57 79 59 7 61 80 63 82 65 10 1 12 68 83 70 15 2 17 73 84 75 20 3 22 5 24 78 26 6 28 8 30 81 9 34 11 36 13 14 40 16 42 18 21 48 23 27 54 29 35 41 
