92 3
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 
2 1 5 6 3 4 9 10 7 8 13 14 11 12 17 18 15 16 21 22 19 20 25 26 23 24 29 30 27 28 33 34 31 32 37 38 35 36 41 42 39 40 45 46 43 44 49 50 47 48 53 54 51 52 57 58 55 56 61 62 59 60 65 66 63 64 69 70 67 68 73 74 71 72 77 78 75 76 81 82 79 80 85 86 83 84 89 90 87 88 92 91 
3 5 1 7 2 9 4 11 6 13 8 15 10 17 12 19 14 21 16 23 18 25 20 27 22 29 24 31 26 33 28 35 30 37 32 39 34 41 36 43 38 45 40 47 42 49 44 51 46 53 48 55 50 57 52 59 54 61 56 63 58 65 60 67 62 69 64 71 66 73 68 75 70 77 72 79 74 81 76 83 78 85 80 87 82 89 84 91 86 92 88 90 
4 90 7 8 92 2 11 12 5 6 15 16 9 10 19 20 13 14 23 24 17 18 27 28 21 22 31 32 25 26 35 36 29 30 39 40 33 34 43 44 37 38 47 48 41 42 51 52 45 46 55 56 49 50 59 60 53 54 63 64 57 58 67 68 61 62 71 72 65 66 75 76 69 70 79 80 73 74 83 84 77 78 87 88 81 82 91 1 85 86 3 89 
5 3 2 9 1 7 6 13 4 11 10 17 8 15 14 21 12 19 18 25 16 23 22 29 20 27 26 33 24 31 30 37 28 35 34 41 32 39 38 45 36 43 42 49 40 47 46 53 44 51 50 57 48 55 54 61 52 59 58 65 56 63 62 69 60 67 66 73 64 71 70 77 68 75 74 81 72 79 78 85 76 83 82 89 80 87 86 92 84 91 90 88 
6 88 9 10 91 1 13 14 3 4 17 18 7 8 21 22 11 12 25 26 15 16 29 30 19 20 33 34 23 24 37 38 27 28 41 42 31 32 45 46 35 36 49 50 39 40 53 54 43 44 57 58 47 48 61 62 51 52 65 66 55 56 69 70 59 60 73 74 63 64 77 78 67 68 81 82 71 72 85 86 75 76 89 90 79 80 92 2 83 84 5 87 
7 92 4 11 90 5 8 15 2 9 12 19 6 13 16 23 10 17 20 27 14 21 24 31 18 25 28 35 22 29 32 39 26 33 36 43 30 37 40 47 34 41 44 51 38 45 48 55 42 49 52 59 46 53 56 63 50 57 60 67 54 61 64 71 58 65 68 75 62 69 72 79 66 73 76 83 70 77 80 87 74 81 84 91 78 85 88 3 82 89 1 86 
8 86 11 12 89 90 15 16 92 2 19 20 5 6 23 24 9 10 27 28 13 14 31 32 17 18 35 36 21 22 39 40 25 26 43 44 29 30 47 48 33 34 51 52 37 38 55 56 41 42 59 60 45 46 63 64 49 50 67 68 53 54 71 72 57 58 75 76 61 62 79 80 65 66 83 84 69 70 87 88 73 74 91 1 77 78 3 4 81 82 7 85 
9 91 6 13 88 3 10 17 1 7 14 21 4 11 18 25 8 15 22 29 12 19 26 33 16 23 30 37 20 27 34 41 24 31 38 45 28 35 42 49 32 39 46 53 36 43 50 57 40 47 54 61 44 51 58 65 48 55 62 69 52 59 66 73 56 63 70 77 60 67 74 81 64 71 78 85 68 75 82 89 72 79 86 92 76 83 90 5 80 87 2 84 
10 84 13 14 87 88 17 18 91 1 21 22 3 4 25 26 7 8 29 30 11 12 33 34 15 16 37 38 19 20 41 42 23 24 45 46 27 28 49 50 31 32 53 54 35 36 57 58 39 40 61 62 43 44 65 66 47 48 69 70 51 52 73 74 55 56 77 78 59 60 81 82 63 64 85 86 67 68 89 90 71 72 92 2 75 76 5 6 79 80 9 83 
11 89 8 15 86 92 12 19 90 5 16 23 2 9 20 27 6 13 24 31 10 17 28 35 14 21 32 39 18 25 36 43 22 29 40 47 26 33 44 51 30 37 48 55 34 41 52 59 38 45 56 63 42 49 60 67 46 53 64 71 50 57 68 75 54 61 72 79 58 65 76 83 62 69 80 87 66 73 84 91 70 77 88 3 74 81 1 7 78 85 4 82 
12 82 15 16 85 86 19 20 89 90 23 24 92 2 27 28 5 6 31 32 9 10 35 36 13 14 39 40 17 18 43 44 21 22 47 48 25 26 51 52 29 30 55 56 33 34 59 60 37 38 63 64 41 42 67 68 45 46 71 72 49 50 75 76 53 54 79 80 57 58 83 84 61 62 87 88 65 66 91 1 69 70 3 4 73 74 7 8 77 78 11 81 
13 87 10 17 84 91 14 21 88 3 18 25 1 7 22 29 4 11 26 33 8 15 30 37 12 19 34 41 16 23 38 45 20 27 42 49 24 31 46 53 28 35 50 57 32 39 54 61 36 43 58 65 40 47 62 69 44 51 66 73 48 55 70 77 52 59 74 81 56 63 78 85 60 67 82 89 64 71 86 92 68 75 90 5 72 79 2 9 76 83 6 80 
14 80 17 18 83 84 21 22 87 88 25 26 91 1 29 30 3 4 33 34 7 8 37 38 11 12 41 42 15 16 45 46 19 20 49 50 23 24 53 54 27 28 57 58 31 32 61 62 35 36 65 66 39 40 69 70 43 44 73 74 47 48 77 78 51 52 81 82 55 56 85 86 59 60 89 90 63 64 92 2 67 68 5 6 71 72 9 10 75 76 13 79 
15 85 12 19 82 89 16 23 86 92 20 27 90 5 24 31 2 9 28 35 6 13 32 39 10 17 36 43 14 21 40 47 18 25 44 51 22 29 48 55 26 33 52 59 30 37 56 63 34 41 60 67 38 45 64 71 42 49 68 75 46 53 72 79 50 57 76 83 54 61 80 87 58 65 84 91 62 69 88 3 66 73 1 7 70 77 4 11 74 81 8 78 
16 78 19 20 81 82 23 24 85 86 27 28 89 90 31 32 92 2 35 36 5 6 39 40 9 10 43 44 13 14 47 48 17 18 51 52 21 22 55 56 25 26 59 60 29 30 63 64 33 34 67 68 37 38 71 72 41 42 75 76 45 46 79 80 49 50 83 84 53 54 87 88 57 58 91 1 61 62 3 4 65 66 7 8 69 70 11 12 73 74 15 77 
