99 1
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 
2 5 6 7 4 11 12 13 14 15 9 10 19 20 21 22 23 24 17 18 1 28 29 30 31 32 33 26 27 3 37 38 39 40 41 42 35 36 8 46 47 48 49 50 51 44 45 16 55 56 57 58 59 60 53 54 25 64 65 66 67 68 69 62 63 34 73 74 75 76 77 78 71 72 43 82 83 84 85 86 87 80 81 52 90 91 92 93 94 88 89 61 96 97 98 95 70 99 79 
3 6 8 9 11 13 14 16 17 18 19 20 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 1 88 89 90 91 92 2 93 94 4 95 5 96 97 7 98 10 12 99 15 21 
4 7 9 10 12 14 15 17 18 1 20 21 23 24 2 26 27 3 29 30 5 32 33 6 35 36 8 38 39 11 41 42 13 44 45 16 47 48 19 50 51 22 53 54 25 56 57 28 59 60 31 62 63 34 65 66 37 68 69 40 71 72 43 74 75 46 77 78 49 80 81 52 83 84 55 86 87 58 88 89 61 91 92 64 93 94 67 95 70 96 97 73 98 76 79 99 82 85 90 
5 4 11 12 7 9 10 19 20 21 14 15 17 18 1 28 29 30 23 24 2 26 27 3 37 38 39 32 33 6 35 36 8 46 47 48 41 42 13 44 45 16 55 56 57 50 51 22 53 54 25 64 65 66 59 60 31 62 63 34 73 74 75 68 69 40 71 72 43 82 83 84 77 78 49 80 81 52 90 91 92 86 87 58 88 89 61 96 97 93 94 67 95 70 99 98 76 79 85 
6 11 13 14 9 19 20 22 23 24 17 18 28 29 30 31 32 33 26 27 3 37 38 39 40 41 42 35 36 8 46 47 48 49 50 51 44 45 16 55 56 57 58 59 60 53 54 25 64 65 66 67 68 69 62 63 34 73 74 75 76 77 78 71 72 43 82 83 84 85 86 87 80 81 52 90 91 92 2 93 94 88 89 61 5 96 97 7 98 4 95 70 12 99 15 10 79 21 1 
7 12 14 15 10 20 21 23 24 2 18 1 29 30 5 32 33 6 27 3 4 38 39 11 41 42 13 36 8 9 47 48 19 50 51 22 45 16 17 56 57 28 59 60 31 54 25 26 65 66 37 68 69 40 63 34 35 74 75 46 77 78 49 72 43 44 83 84 55 86 87 58 81 52 53 91 92 64 93 94 67 89 61 62 96 97 73 98 76 95 70 71 99 82 85 79 80 90 88 
8 13 16 17 19 22 23 25 26 27 28 29 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 1 88 89 90 91 92 2 93 94 3 4 95 5 96 97 6 7 98 9 10 11 12 99 14 15 18 20 21 24 30 
9 14 17 18 20 23 24 26 27 3 29 30 32 33 6 35 36 8 38 39 11 41 42 13 44 45 16 47 48 19 50 51 22 53 54 25 56 57 28 59 60 31 62 63 34 65 66 37 68 69 40 71 72 43 74 75 46 77 78 49 80 81 52 83 84 55 86 87 58 88 89 61 91 92 64 93 94 67 4 95 70 96 97 73 7 98 76 10 79 12 99 82 15 85 1 21 90 2 5 
10 15 18 1 21 24 2 27 3 4 30 5 33 6 7 36 8 9 39 11 12 42 13 14 45 16 17 48 19 20 51 22 23 54 25 26 57 28 29 60 31 32 63 34 35 66 37 38 69 40 41 72 43 44 75 46 47 78 49 50 81 52 53 84 55 56 87 58 59 89 61 62 92 64 65 94 67 68 95 70 71 97 73 74 98 76 77 79 80 99 82 83 85 86 88 90 91 93 96 
11 9 19 20 14 17 18 28 29 30 23 24 26 27 3 37 38 39 32 33 6 35 36 8 46 47 48 41 42 13 44 45 16 55 56 57 50 51 22 53 54 25 64 65 66 59 60 31 62 63 34 73 74 75 68 69 40 71 72 43 82 83 84 77 78 49 80 81 52 90 91 92 86 87 58 88 89 61 5 96 97 93 94 67 4 95 70 12 99 7 98 76 10 79 21 15 85 1 2 
12 10 20 21 15 18 1 29 30 5 24 2 27 3 4 38 39 11 33 6 7 36 8 9 47 48 19 42 13 14 45 16 17 56 57 28 51 22 23 54 25 26 65 66 37 60 31 32 63 34 35 74 75 46 69 40 41 72 43 44 83 84 55 78 49 50 81 52 53 91 92 64 87 58 59 89 61 62 96 97 73 94 67 68 95 70 71 99 82 98 76 77 79 80 90 85 86 88 93 
13 19 22 23 17 28 29 31 32 33 26 27 37 38 39 40 41 42 35 36 8 46 47 48 49 50 51 44 45 16 55 56 57 58 59 60 53 54 25 64 65 66 67 68 69 62 63 34 73 74 75 76 77 78 71 72 43 82 83 84 85 86 87 80 81 52 90 91 92 2 93 94 88 89 61 5 96 97 6 7 98 4 95 70 11 12 99 14 15 9 10 79 20 21 24 18 1 30 3 
14 20 23 24 18 29 30 32 33 6 27 3 38 39 11 41 42 13 36 8 9 47 48 19 50 51 22 45 16 17 56 57 28 59 60 31 54 25 26 65 66 37 68 69 40 63 34 35 74 75 46 77 78 49 72 43 44 83 84 55 86 87 58 81 52 53 91 92 64 93 94 67 89 61 62 96 97 73 7 98 76 95 70 71 12 99 82 15 85 10 79 80 21 90 2 1 88 5 4 
15 21 24 2 1 30 5 33 6 7 3 4 39 11 12 42 13 14 8 9 10 48 19 20 51 22 23 16 17 18 57 28 29 60 31 32 25 26 27 66 37 38 69 40 41 34 35 36 75 46 47 78 49 50 43 44 45 84 55 56 87 58 59 52 53 54 92 64 65 94 67 68 61 62 63 97 73 74 98 76 77 70 71 72 99 82 83 85 86 79 80 81 90 91 93 88 89 96 95 
16 22 25 26 28 31 32 34 35 36 37 38 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 1 88 89 90 91 92 2 93 94 3 4 95 5 96 97 6 7 98 8 9 10 11 12 99 13 14 15 17 18 19 20 21 23 24 27 29 30 33 39 
17 23 26 27 29 32 33 35 36 8 38 39 41 42 13 44 45 16 47 48 19 50 51 22 53 54 25 56 57 28 59 60 31 62 63 34 65 66 37 68 69 40 71 72 43 74 75 46 77 78 49 80 81 52 83 84 55 86 87 58 88 89 61 91 92 64 93 94 67 4 95 70 96 97 73 7 98 76 9 10 79 12 99 82 14 15 85 18 1 20 21 90 24 2 3 30 5 6 11 
18 24 27 3 30 33 6 36 8 9 39 11 42 13 14 45 16 17 48 19 20 51 22 23 54 25 26 57 28 29 60 31 32 63 34 35 66 37 38 69 40 41 72 43 44 75 46 47 78 49 50 81 52 53 84 55 56 87 58 59 89 61 62 92 64 65 94 67 68 95 70 71 97 73 74 98 76 77 10 79 80 99 82 83 15 85 86 1 88 21 90 91 2 93 4 5 96 7 12 
19 17 28 29 23 26 27 37 38 39 32 33 35 36 8 46 47 48 41 42 13 44 45 16 55 56 57 50 51 22 53 54 25 64 65 66 59 60 31 62 63 34 73 74 75 68 69 40 71 72 43 82 83 84 77 78 49 80 81 52 90 91 92 86 87 58 88 89 61 5 96 97 93 94 67 4 95 70 11 12 99 7 98 76 9 10 79 20 21 14 15 85 18 1 30 24 2 3 6 
20 18 29 30 24 27 3 38 39 11 33 6 36 8 9 47 48 19 42 13 14 45 16 17 56 57 28 51 22 23 54 25 26 65 66 37 60 31 32 63 34 35 74 75 46 69 40 41 72 43 44 83 84 55 78 49 50 81 52 53 91 92 64 87 58 59 89 61 62 96 97 73 94 67 68 95 70 71 12 99 82 98 76 77 10 79 80 21 90 15 85 86 1 88 5 2 93 4 7 
21 1 30 5 2 3 4 39 11 12 6 7 8 9 10 48 19 20 13 14 15 16 17 18 57 28 29 22 23 24 25 26 27 66 37 38 31 32 33 34 35 36 75 46 47 40 41 42 43 44 45 84 55 56 49 50 51 52 53 54 92 64 65 58 59 60 61 62 63 97 73 74 67 68 69 70 71 72 99 82 83 76 77 78 79 80 81 90 91 85 86 87 88 89 96 93 94 95 98 
